experiment,arm,weights,dice_3d,sensitivity_3d,precision_3d,volume_ratio_3d,fp_components,false_alarm_rate_2d,threshold,split,grid,resize_mode,n_adjacent,source
baseline committed,seed 42,best,0.5201,,,,7.3,,0.65,original,192,stretch,1,committed run
nb1 corrected baseline,seed 42,best,0.4488,0.4245,0.5974,0.637,7.4,0.0571,0.55,original,192,stretch,1,rerun-baselines.log
nb1 corrected baseline,seed 42,final,0.4147,0.3704,0.5789,0.548,8.1,,0.65,original,192,stretch,1,rerun-baselines.log
nb1 corrected baseline,seed 43,best,0.3929,0.4197,0.46,0.657,8.6,0.0704,0.55,original,192,stretch,1,rerun-baselines.log
nb1 corrected baseline,seed 43,final,0.3226,0.3611,0.3733,0.621,15.5,,0.35,original,192,stretch,1,rerun-baselines.log
nb1 budget calibration,"98,780 steps",best,0.425,0.3913,0.5969,0.458,8.4,,0.5,original,192,stretch,1,rerun-baselines.log
nb1 budget calibration,"98,780 steps",final,0.3853,0.3222,0.6549,0.308,6.2,,0.6,original,192,stretch,1,rerun-baselines.log
nb2 selection rule,select on all slices,best,0.3045,0.3302,0.355,1.809,6.6,,0.9,original,192,stretch,1,protocoale-positives.log
nb2 selection rule,"select on positives, scored all slices",best,0.2067,0.3191,0.1977,,,,0.99,original,192,stretch,1,protocoale-positives.log
nb2 selection rule,"select on positives, oracle protocol",best,0.5515,0.5302,0.6737,0.873,1.7,,0.65,original,192,stretch,1,protocoale-positives.log
nbW sampling ratio,1:1,best,0.3962,,,,9.0,,,original,192,stretch,1,w-step-matched-grid.log
nbW sampling ratio,1:3,best,0.429,,,,6.9,,,original,192,stretch,1,w-step-matched-grid.log
nbW sampling ratio,1:5,best,0.3818,,,,11.4,,,original,192,stretch,1,w-step-matched-grid.log
nbW sampling ratio,1:9,best,0.4183,,,,10.6,,,original,192,stretch,1,w-step-matched-grid.log
nbW sampling ratio,all,best,0.4554,,,,11.3,,,original,192,stretch,1,w-step-matched-grid.log
nb6 cross-validation,fold 0,best,0.3145,,,,,,,cv fold 0,192,stretch,1,cv-steps-fixed.log
nb6 cross-validation,fold 1,best,0.3946,,,,,,,cv fold 1,192,stretch,1,cv-steps-fixed.log
nb6 cross-validation,fold 2,best,0.4793,,,,,,,cv fold 2,192,stretch,1,cv-steps-fixed.log
nb6 cross-validation,fold 3,best,0.3942,,,,,,,cv fold 3,192,stretch,1,cv-steps-fixed.log
nb6 cross-validation,fold 4,best,0.4292,,,,,,,cv fold 4,192,stretch,1,cv-steps-fixed.log
nb7 hard negatives,"stage 1, all",best,0.394,,,,,,,original,192,stretch,1,hard-negatives-corrected-again.log
nb7 hard negatives,"stage 2, distance",best,0.3982,,,,,,,original,192,stretch,1,hard-negatives-corrected-again.log
nb7 hard negatives,"stage 2, mined",best,0.4194,,,,,,,original,192,stretch,1,hard-negatives-corrected-again.log
nb7 hard negatives,"stage 2, random",best,0.4201,,,,,,,original,192,stretch,1,hard-negatives-corrected-again.log
nb8 two stage,stage 1,best,0.394,0.367,0.5416,,10.2,0.0701,0.65,original,192,stretch,1,2-stages-corrected.log
nb8 two stage,"positives, low LR",best,0.4166,0.3822,0.5564,,10.9,0.0769,0.7,original,192,stretch,1,2-stages-corrected.log
nb8 two stage,"positives, high LR",best,0.4226,0.373,0.5698,,10.9,0.0721,0.7,original,192,stretch,1,2-stages-corrected.log
nb8 two stage,"hard neg 0.5, low LR",best,0.4194,0.3642,0.6025,,8.6,0.064,0.75,original,192,stretch,1,2-stages-corrected.log
nb8 two stage,"hard neg 0.5, high LR",best,0.3779,0.3509,0.4676,,10.6,0.0785,0.7,original,192,stretch,1,2-stages-corrected.log
nb8 two stage,"hard neg 1.0, low LR",best,0.3983,0.37,0.5621,,9.0,0.0672,0.65,original,192,stretch,1,2-stages-corrected.log
nb8 two stage,"hard neg 1.0, high LR",best,0.4062,0.3882,0.4938,,8.7,0.063,0.65,original,192,stretch,1,2-stages-corrected.log
