epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.465884,0.000462,0.0,0.00099902,59.96,0,898
2,1.047958,0.010984,0.0,0.0009961,50.87,0,1796
3,0.993461,0.033545,0.0,0.00099123,50.78,0,2694
4,0.984585,0.072264,0.0,0.00098445,50.69,0,3592
5,0.980035,0.081764,0.0,0.00097577,50.92,0,4490
6,0.976175,0.073439,0.0,0.00096524,50.84,0,5388
7,0.970758,0.145279,0.0,0.00095289,51.15,0,6286
8,0.965305,0.236373,0.334139,0.00093877,50.73,0,7184
9,0.959666,0.204606,0.272264,0.00092294,50.99,0,8082
10,0.954967,0.243491,0.30347,0.00090546,50.83,0,8980
11,0.950677,0.26682,0.312369,0.0008864,50.75,0,9878
12,0.947858,0.273894,0.308015,0.00086584,50.59,0,10776
13,0.945603,0.339427,0.376308,0.00084385,51.04,0,11674
14,0.943423,0.226126,0.246632,0.00082052,50.46,0,12572
15,0.941583,0.346433,0.364847,0.00079595,50.42,0,13470
16,0.940507,0.276607,0.289279,0.00077023,50.89,0,14368
17,0.939602,0.389468,0.410682,0.00074347,53.66,0,15266
18,0.938835,0.352366,0.369561,0.00071576,50.61,0,16164
19,0.937893,0.218189,0.226502,0.00068722,50.47,0,17062
20,0.937312,0.424948,0.438752,0.00065796,50.29,0,17960
21,0.935849,0.345701,0.354618,0.0006281,50.46,0,18858
22,0.935584,0.412913,0.424511,0.00059775,50.91,0,19756
23,0.935347,0.358953,0.370631,0.00056704,50.81,0,20654
24,0.934588,0.35181,0.362406,0.00053608,51.12,0,21552
25,0.933427,0.434762,0.444774,0.000505,50.48,0,22450
26,0.933557,0.403723,0.412715,0.00047392,51.19,0,23348
27,0.93264,0.317611,0.325557,0.00044296,50.87,0,24246
28,0.932472,0.344091,0.351667,0.00041225,50.88,0,25144
29,0.931635,0.409857,0.419542,0.0003819,51.45,0,26042
30,0.931153,0.424948,0.43381,0.00035204,51.14,0,26940
31,0.930725,0.363027,0.370417,0.00032278,50.57,0,27838
32,0.930474,0.371535,0.380984,0.00029424,50.62,0,28736
33,0.929917,0.304466,0.309447,0.00026653,50.59,0,29634
34,0.929533,0.39744,0.406075,0.00023977,50.56,0,30532
35,0.929232,0.379436,0.387225,0.00021405,50.8,0,31430
36,0.928626,0.362772,0.369198,0.00018948,50.88,0,32328
37,0.928597,0.374343,0.381238,0.00016615,50.38,0,33226
38,0.928425,0.419912,0.426655,0.00014416,50.41,0,34124
39,0.928712,0.406728,0.414231,0.0001236,50.86,0,35022
40,0.927922,0.414428,0.42202,0.00010454,50.64,0,35920
41,0.927781,0.417617,0.424788,8.706e-05,50.95,0,36818
42,0.927343,0.419817,0.427277,7.123e-05,50.74,0,37716
43,0.927424,0.417728,0.425949,5.711e-05,50.85,0,38614
44,0.926995,0.386405,0.393781,4.476e-05,51.0,0,39512
45,0.927001,0.406376,0.412731,3.423e-05,51.07,0,40410
46,0.927105,0.394668,0.401798,2.555e-05,50.9,0,41308
47,0.926923,0.395541,0.402583,1.877e-05,50.42,0,42206
48,0.926831,0.397208,0.404268,1.39e-05,50.84,0,43104
49,0.926975,0.399615,0.406502,1.098e-05,51.28,0,44002
50,0.927086,0.401486,0.408125,1e-05,50.57,0,44900
51,0.926706,0.400226,0.407338,1e-05,50.48,0,45798
52,0.926504,0.400503,0.407221,1e-05,50.73,0,46696
53,0.926586,0.401932,0.409316,1e-05,51.05,0,47594
54,0.926567,0.401688,0.408912,1e-05,50.84,0,48492
55,0.926481,0.402257,0.409964,1e-05,50.72,0,49390
