epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.142843,0.000904,0.0,0.00099902,65.24,0
2,0.990915,0.108615,0.35058,0.0009961,65.4,0
3,0.961275,0.185341,0.273234,0.00099123,64.42,0
4,0.94997,0.263183,0.330436,0.00098445,64.45,0
5,0.945321,0.272053,0.303396,0.00097577,64.75,0
6,0.942242,0.389825,0.412655,0.00096524,64.64,0
7,0.939911,0.29381,0.31598,0.00095289,65.15,0
8,0.938449,0.240819,0.249224,0.00093877,64.25,0
9,0.93717,0.275619,0.296428,0.00092294,65.68,0
10,0.935804,0.383989,0.400031,0.00090546,65.11,0
11,0.934599,0.347351,0.356242,0.0008864,64.61,0
12,0.933514,0.341266,0.352227,0.00086584,65.01,0
13,0.933332,0.348141,0.361741,0.00084385,64.89,0
14,0.932138,0.339,0.350005,0.00082052,65.04,0
15,0.93145,0.353967,0.363891,0.00079595,64.41,0
16,0.93054,0.344362,0.353672,0.00077023,64.59,0
17,0.930045,0.250504,0.257181,0.00074347,65.47,0
18,0.928739,0.349025,0.354574,0.00071576,65.28,0
19,0.928568,0.300624,0.309989,0.00068722,65.59,0
20,0.927537,0.291582,0.297373,0.00065796,64.85,0
21,0.927536,0.291457,0.297466,0.0006281,64.61,0
22,0.927003,0.308474,0.314206,0.00059775,64.56,0
23,0.926461,0.280711,0.287366,0.00056704,64.69,0
24,0.92637,0.293106,0.296702,0.00053608,64.12,0
25,0.925493,0.303577,0.306267,0.000505,64.43,0
26,0.924896,0.316573,0.321797,0.00047392,64.71,0
