epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.089068,0.001794,0.0,0.00099902,105.34,0
2,0.991907,0.051712,0.0,0.0009961,102.28,0
3,0.97624,0.099616,0.0,0.00099123,102.02,0
4,0.968227,0.13787,0.244229,0.00098445,101.59,0
5,0.961555,0.263559,0.397884,0.00097577,101.57,0
6,0.955036,0.274248,0.358028,0.00096524,104.69,0
7,0.95068,0.191316,0.235554,0.00095289,103.57,0
8,0.946616,0.228958,0.263545,0.00093877,103.8,0
9,0.94408,0.314835,0.352819,0.00092294,103.87,0
10,0.940603,0.2273,0.245395,0.00090546,104.18,0
11,0.93895,0.319914,0.341668,0.0008864,103.31,0
12,0.937455,0.302451,0.317981,0.00086584,103.43,0
13,0.936766,0.133014,0.137177,0.00084385,102.46,0
14,0.935297,0.265279,0.274923,0.00082052,102.37,0
15,0.934293,0.370048,0.379727,0.00079595,102.52,0
16,0.932525,0.357804,0.365985,0.00077023,101.85,0
17,0.932236,0.350655,0.358509,0.00074347,101.12,0
18,0.931762,0.36945,0.378334,0.00071576,101.55,0
19,0.9311,0.416198,0.427715,0.00068722,101.87,0
20,0.929946,0.373497,0.379372,0.00065796,101.67,0
21,0.928811,0.394597,0.403048,0.0006281,102.49,0
22,0.928843,0.38383,0.389428,0.00059775,103.39,0
23,0.928108,0.367362,0.373055,0.00056704,105.24,0
24,0.927701,0.366968,0.373778,0.00053608,103.64,0
25,0.927071,0.350924,0.356249,0.000505,102.47,0
26,0.9269,0.332136,0.337074,0.00047392,102.2,0
27,0.9261,0.376838,0.3817,0.00044296,101.23,0
28,0.925765,0.362356,0.367157,0.00041225,101.56,0
29,0.925888,0.371402,0.378066,0.0003819,101.7,0
30,0.924903,0.368664,0.374274,0.00035204,103.4,0
31,0.924623,0.370342,0.374114,0.00032278,101.91,0
32,0.924933,0.400731,0.405667,0.00029424,102.24,0
33,0.924287,0.380181,0.385326,0.00026653,102.05,0
34,0.923854,0.362729,0.366172,0.00023977,102.34,0
35,0.923818,0.379879,0.383744,0.00021405,102.73,0
36,0.923513,0.378427,0.38205,0.00018948,102.49,0
37,0.923077,0.395238,0.399829,0.00016615,102.16,0
38,0.923218,0.396473,0.400841,0.00014416,101.82,0
39,0.922804,0.392261,0.395776,0.0001236,102.17,0
