epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.142843,0.000904,0.0,0.00099902,66.46,0
2,0.990915,0.108615,0.35058,0.0009961,61.96,0
3,0.961275,0.185341,0.273234,0.00099123,60.32,0
4,0.94997,0.263183,0.330436,0.00098445,61.41,0
5,0.945321,0.272053,0.30339,0.00097577,60.92,0
6,0.942242,0.389825,0.412655,0.00096524,60.97,0
7,0.939911,0.29381,0.31598,0.00095289,61.16,0
8,0.938449,0.240819,0.249224,0.00093877,61.68,0
9,0.93717,0.275619,0.296428,0.00092294,61.43,0
10,0.935804,0.383989,0.400031,0.00090546,61.52,0
11,0.934599,0.347351,0.356242,0.0008864,61.16,0
12,0.933514,0.341266,0.352227,0.00086584,61.0,0
13,0.933332,0.348141,0.361741,0.00084385,60.6,0
14,0.932138,0.339,0.350005,0.00082052,61.01,0
15,0.93145,0.353967,0.363891,0.00079595,60.65,0
16,0.93054,0.344362,0.353672,0.00077023,59.93,0
