epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.149787,0.000553,0.0,0.00029971,105.56,0
2,1.019669,0.01162,0.0,0.00029883,104.45,0
3,0.991665,0.02928,0.0,0.00029737,103.66,0
4,0.978302,0.076272,0.0,0.00029533,105.65,0
5,0.970844,0.07746,0.0,0.00029273,103.77,0
6,0.966474,0.165552,0.0,0.00028957,104.31,0
7,0.962318,0.160762,0.273356,0.00028587,105.01,0
8,0.947656,0.348598,0.386321,0.00028163,105.0,0
9,0.939296,0.360588,0.395809,0.00027688,103.41,0
10,0.936301,0.350223,0.363412,0.00027164,103.79,0
11,0.935653,0.375807,0.389085,0.00026592,104.36,0
12,0.933391,0.372789,0.386044,0.00025975,104.23,0
13,0.932686,0.368923,0.381699,0.00025316,104.04,0
14,0.931283,0.461668,0.471133,0.00024616,104.64,0
15,0.930514,0.286648,0.298195,0.00023879,103.96,0
16,0.929715,0.359736,0.371925,0.00023107,104.52,0
17,0.929522,0.434502,0.44396,0.00022304,104.74,0
18,0.928388,0.420048,0.429313,0.00021473,104.18,0
19,0.927883,0.377004,0.388457,0.00020617,106.49,0
20,0.927484,0.275107,0.292054,0.00019739,106.11,0
21,0.926609,0.383555,0.402546,0.00018843,107.14,0
22,0.925585,0.375583,0.389652,0.00017933,106.04,0
23,0.92496,0.399034,0.409268,0.00017011,105.5,0
24,0.924337,0.423596,0.442253,0.00016082,106.55,0
25,0.924041,0.417424,0.425336,0.0001515,106.56,0
26,0.923707,0.46841,0.478243,0.00014218,104.41,0
27,0.922639,0.391034,0.403951,0.00013289,103.95,0
28,0.922913,0.406354,0.418305,0.00012367,103.39,0
29,0.922138,0.468081,0.475969,0.00011457,103.96,0
30,0.921579,0.449151,0.462395,0.00010561,103.61,0
31,0.921128,0.392711,0.402373,9.683e-05,103.82,0
32,0.921327,0.458265,0.471751,8.827e-05,104.07,0
33,0.920121,0.478457,0.491721,7.996e-05,103.45,0
34,0.919882,0.444123,0.450936,7.193e-05,104.36,0
35,0.919542,0.477403,0.483767,6.421e-05,104.88,0
36,0.919392,0.45093,0.458937,5.684e-05,105.76,0
37,0.919154,0.436286,0.448941,4.984e-05,105.3,0
38,0.918671,0.412561,0.418174,4.325e-05,104.79,0
39,0.918764,0.470356,0.477991,3.708e-05,104.91,0
40,0.918718,0.44387,0.453903,3.136e-05,105.41,0
41,0.918342,0.461191,0.470161,2.612e-05,106.65,0
42,0.91802,0.420551,0.427136,2.137e-05,105.28,0
43,0.917882,0.457852,0.465862,1.713e-05,105.19,0
44,0.91762,0.467812,0.47476,1.343e-05,105.81,0
45,0.917543,0.441264,0.448118,1.027e-05,105.26,0
46,0.917592,0.469762,0.476938,7.67e-06,104.26,0
47,0.917266,0.470352,0.478151,5.63e-06,103.78,0
48,0.917496,0.471892,0.478554,4.17e-06,103.25,0
49,0.917217,0.469132,0.47601,3.29e-06,105.98,0
50,0.917421,0.467088,0.473734,3e-06,104.83,0
51,0.917227,0.46494,0.47179,3e-06,104.86,0
52,0.917255,0.465478,0.472641,3e-06,104.89,0
53,0.91706,0.467088,0.473913,3e-06,104.54,0
