epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.759918,0.000463,0.0,0.00029971,61.72,0
2,1.613953,0.000463,0.0,0.00029883,53.86,0
3,1.50721,0.000463,0.0,0.00029737,53.44,0
4,1.420025,0.000463,0.0,0.00029533,53.55,0
5,1.277159,0.000535,0.0,0.00029273,53.65,0
6,1.047378,0.00322,0.0,0.00028957,53.64,0
7,1.00824,0.010592,0.0,0.00028587,53.9,0
8,0.994609,0.023961,0.0,0.00028163,54.18,0
9,0.986493,0.058429,0.0,0.00027688,54.27,0
10,0.981452,0.073307,0.0,0.00027164,53.75,0
11,0.977715,0.100057,0.0,0.00026592,53.44,0
12,0.97417,0.114851,0.0,0.00025975,53.82,0
13,0.970554,0.129768,0.0,0.00025316,53.91,0
14,0.967385,0.169694,0.0,0.00024616,53.66,0
15,0.963932,0.149452,0.0,0.00023879,53.56,0
16,0.960817,0.171491,0.0,0.00023107,53.88,0
17,0.957456,0.245326,0.395142,0.00022304,53.65,0
18,0.954784,0.298722,0.431739,0.00021473,53.59,0
19,0.951955,0.280242,0.39753,0.00020617,53.25,0
20,0.95001,0.315615,0.424834,0.00019739,53.38,0
21,0.947776,0.322054,0.417252,0.00018843,53.65,0
22,0.945561,0.23834,0.297476,0.00017933,53.38,0
23,0.944054,0.252006,0.312624,0.00017011,53.36,0
24,0.942259,0.296268,0.365325,0.00016082,53.16,0
25,0.940764,0.286702,0.346495,0.0001515,53.05,0
26,0.939266,0.386545,0.460492,0.00014218,53.11,0
27,0.93821,0.308315,0.363286,0.00013289,53.31,0
28,0.937102,0.324722,0.377418,0.00012367,53.3,0
29,0.93645,0.339337,0.386221,0.00011457,53.08,0
30,0.935117,0.321057,0.364265,0.00010561,53.13,0
31,0.934201,0.340607,0.381664,9.683e-05,53.82,0
32,0.933877,0.34807,0.391273,8.827e-05,52.96,0
33,0.932718,0.27898,0.307288,7.996e-05,52.96,0
34,0.932379,0.374685,0.418863,7.193e-05,53.21,0
35,0.931735,0.373257,0.413139,6.421e-05,53.27,0
36,0.93143,0.318134,0.349556,5.684e-05,53.34,0
37,0.931138,0.369429,0.406295,4.984e-05,53.67,0
38,0.930542,0.346948,0.377853,4.325e-05,53.61,0
39,0.929927,0.388169,0.425043,3.708e-05,53.21,0
40,0.929853,0.360952,0.393814,3.136e-05,53.66,0
41,0.929506,0.366223,0.39748,2.612e-05,53.93,0
42,0.929483,0.377126,0.409146,2.137e-05,53.5,0
43,0.928934,0.355902,0.386069,1.713e-05,53.43,0
44,0.928894,0.372949,0.404706,1.343e-05,53.65,0
45,0.928555,0.368035,0.399451,1.027e-05,53.46,0
46,0.928551,0.375897,0.407978,7.67e-06,53.24,0
47,0.928295,0.374823,0.406089,5.63e-06,53.28,0
48,0.928565,0.362254,0.392922,4.17e-06,53.56,0
49,0.928018,0.366521,0.396671,3.29e-06,53.49,0
50,0.928235,0.369784,0.400996,3e-06,54.03,0
51,0.928309,0.376206,0.407783,3e-06,53.67,0
52,0.928458,0.37051,0.400601,3e-06,53.59,0
53,0.927929,0.370115,0.400546,3e-06,54.12,0
54,0.928145,0.370663,0.400883,3e-06,53.67,0
55,0.92812,0.369295,0.399442,3e-06,53.53,0
56,0.928341,0.368246,0.398554,3e-06,53.18,0
57,0.928149,0.361948,0.391148,3e-06,56.09,0
58,0.928247,0.368584,0.398541,3e-06,54.43,0
59,0.928124,0.363164,0.392106,3e-06,53.67,0
