epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.220881,0.000612,0.0,0.00099902,53.01,0
2,1.010189,0.013511,0.0,0.0009961,53.1,0
3,0.992324,0.051946,0.0,0.00099123,52.66,0
4,0.980575,0.082551,0.0,0.00098445,52.77,0
5,0.974383,0.125999,0.0,0.00097577,52.84,0
6,0.967916,0.159211,0.276231,0.00096524,53.1,0
7,0.962897,0.170751,0.253968,0.00095289,53.08,0
8,0.957252,0.1827,0.238588,0.00093877,53.23,0
9,0.952626,0.318398,0.376229,0.00092294,53.01,0
10,0.949292,0.276105,0.32393,0.00090546,53.45,0
11,0.946151,0.246252,0.281286,0.0008864,53.11,0
12,0.944054,0.295354,0.31936,0.00086584,53.57,0
13,0.942521,0.284794,0.303575,0.00084385,54.04,0
14,0.940332,0.338361,0.355607,0.00082052,52.88,0
15,0.940371,0.230449,0.247033,0.00079595,53.35,0
16,0.938828,0.280089,0.295413,0.00077023,53.63,0
17,0.93854,0.192421,0.200843,0.00074347,53.35,0
18,0.936709,0.379475,0.395744,0.00071576,53.17,0
19,0.935829,0.403561,0.417259,0.00068722,52.69,0
20,0.935195,0.359662,0.370823,0.00065796,52.61,0
21,0.933882,0.39381,0.405745,0.0006281,52.87,0
22,0.933913,0.381251,0.392268,0.00059775,52.85,0
23,0.933114,0.359425,0.370814,0.00056704,52.58,0
24,0.93243,0.342576,0.353308,0.00053608,52.82,0
25,0.931955,0.34587,0.355657,0.000505,52.39,0
26,0.931547,0.369208,0.381268,0.00047392,52.45,0
27,0.931701,0.452427,0.461124,0.00044296,52.56,0
28,0.930996,0.397053,0.409152,0.00041225,52.76,0
29,0.930053,0.387955,0.398083,0.0003819,52.89,0
30,0.929375,0.409537,0.417956,0.00035204,52.87,0
31,0.92932,0.419813,0.428735,0.00032278,52.93,0
32,0.928996,0.326624,0.334239,0.00029424,52.68,0
33,0.928984,0.379065,0.387126,0.00026653,52.57,0
34,0.928528,0.372237,0.380353,0.00023977,52.51,0
35,0.927874,0.356593,0.364023,0.00021405,52.74,0
36,0.927816,0.362493,0.371788,0.00018948,52.74,0
37,0.927744,0.350654,0.356896,0.00016615,52.0,0
38,0.927084,0.385099,0.392352,0.00014416,52.24,0
39,0.926984,0.381206,0.389398,0.0001236,51.8,0
40,0.926691,0.36801,0.37655,0.00010454,52.15,0
41,0.926915,0.382859,0.390663,8.706e-05,52.97,0
42,0.926256,0.36886,0.375594,7.123e-05,52.69,0
43,0.926148,0.351352,0.357585,5.711e-05,52.67,0
44,0.92607,0.36861,0.375321,4.476e-05,52.37,0
45,0.92567,0.378407,0.386665,3.423e-05,52.21,0
46,0.925837,0.380597,0.387669,2.555e-05,53.25,0
47,0.925693,0.387513,0.394101,1.877e-05,52.84,0
