epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.649228,0.000463,0.0,0.00099919,51.86,0,898
2,1.136453,0.007917,0.0,0.00099677,51.96,0,1796
3,0.993168,0.03285,0.0,0.00099275,51.93,0,2694
4,0.982239,0.067563,0.0,0.00098714,51.64,0,3592
5,0.977218,0.074204,0.0,0.00097995,51.65,0,4490
6,0.973245,0.102893,0.0,0.00097121,51.69,0,5388
7,0.968613,0.077662,0.0,0.00096096,52.05,0,6286
8,0.964714,0.117295,0.185449,0.00094921,51.94,0,7184
9,0.960099,0.125693,0.165199,0.00093602,52.18,0,8082
10,0.954549,0.233029,0.283797,0.00092142,51.65,0,8980
11,0.95035,0.203672,0.234981,0.00090546,51.92,0,9878
12,0.947917,0.301015,0.333502,0.0008882,51.84,0,10776
13,0.945788,0.255897,0.278625,0.00086969,51.8,0,11674
14,0.943393,0.261195,0.279261,0.00084998,52.2,0,12572
15,0.942111,0.267532,0.283836,0.00082916,52.55,0,13470
16,0.939562,0.371231,0.386981,0.00080727,52.91,0,14368
17,0.939338,0.371139,0.38547,0.0007844,52.17,0,15266
18,0.93807,0.273531,0.284935,0.00076062,52.27,0,16164
19,0.93778,0.315207,0.328026,0.000736,52.59,0,17062
20,0.937252,0.433292,0.445556,0.00071063,52.68,0,17960
21,0.936703,0.354272,0.363424,0.00068459,52.39,0,18858
22,0.935507,0.32699,0.336793,0.00065796,52.71,0,19756
23,0.934698,0.386265,0.399921,0.00063084,52.74,0,20654
24,0.934534,0.407377,0.416683,0.0006033,53.24,0,21552
25,0.934706,0.371619,0.379345,0.00057545,52.87,0,22450
26,0.933447,0.429141,0.440198,0.00054736,53.06,0,23348
27,0.933283,0.366329,0.377455,0.00051914,53.32,0,24246
28,0.933031,0.426158,0.436154,0.00049086,52.96,0,25144
29,0.932165,0.410571,0.422185,0.00046264,53.32,0,26042
30,0.931669,0.4204,0.429405,0.00043455,53.36,0,26940
31,0.931232,0.468667,0.479797,0.0004067,53.13,0,27838
32,0.931607,0.382023,0.389872,0.00037916,52.79,0,28736
33,0.930606,0.434808,0.444631,0.00035204,53.05,0,29634
34,0.930404,0.36883,0.374319,0.00032541,53.15,0,30532
35,0.92997,0.342956,0.348989,0.00029937,52.79,0,31430
36,0.930143,0.410835,0.419031,0.000274,53.06,0,32328
37,0.929191,0.453615,0.461477,0.00024938,53.19,0,33226
38,0.929053,0.410613,0.416979,0.0002256,53.15,0,34124
39,0.928621,0.382237,0.390069,0.00020273,53.51,0,35022
40,0.928253,0.409642,0.41681,0.00018084,53.71,0,35920
41,0.9282,0.386881,0.394246,0.00016002,54.21,0,36818
42,0.928218,0.391998,0.399887,0.00014031,53.61,0,37716
