epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.436582,0.0007,0.0,0.00099902,64.68,0,906
2,1.015912,0.017282,0.0,0.0009961,50.91,0,1812
3,0.994711,0.047383,0.0,0.00099123,51.3,0,2718
4,0.985819,0.060249,0.0,0.00098445,51.67,0,3624
5,0.980384,0.126138,0.0,0.00097577,51.33,0,4530
6,0.976165,0.119638,0.0,0.00096524,51.35,0,5436
7,0.971617,0.146748,0.0,0.00095289,51.61,0,6342
8,0.964941,0.168579,0.267167,0.00093877,53.29,0,7248
9,0.959679,0.243219,0.317583,0.00092294,53.28,0,8154
10,0.955511,0.227117,0.269598,0.00090546,53.14,0,9060
11,0.951213,0.248568,0.287851,0.0008864,53.25,0,9966
12,0.949081,0.247863,0.275303,0.00086584,53.27,0,10872
13,0.945451,0.27827,0.302163,0.00084385,53.39,0,11778
14,0.944308,0.326564,0.34983,0.00082052,53.32,0,12684
15,0.943115,0.348173,0.369138,0.00079595,53.32,0,13590
16,0.942193,0.290229,0.302477,0.00077023,53.25,0,14496
17,0.940988,0.332818,0.350329,0.00074347,53.17,0,15402
18,0.939577,0.343688,0.356418,0.00071576,53.48,0,16308
19,0.938931,0.338038,0.354183,0.00068722,53.64,0,17214
20,0.938423,0.282803,0.291356,0.00065796,52.26,0,18120
21,0.937967,0.317598,0.330326,0.0006281,51.37,0,19026
22,0.937314,0.28373,0.290005,0.00059775,51.22,0,19932
23,0.936484,0.355971,0.364082,0.00056704,51.02,0,20838
24,0.936296,0.358614,0.374017,0.00053608,51.47,0,21744
25,0.935469,0.399556,0.41323,0.000505,51.67,0,22650
26,0.935156,0.292296,0.302555,0.00047392,51.55,0,23556
27,0.934571,0.360887,0.372243,0.00044296,51.87,0,24462
28,0.93422,0.327286,0.337499,0.00041225,51.57,0,25368
29,0.933424,0.351545,0.361211,0.0003819,52.09,0,26274
30,0.933202,0.382212,0.392249,0.00035204,51.53,0,27180
31,0.932826,0.378965,0.388014,0.00032278,51.76,0,28086
32,0.932216,0.351145,0.362637,0.00029424,51.79,0,28992
33,0.932275,0.381017,0.390212,0.00026653,51.58,0,29898
34,0.931942,0.350044,0.358859,0.00023977,51.71,0,30804
35,0.931373,0.440722,0.449203,0.00021405,51.88,0,31710
36,0.931332,0.410467,0.420004,0.00018948,51.57,0,32616
37,0.930995,0.40309,0.410995,0.00016615,51.62,0,33522
38,0.930633,0.415569,0.425991,0.00014416,51.61,0,34428
39,0.930673,0.414916,0.423105,0.0001236,51.29,0,35334
40,0.93016,0.426059,0.434543,0.00010454,51.47,0,36240
41,0.930377,0.389725,0.397661,8.706e-05,51.78,0,37146
42,0.930045,0.387936,0.395513,7.123e-05,51.62,0,38052
43,0.929984,0.390096,0.397657,5.711e-05,51.5,0,38958
44,0.929466,0.401367,0.412566,4.476e-05,51.71,0,39864
45,0.929634,0.425654,0.435083,3.423e-05,55.26,0,40770
46,0.929507,0.414167,0.422921,2.555e-05,51.44,0,41676
47,0.929628,0.392656,0.400057,1.877e-05,51.69,0,42582
48,0.929715,0.389076,0.397624,1.39e-05,51.39,0,43488
49,0.929401,0.390681,0.399155,1.098e-05,51.53,0,44394
50,0.929339,0.394234,0.403021,1e-05,51.23,0,45300
51,0.929081,0.401277,0.408839,1e-05,51.43,0,46206
52,0.929415,0.400292,0.408227,1e-05,51.43,0,47112
53,0.929048,0.396694,0.40452,1e-05,51.63,0,48018
54,0.929317,0.397006,0.404651,1e-05,51.56,0,48924
55,0.929445,0.391179,0.399976,1e-05,51.8,0,49830
