epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.465812,0.000453,0.0,0.00099902,63.88,0
2,1.038877,0.005807,0.0,0.0009961,57.35,0
3,0.997443,0.025815,0.0,0.00099123,57.34,0
4,0.987257,0.046983,0.0,0.00098445,57.37,0
5,0.981599,0.077194,0.0,0.00097577,57.59,0
6,0.977578,0.082398,0.0,0.00096524,57.36,0
7,0.972981,0.11269,0.0,0.00095289,57.9,0
8,0.96702,0.127674,0.205515,0.00093877,57.72,0
9,0.96106,0.165893,0.22392,0.00092294,57.44,0
10,0.956047,0.201233,0.245654,0.00090546,58.02,0
11,0.951839,0.234331,0.275685,0.0008864,57.9,0
12,0.948768,0.159295,0.17856,0.00086584,57.5,0
13,0.945703,0.250423,0.281788,0.00084385,57.22,0
14,0.94409,0.31185,0.339478,0.00082052,57.06,0
15,0.942636,0.324305,0.345548,0.00079595,57.78,0
16,0.940696,0.278589,0.291532,0.00077023,57.38,0
17,0.940292,0.305219,0.318659,0.00074347,57.44,0
18,0.939216,0.308843,0.323959,0.00071576,57.59,0
19,0.937578,0.346799,0.360074,0.00068722,57.34,0
20,0.938081,0.290554,0.299126,0.00065796,57.79,0
21,0.936823,0.36192,0.372803,0.0006281,57.18,0
22,0.93624,0.398336,0.409665,0.00059775,57.29,0
23,0.936028,0.350133,0.359145,0.00056704,57.12,0
24,0.934697,0.244492,0.251176,0.00053608,57.38,0
25,0.933919,0.367915,0.378593,0.000505,56.98,0
26,0.933444,0.323863,0.330833,0.00047392,57.31,0
27,0.933001,0.427778,0.43896,0.00044296,56.96,0
28,0.932697,0.40124,0.411202,0.00041225,57.2,0
29,0.932019,0.421517,0.43175,0.0003819,57.05,0
30,0.932074,0.355291,0.362913,0.00035204,57.36,0
31,0.931442,0.407035,0.414444,0.00032278,57.38,0
32,0.931246,0.377746,0.385924,0.00029424,57.36,0
33,0.930827,0.407845,0.414361,0.00026653,57.65,0
34,0.930376,0.437501,0.446246,0.00023977,57.46,0
35,0.929769,0.444159,0.452128,0.00021405,57.23,0
36,0.929603,0.409272,0.416456,0.00018948,57.75,0
37,0.929503,0.414666,0.422192,0.00016615,57.47,0
38,0.929527,0.382614,0.38948,0.00014416,57.62,0
39,0.929119,0.415259,0.423927,0.0001236,57.27,0
40,0.928631,0.394981,0.401871,0.00010454,57.29,0
41,0.928302,0.374983,0.380481,8.706e-05,57.22,0
42,0.928554,0.373018,0.380123,7.123e-05,57.19,0
43,0.928296,0.420166,0.428094,5.711e-05,57.59,0
44,0.927819,0.405312,0.412247,4.476e-05,57.39,0
45,0.927791,0.397158,0.402716,3.423e-05,57.36,0
46,0.92791,0.40096,0.408507,2.555e-05,57.23,0
47,0.927792,0.40128,0.407934,1.877e-05,57.06,0
48,0.927617,0.39784,0.404133,1.39e-05,57.21,0
49,0.927769,0.395764,0.402439,1.098e-05,57.01,0
50,0.927376,0.406036,0.413077,1e-05,57.27,0
51,0.927537,0.402436,0.409539,1e-05,57.1,0
52,0.927702,0.39564,0.402589,1e-05,57.01,0
53,0.927374,0.401924,0.408851,1e-05,57.63,0
54,0.927546,0.406643,0.413682,1e-05,57.12,0
55,0.927324,0.409422,0.415914,1e-05,57.26,0
