epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.459227,0.000455,0.0,0.0009998,53.73,0,898
2,1.025579,0.008069,0.0,0.00099919,53.52,0,1796
3,0.995586,0.023989,0.0,0.00099818,53.65,0,2694
4,0.986077,0.058687,0.0,0.00099677,53.89,0,3592
5,0.980686,0.070705,0.0,0.00099496,54.29,0,4490
6,0.976605,0.092908,0.0,0.00099275,53.75,0,5388
7,0.971457,0.169725,0.0,0.00099014,53.94,0,6286
8,0.965193,0.141085,0.232855,0.00098714,53.77,0,7184
9,0.959199,0.211305,0.289162,0.00098374,53.82,0,8082
10,0.954339,0.220177,0.276785,0.00097995,53.49,0,8980
11,0.950753,0.257537,0.294991,0.00097577,53.72,0,9878
12,0.947158,0.21567,0.239924,0.00097121,53.63,0,10776
13,0.944657,0.208978,0.229926,0.00096627,53.94,0,11674
14,0.943263,0.277429,0.296273,0.00096096,53.48,0,12572
15,0.942116,0.3234,0.34233,0.00095527,53.7,0,13470
16,0.941008,0.280979,0.295304,0.00094921,53.95,0,14368
17,0.939579,0.382088,0.401359,0.00094279,53.84,0,15266
18,0.938883,0.316613,0.332543,0.00093602,53.39,0,16164
19,0.938402,0.344131,0.358891,0.00092889,53.69,0,17062
20,0.938027,0.343775,0.355232,0.00092142,53.47,0,17960
21,0.936903,0.395051,0.406359,0.00091361,53.56,0,18858
22,0.936434,0.406695,0.419213,0.00090546,53.71,0,19756
23,0.935911,0.333868,0.342713,0.00089699,53.76,0,20654
24,0.936102,0.365758,0.381019,0.0008882,54.54,0,21552
25,0.934882,0.335744,0.346112,0.0008791,53.59,0,22450
26,0.935302,0.26332,0.271314,0.00086969,53.74,0,23348
27,0.933341,0.346857,0.357107,0.00085998,54.33,0,24246
28,0.933876,0.379568,0.387975,0.00084998,53.65,0,25144
29,0.93378,0.430826,0.440981,0.00083971,53.07,0,26042
30,0.933058,0.349641,0.361092,0.00082916,53.75,0,26940
31,0.93271,0.371718,0.379367,0.00081834,52.97,0,27838
32,0.932761,0.39921,0.408806,0.00080727,53.67,0,28736
33,0.932798,0.35439,0.362495,0.00079595,53.51,0,29634
34,0.93203,0.399898,0.413246,0.0007844,54.24,0,30532
35,0.931852,0.44164,0.451455,0.00077262,53.64,0,31430
36,0.931941,0.344649,0.352257,0.00076062,53.84,0,32328
37,0.931065,0.363598,0.372969,0.00074841,53.7,0,33226
38,0.931251,0.360247,0.368135,0.000736,53.78,0,34124
39,0.930916,0.35665,0.365819,0.0007234,53.7,0,35022
40,0.930307,0.393688,0.402875,0.00071063,53.61,0,35920
