epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.201871,0.001129,0.0,0.00099902,184.1,0,898
2,1.004105,0.019353,0.0,0.0009961,184.23,0,1796
3,0.987856,0.052563,0.0,0.00099123,183.71,0,2694
4,0.979706,0.065906,0.0,0.00098445,185.05,0,3592
5,0.97417,0.059602,0.0,0.00097577,184.97,0,4490
6,0.967777,0.126073,0.226118,0.00096524,183.98,0,5388
7,0.961318,0.12164,0.165452,0.00095289,183.22,0,6286
8,0.955965,0.178536,0.224362,0.00093877,183.47,0,7184
9,0.951393,0.219769,0.258314,0.00092294,184.21,0,8082
10,0.947771,0.207729,0.232359,0.00090546,183.95,0,8980
11,0.945198,0.229416,0.248999,0.0008864,183.45,0,9878
12,0.942457,0.230359,0.246775,0.00086584,184.23,0,10776
13,0.941509,0.290205,0.306659,0.00084385,184.2,0,11674
14,0.940167,0.233959,0.246253,0.00082052,185.33,0,12572
15,0.939133,0.225198,0.235076,0.00079595,182.76,0,13470
16,0.938055,0.387852,0.404218,0.00077023,183.26,0,14368
17,0.936236,0.444139,0.460787,0.00074347,182.75,0,15266
18,0.93649,0.412623,0.424647,0.00071576,182.52,0,16164
19,0.934977,0.357479,0.368699,0.00068722,182.63,0,17062
20,0.934032,0.335871,0.345434,0.00065796,183.24,0,17960
21,0.9339,0.370473,0.386013,0.0006281,183.25,0,18858
22,0.933356,0.416732,0.427777,0.00059775,183.82,0,19756
23,0.933116,0.463377,0.476888,0.00056704,183.41,0,20654
24,0.931301,0.419947,0.429974,0.00053608,183.99,0,21552
25,0.930688,0.360835,0.368892,0.000505,183.14,0,22450
26,0.93047,0.419984,0.429966,0.00047392,183.45,0,23348
27,0.929908,0.375606,0.384523,0.00044296,184.31,0,24246
28,0.93,0.405184,0.414226,0.00041225,183.17,0,25144
29,0.929469,0.455622,0.466096,0.0003819,183.49,0,26042
30,0.928516,0.430627,0.435639,0.00035204,184.45,0,26940
31,0.928505,0.429541,0.436387,0.00032278,184.5,0,27838
32,0.928032,0.480378,0.489832,0.00029424,184.17,0,28736
33,0.927868,0.443286,0.452038,0.00026653,183.76,0,29634
34,0.927407,0.416568,0.427534,0.00023977,181.01,0,30532
35,0.92701,0.43584,0.44387,0.00021405,182.55,0,31430
36,0.926626,0.387189,0.394012,0.00018948,184.23,0,32328
37,0.926394,0.447215,0.454703,0.00016615,183.89,0,33226
38,0.926353,0.42466,0.432556,0.00014416,184.54,0,34124
39,0.925883,0.469589,0.478465,0.0001236,184.26,0,35022
40,0.925929,0.440819,0.448346,0.00010454,183.61,0,35920
41,0.925315,0.451079,0.45779,8.706e-05,183.48,0,36818
42,0.92532,0.446425,0.453151,7.123e-05,183.64,0,37716
43,0.925055,0.45626,0.462553,5.711e-05,182.1,0,38614
44,0.92498,0.472955,0.480328,4.476e-05,182.5,0,39512
45,0.925012,0.453344,0.459714,3.423e-05,181.7,0,40410
46,0.925029,0.46422,0.47245,2.555e-05,181.03,0,41308
47,0.924558,0.455204,0.462783,1.877e-05,181.84,0,42206
48,0.924846,0.459521,0.467168,1.39e-05,181.26,0,43104
49,0.924996,0.460105,0.467388,1.098e-05,181.43,0,44002
50,0.924867,0.453764,0.460931,1e-05,180.54,0,44900
51,0.924714,0.460227,0.467014,1e-05,181.06,0,45798
52,0.924647,0.457783,0.464668,1e-05,180.03,0,46696
53,0.924894,0.454218,0.46081,1e-05,179.91,0,47594
54,0.924922,0.458875,0.464824,1e-05,179.86,0,48492
55,0.924751,0.463019,0.470425,1e-05,180.06,0,49390
