epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.133619,0.008751,0.129208,0.00099902,57.51,0
2,0.975617,0.075782,0.190793,0.0009961,57.16,0
3,0.957719,0.077323,0.10216,0.00099123,57.18,0
4,0.950599,0.146313,0.195593,0.00098445,56.79,0
5,0.946484,0.245574,0.329769,0.00097577,56.45,0
6,0.94337,0.213461,0.253355,0.00096524,55.78,0
7,0.941918,0.199633,0.23444,0.00095289,55.35,0
8,0.939393,0.156733,0.173304,0.00093877,56.09,0
9,0.938174,0.227379,0.249234,0.00092294,56.09,0
10,0.937522,0.27136,0.300085,0.00090546,55.54,0
11,0.936154,0.399513,0.433961,0.0008864,54.44,0
12,0.93527,0.243548,0.262551,0.00086584,54.38,0
13,0.934462,0.358538,0.384246,0.00084385,54.67,0
14,0.933633,0.345348,0.373494,0.00082052,55.93,0
15,0.932582,0.358887,0.38032,0.00079595,56.78,0
16,0.932153,0.232418,0.248627,0.00077023,57.61,0
17,0.931362,0.312534,0.334523,0.00074347,56.91,0
18,0.930947,0.144724,0.151274,0.00071576,55.64,0
19,0.930396,0.194111,0.206008,0.00068722,54.91,0
20,0.929389,0.365561,0.382324,0.00065796,55.03,0
21,0.928823,0.371606,0.386337,0.0006281,54.92,0
22,0.92855,0.35103,0.365534,0.00059775,55.38,0
23,0.927821,0.292273,0.307392,0.00056704,55.87,0
24,0.927186,0.336362,0.350267,0.00053608,55.76,0
25,0.926791,0.383268,0.399732,0.000505,55.5,0
26,0.926745,0.282434,0.295964,0.00047392,54.92,0
27,0.926157,0.329325,0.341006,0.00044296,55.23,0
28,0.925753,0.373494,0.385163,0.00041225,55.78,0
29,0.925367,0.372313,0.383703,0.0003819,55.65,0
30,0.925161,0.418689,0.431864,0.00035204,55.25,0
31,0.92516,0.337023,0.350799,0.00032278,55.57,0
32,0.924711,0.34289,0.356842,0.00029424,54.92,0
33,0.923772,0.312471,0.324218,0.00026653,54.83,0
34,0.923595,0.357477,0.367979,0.00023977,54.77,0
35,0.923812,0.343524,0.354027,0.00021405,55.1,0
36,0.92332,0.332028,0.342814,0.00018948,54.68,0
37,0.923255,0.371699,0.382711,0.00016615,55.04,0
38,0.922725,0.391024,0.400314,0.00014416,57.89,0
39,0.922813,0.352969,0.363649,0.0001236,59.89,0
40,0.92223,0.351719,0.361659,0.00010454,58.62,0
41,0.922469,0.338435,0.347207,8.706e-05,58.28,0
42,0.922279,0.363284,0.373465,7.123e-05,59.17,0
43,0.921914,0.366204,0.375023,5.711e-05,58.01,0
44,0.921615,0.354544,0.362632,4.476e-05,57.27,0
45,0.92217,0.358416,0.367047,3.423e-05,59.12,0
46,0.922056,0.338266,0.346699,2.555e-05,58.47,0
47,0.921935,0.366183,0.375131,1.877e-05,59.85,0
48,0.921416,0.361764,0.370615,1.39e-05,58.96,0
49,0.921444,0.364201,0.372481,1.098e-05,60.44,0
50,0.921595,0.360426,0.368359,1e-05,57.64,0
