epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.18035,0.000617,0.0,0.00029971,57.35,0
2,1.017756,0.019145,0.110069,0.00029883,57.47,0
3,0.973158,0.034416,0.113445,0.00029737,57.95,0
4,0.9543,0.058133,0.120969,0.00029533,58.42,0
5,0.947374,0.105645,0.166336,0.00029273,57.33,0
6,0.94302,0.159629,0.222479,0.00028957,57.25,0
7,0.940427,0.081673,0.093396,0.00028587,57.5,0
8,0.938457,0.193516,0.239458,0.00028163,57.42,0
9,0.935964,0.212986,0.248237,0.00027688,57.52,0
10,0.935034,0.16495,0.184477,0.00027164,56.13,0
11,0.934092,0.303688,0.335087,0.00026592,56.33,0
12,0.932371,0.303224,0.338267,0.00025975,56.4,0
13,0.932233,0.191063,0.200433,0.00025316,56.47,0
14,0.930454,0.190352,0.201919,0.00024616,57.13,0
15,0.930131,0.283276,0.302201,0.00023879,57.63,0
16,0.929479,0.366835,0.393881,0.00023107,58.03,0
17,0.928334,0.214139,0.229498,0.00022304,57.49,0
18,0.927794,0.310316,0.331925,0.00021473,55.86,0
19,0.927285,0.249332,0.265525,0.00020617,56.52,0
20,0.926663,0.211787,0.22663,0.00019739,56.71,0
21,0.926129,0.279825,0.307681,0.00018843,55.65,0
22,0.925427,0.246494,0.262744,0.00017933,55.12,0
23,0.925314,0.294742,0.308793,0.00017011,55.75,0
24,0.924289,0.264741,0.285135,0.00016082,54.54,0
25,0.923691,0.246622,0.256896,0.0001515,53.74,0
26,0.923315,0.254717,0.274141,0.00014218,53.94,0
27,0.922878,0.290524,0.307479,0.00013289,54.11,0
28,0.922603,0.303267,0.31614,0.00012367,60.41,0
29,0.922193,0.278965,0.295746,0.00011457,59.46,0
30,0.921793,0.312053,0.325389,0.00010561,58.18,0
31,0.921521,0.316409,0.330148,9.683e-05,57.54,0
32,0.921288,0.297458,0.307851,8.827e-05,57.9,0
33,0.920623,0.345984,0.359527,7.996e-05,57.25,0
34,0.920246,0.330068,0.342928,7.193e-05,59.37,0
35,0.92033,0.29845,0.313606,6.421e-05,61.27,0
36,0.919952,0.316542,0.329788,5.684e-05,58.49,0
