epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.453001,0.000474,0.0,0.00099902,60.56,0
2,1.02171,0.002116,0.0,0.0009961,54.16,0
3,0.992995,0.003865,0.0,0.00099123,52.99,0
4,0.985647,0.005579,0.0,0.00098445,53.54,0
5,0.981504,0.00698,0.0,0.00097577,53.5,0
6,0.976294,0.005937,0.0,0.00096524,53.22,0
7,0.971301,0.011966,0.0,0.00095289,54.17,0
8,0.965299,0.016233,0.039821,0.00093877,55.93,0
9,0.959434,0.010336,0.018632,0.00092294,56.69,0
10,0.955062,0.013029,0.02076,0.00090546,56.44,0
11,0.951323,0.012719,0.019511,0.0008864,54.41,0
12,0.948492,0.013955,0.018599,0.00086584,55.18,0
13,0.946694,0.018406,0.024091,0.00084385,57.4,0
14,0.946192,0.022371,0.031782,0.00082052,59.64,0
15,0.943069,0.009453,0.010499,0.00079595,57.52,0
16,0.94311,0.010976,0.01262,0.00077023,57.73,0
17,0.941433,0.014155,0.016469,0.00074347,57.37,0
18,0.940265,0.017691,0.020792,0.00071576,57.05,0
19,0.940482,0.013412,0.015338,0.00068722,56.34,0
20,0.939975,0.025064,0.030164,0.00065796,57.33,0
21,0.939335,0.014548,0.016499,0.0006281,56.67,0
22,0.937439,0.032085,0.039572,0.00059775,56.03,0
23,0.938175,0.021496,0.024694,0.00056704,55.79,0
24,0.936878,0.017605,0.019854,0.00053608,55.23,0
25,0.935918,0.02201,0.025537,0.000505,55.39,0
26,0.936623,0.022444,0.02706,0.00047392,54.43,0
27,0.935737,0.021974,0.025015,0.00044296,55.28,0
28,0.935401,0.021694,0.025313,0.00041225,55.03,0
29,0.935438,0.018134,0.020483,0.0003819,54.39,0
30,0.934264,0.019748,0.0227,0.00035204,53.93,0
31,0.934232,0.022106,0.025026,0.00032278,54.05,0
32,0.934448,0.018855,0.021554,0.00029424,54.42,0
33,0.933854,0.020821,0.023349,0.00026653,54.5,0
34,0.933133,0.018373,0.020704,0.00023977,54.67,0
35,0.933233,0.02715,0.031336,0.00021405,54.71,0
36,0.932487,0.023254,0.026739,0.00018948,54.52,0
37,0.932531,0.030405,0.035932,0.00016615,55.2,0
38,0.932093,0.026542,0.030718,0.00014416,54.78,0
39,0.932009,0.019652,0.022324,0.0001236,54.25,0
40,0.931925,0.032185,0.038073,0.00010454,55.49,0
41,0.932034,0.025317,0.029409,8.706e-05,54.6,0
42,0.931741,0.027397,0.031944,7.123e-05,53.85,0
43,0.931343,0.024805,0.028578,5.711e-05,54.84,0
44,0.931263,0.025855,0.03006,4.476e-05,54.31,0
45,0.931153,0.028969,0.034147,3.423e-05,54.43,0
46,0.931191,0.029616,0.034769,2.555e-05,54.6,0
47,0.93098,0.026411,0.030487,1.877e-05,54.74,0
48,0.931258,0.028168,0.032808,1.39e-05,54.66,0
49,0.930244,0.027295,0.031607,1.098e-05,54.94,0
50,0.930524,0.027611,0.031982,1e-05,54.82,0
51,0.930286,0.029381,0.034376,1e-05,54.69,0
52,0.930778,0.02748,0.032016,1e-05,54.89,0
53,0.930934,0.027277,0.031659,1e-05,54.72,0
54,0.930756,0.028201,0.032862,1e-05,55.57,0
55,0.930464,0.028328,0.033067,1e-05,54.46,0
56,0.931243,0.027539,0.032027,1e-05,53.54,0
57,0.930492,0.028184,0.032929,1e-05,53.6,0
58,0.930728,0.028335,0.032976,1e-05,54.48,0
59,0.930548,0.02863,0.033338,1e-05,53.41,0
60,0.930523,0.027096,0.031364,1e-05,53.79,0
