epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.595678,0.000463,0.0,0.00099902,96.95,0
2,1.069572,0.00265,0.0,0.0009961,97.51,0
3,0.992916,0.004342,0.0,0.00099123,98.07,0
4,0.983614,0.006101,0.0,0.00098445,98.75,0
5,0.97832,0.008655,0.0,0.00097577,99.88,0
6,0.974215,0.009445,0.0,0.00096524,100.05,0
7,0.968917,0.005934,0.0,0.00095289,96.93,0
8,0.963661,0.015938,0.001622,0.00093877,97.85,0
9,0.957867,0.020442,0.03339,0.00092294,97.16,0
10,0.95386,0.018406,0.02963,0.00090546,96.39,0
11,0.949689,0.045027,0.070494,0.0008864,96.63,0
12,0.947316,0.015419,0.019408,0.00086584,96.33,0
13,0.944779,0.026468,0.033234,0.00084385,96.31,0
14,0.942929,0.024901,0.030909,0.00082052,99.64,0
15,0.942067,0.026802,0.031809,0.00079595,97.05,0
16,0.941093,0.038301,0.044941,0.00077023,96.8,0
17,0.939482,0.016925,0.019694,0.00074347,96.14,0
18,0.938665,0.041513,0.049224,0.00071576,96.61,0
19,0.938358,0.027451,0.031939,0.00068722,98.8,0
20,0.937581,0.048696,0.056216,0.00065796,97.52,0
21,0.936925,0.056644,0.066499,0.0006281,96.91,0
22,0.936105,0.028625,0.032636,0.00059775,96.96,0
23,0.936312,0.02317,0.026331,0.00056704,97.3,0
24,0.93517,0.054577,0.065047,0.00053608,97.48,0
25,0.934628,0.064424,0.074035,0.000505,98.4,0
26,0.934213,0.039556,0.045092,0.00047392,98.15,0
27,0.933885,0.044303,0.052751,0.00044296,99.21,0
28,0.933603,0.026835,0.030602,0.00041225,97.77,0
29,0.933097,0.049642,0.057826,0.0003819,97.28,0
30,0.932856,0.048865,0.056542,0.00035204,96.83,0
31,0.932365,0.059206,0.067462,0.00032278,98.05,0
32,0.93217,0.034971,0.039575,0.00029424,97.69,0
33,0.932298,0.033079,0.037927,0.00026653,99.77,0
34,0.930946,0.037512,0.043832,0.00023977,99.03,0
35,0.93088,0.039242,0.045969,0.00021405,98.05,0
36,0.930989,0.041468,0.047944,0.00018948,98.0,0
37,0.930886,0.027993,0.031389,0.00016615,98.0,0
38,0.930573,0.036234,0.041874,0.00014416,98.14,0
39,0.930267,0.035924,0.041066,0.0001236,98.39,0
40,0.929823,0.035154,0.040104,0.00010454,98.01,0
41,0.92981,0.041347,0.047171,8.706e-05,96.68,0
42,0.929649,0.059311,0.068627,7.123e-05,97.63,0
43,0.929496,0.040006,0.046004,5.711e-05,100.14,0
44,0.929424,0.042439,0.049048,4.476e-05,99.77,0
45,0.92949,0.049474,0.057644,3.423e-05,98.28,0
