epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.485147,0.001474,0.0,0.00099902,47.3,0,779
2,1.044583,0.002438,0.0,0.0009961,45.62,0,1558
3,0.998618,0.040272,0.0,0.00099123,45.33,0,2337
4,0.988773,0.073098,0.0,0.00098445,45.71,0,3116
5,0.98375,0.074655,0.0,0.00097577,45.89,0,3895
6,0.979964,0.117255,0.0,0.00096524,46.7,0,4674
7,0.976384,0.114253,0.0,0.00095289,47.1,0,5453
8,0.972554,0.146215,0.0,0.00093877,45.8,0,6232
9,0.967474,0.162708,0.234004,0.00092294,45.45,0,7011
10,0.962816,0.221806,0.295798,0.00090546,45.79,0,7790
11,0.958467,0.202482,0.255397,0.0008864,45.25,0,8569
12,0.955244,0.231834,0.279979,0.00086584,45.83,0,9348
13,0.951923,0.218228,0.244456,0.00084385,46.27,0,10127
14,0.949368,0.259369,0.287671,0.00082052,46.93,0,10906
15,0.946866,0.286541,0.315157,0.00079595,46.62,0,11685
16,0.946525,0.228074,0.240472,0.00077023,46.52,0,12464
17,0.944128,0.347655,0.366533,0.00074347,46.64,0,13243
18,0.943626,0.322636,0.338554,0.00071576,46.5,0,14022
19,0.942347,0.353389,0.36792,0.00068722,46.29,0,14801
20,0.941558,0.281849,0.295299,0.00065796,45.08,0,15580
21,0.940942,0.266302,0.275488,0.0006281,45.2,0,16359
22,0.940076,0.315205,0.324194,0.00059775,45.43,0,17138
23,0.939922,0.359036,0.371958,0.00056704,45.64,0,17917
24,0.938325,0.32034,0.327732,0.00053608,45.53,0,18696
25,0.938151,0.32604,0.334184,0.000505,45.28,0,19475
26,0.938153,0.27619,0.281187,0.00047392,45.73,0,20254
27,0.937248,0.290127,0.296185,0.00044296,45.27,0,21033
28,0.936755,0.313257,0.319967,0.00041225,45.94,0,21812
29,0.936266,0.326252,0.332901,0.0003819,45.58,0,22591
30,0.93575,0.345522,0.353622,0.00035204,46.89,0,23370
31,0.935682,0.338938,0.345196,0.00032278,47.3,0,24149
32,0.934867,0.274703,0.278518,0.00029424,46.6,0,24928
33,0.935069,0.295387,0.30056,0.00026653,46.78,0,25707
34,0.9345,0.319257,0.324539,0.00023977,46.16,0,26486
35,0.933995,0.293837,0.298046,0.00021405,46.32,0,27265
36,0.933853,0.316627,0.322571,0.00018948,46.01,0,28044
37,0.933804,0.338882,0.344262,0.00016615,46.38,0,28823
38,0.933388,0.285237,0.288746,0.00014416,46.21,0,29602
39,0.933127,0.286013,0.289083,0.0001236,46.24,0,30381
40,0.933119,0.255583,0.258849,0.00010454,46.19,0,31160
41,0.932735,0.278482,0.282675,8.706e-05,45.4,0,31939
42,0.932473,0.282131,0.286222,7.123e-05,45.72,0,32718
43,0.93222,0.260005,0.261964,5.711e-05,45.18,0,33497
