epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.490182,0.00046,0.000145,0.00099932,44.0,0,749
2,1.065599,0.003035,0.0,0.00099728,43.51,0,1498
3,0.995869,0.034866,0.0,0.00099389,43.57,0,2247
4,0.985619,0.057603,0.0,0.00098916,43.39,0,2996
5,0.981023,0.105827,0.0,0.0009831,43.3,0,3745
6,0.977387,0.107839,0.0,0.00097573,43.59,0,4494
7,0.974201,0.10483,0.0,0.00096706,43.6,0,5243
8,0.970422,0.07352,0.0,0.00095713,43.18,0,5992
9,0.965311,0.195616,0.014915,0.00094595,43.59,0,6741
10,0.959377,0.188998,0.257144,0.00093357,43.77,0,7490
11,0.955689,0.289261,0.367743,0.00092,43.55,0,8239
12,0.95092,0.259326,0.30996,0.0009053,43.53,0,8988
13,0.947961,0.25883,0.296673,0.0008895,43.19,0,9737
14,0.945674,0.362279,0.408789,0.00087264,42.91,0,10486
15,0.94332,0.323878,0.354187,0.00085477,43.19,0,11235
16,0.942297,0.414721,0.449728,0.00083595,42.69,0,11984
17,0.940182,0.31262,0.335421,0.00081621,43.01,0,12733
18,0.939959,0.425154,0.45144,0.00079562,42.68,0,13482
19,0.937836,0.339603,0.356958,0.00077423,42.95,0,14231
20,0.937604,0.205089,0.21334,0.0007521,42.69,0,14980
21,0.936958,0.344067,0.356648,0.00072929,43.18,0,15729
22,0.935683,0.358556,0.372378,0.00070587,43.39,0,16478
23,0.935122,0.344796,0.355835,0.0006819,42.83,0,17227
24,0.934993,0.338084,0.344463,0.00065744,42.83,0,17976
25,0.934386,0.379504,0.392081,0.00063256,42.85,0,18725
26,0.934018,0.346048,0.355904,0.00060733,42.93,0,19474
27,0.933159,0.345606,0.355344,0.00058182,42.89,0,20223
28,0.933225,0.328081,0.33593,0.0005561,43.19,0,20972
29,0.93223,0.314468,0.321523,0.00053024,43.46,0,21721
30,0.931774,0.400671,0.411029,0.00050431,43.1,0,22470
31,0.930967,0.37282,0.380762,0.00047838,43.18,0,23219
32,0.931355,0.404866,0.413002,0.00045252,42.96,0,23968
33,0.930772,0.328542,0.335402,0.00042681,43.41,0,24717
34,0.930195,0.383174,0.393019,0.00040132,43.53,0,25466
35,0.930185,0.407315,0.416395,0.0003761,43.7,0,26215
36,0.92973,0.370644,0.379363,0.00035125,44.1,0,26964
37,0.929512,0.314074,0.318626,0.00032681,43.15,0,27713
38,0.928905,0.347747,0.354863,0.00030286,42.9,0,28462
39,0.928828,0.386314,0.393562,0.00027947,43.28,0,29211
40,0.928973,0.337914,0.344604,0.0002567,43.17,0,29960
41,0.928553,0.350594,0.355827,0.00023461,43.14,0,30709
42,0.92815,0.335767,0.342105,0.00021326,43.42,0,31458
