epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.077596,0.000462,0.000588,0.00099902,62.91,0
2,1.02223,0.000471,0.0,0.0009961,53.35,0
3,0.999553,0.00305,0.0,0.00099123,51.27,0
4,0.991255,0.014492,0.0,0.00098445,51.57,0
5,0.982839,0.030984,0.0,0.00097577,51.01,0
6,0.975805,0.04072,0.0,0.00096524,51.4,0
7,0.968645,0.087487,0.142128,0.00095289,54.63,0
8,0.961404,0.118152,0.168399,0.00093877,54.63,0
9,0.955303,0.111523,0.137929,0.00092294,52.73,0
10,0.951314,0.157991,0.18707,0.00090546,51.77,0
11,0.948264,0.153342,0.172844,0.0008864,52.8,0
12,0.945617,0.124485,0.13495,0.00086584,54.72,0
13,0.942804,0.255213,0.27775,0.00084385,55.3,0
14,0.94166,0.119184,0.127956,0.00082052,56.84,0
15,0.941104,0.205214,0.219099,0.00079595,55.59,0
16,0.939393,0.223798,0.234075,0.00077023,57.24,0
17,0.938055,0.268477,0.282587,0.00074347,61.17,0
18,0.937279,0.29515,0.31037,0.00071576,58.33,0
19,0.936531,0.26712,0.277919,0.00068722,64.37,0
20,0.935928,0.219151,0.227394,0.00065796,64.11,0
21,0.935215,0.267178,0.275814,0.0006281,60.38,0
22,0.934369,0.303814,0.313686,0.00059775,64.17,0
23,0.934083,0.332105,0.343631,0.00056704,63.81,0
24,0.933762,0.335502,0.351385,0.00053608,61.63,0
25,0.933109,0.300919,0.311788,0.000505,59.96,0
26,0.93282,0.299138,0.308193,0.00047392,54.11,0
27,0.931851,0.205427,0.210964,0.00044296,56.28,0
28,0.931562,0.310624,0.320666,0.00041225,60.25,0
29,0.930931,0.308503,0.31817,0.0003819,61.07,0
30,0.93092,0.295449,0.304768,0.00035204,61.25,0
31,0.930196,0.257401,0.262352,0.00032278,60.95,0
32,0.929903,0.307387,0.315274,0.00029424,60.46,0
33,0.929564,0.305729,0.313813,0.00026653,60.9,0
34,0.929218,0.351682,0.362261,0.00023977,60.69,0
35,0.92892,0.358945,0.366843,0.00021405,61.22,0
36,0.928664,0.340927,0.349295,0.00018948,62.62,0
37,0.928449,0.349524,0.357298,0.00016615,63.62,0
38,0.928448,0.324609,0.333692,0.00014416,61.59,0
39,0.927897,0.345848,0.354548,0.0001236,62.77,0
40,0.927669,0.336159,0.343799,0.00010454,63.15,0
41,0.927816,0.325543,0.332761,8.706e-05,62.95,0
42,0.927422,0.309507,0.316137,7.123e-05,63.06,0
43,0.927126,0.34584,0.353554,5.711e-05,62.57,0
44,0.927032,0.33336,0.340744,4.476e-05,63.01,0
45,0.926628,0.334808,0.341953,3.423e-05,62.53,0
46,0.926468,0.343566,0.351071,2.555e-05,62.68,0
47,0.92657,0.339569,0.347207,1.877e-05,63.16,0
48,0.926559,0.33845,0.346322,1.39e-05,57.61,0
49,0.926395,0.341583,0.349172,1.098e-05,53.61,0
50,0.926605,0.340738,0.347977,1e-05,57.79,0
51,0.926404,0.34135,0.349523,1e-05,61.44,0
52,0.926899,0.338356,0.346409,1e-05,61.2,0
53,0.926663,0.332799,0.340415,1e-05,61.76,0
54,0.926341,0.333745,0.341039,1e-05,62.22,0
55,0.92645,0.33645,0.343767,1e-05,61.42,0
