epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.775828,0.000464,0.000491,0.00099902,21.99,0
2,1.656321,0.000463,0.0,0.0009961,22.05,0
3,1.577588,0.000462,0.0,0.00099123,21.92,0
4,1.510454,0.000463,0.0,0.00098445,22.26,0
5,1.452623,0.000463,0.0,0.00097577,22.03,0
6,1.340543,0.000473,0.0,0.00096524,22.19,0
7,1.071602,0.00229,0.0,0.00095289,22.2,0
8,0.997187,0.005631,0.0,0.00093877,21.97,0
9,0.959013,0.016292,0.0,0.00092294,22.28,0
10,0.931479,0.029107,0.0,0.00090546,22.4,0
11,0.908291,0.04095,0.0,0.0008864,22.26,0
12,0.891385,0.071711,0.0,0.00086584,22.6,0
13,0.877823,0.087327,0.0,0.00084385,22.37,0
14,0.868566,0.062451,0.0,0.00082052,22.3,0
15,0.857959,0.068153,0.0,0.00079595,22.16,0
16,0.848804,0.120653,0.0,0.00077023,22.16,0
17,0.841016,0.135698,0.0,0.00074347,22.14,0
18,0.835813,0.14827,0.0,0.00071576,22.37,0
19,0.826572,0.161572,0.0,0.00068722,22.32,0
20,0.816954,0.160195,0.0,0.00065796,22.61,0
21,0.808085,0.118947,0.0,0.0006281,22.25,0
22,0.801161,0.168068,0.0,0.00059775,22.24,0
23,0.794046,0.195391,0.0,0.00056704,22.32,0
24,0.786788,0.164253,0.020287,0.00053608,22.35,0
25,0.780498,0.1893,0.30598,0.000505,22.81,0
26,0.771113,0.224465,0.331356,0.00047392,22.8,0
27,0.764429,0.18046,0.275094,0.00044296,22.08,0
28,0.757857,0.272672,0.416859,0.00041225,22.22,0
29,0.751996,0.214298,0.31726,0.0003819,22.28,0
30,0.748566,0.250873,0.351523,0.00035204,22.21,0
31,0.741919,0.20713,0.299726,0.00032278,22.37,0
32,0.738593,0.237137,0.324006,0.00029424,22.31,0
33,0.733792,0.258239,0.356675,0.00026653,22.19,0
34,0.728907,0.240087,0.323069,0.00023977,22.14,0
35,0.72647,0.227132,0.308288,0.00021405,22.29,0
36,0.723484,0.277335,0.363199,0.00018948,22.17,0
37,0.720374,0.252095,0.332275,0.00016615,22.14,0
38,0.718095,0.270185,0.352054,0.00014416,22.05,0
39,0.714434,0.276641,0.360579,0.0001236,22.17,0
40,0.714596,0.263109,0.336827,0.00010454,22.21,0
41,0.712578,0.272699,0.352366,8.706e-05,22.11,0
42,0.71121,0.261022,0.333337,7.123e-05,22.01,0
43,0.70927,0.283608,0.367498,5.711e-05,22.02,0
44,0.708027,0.267684,0.341521,4.476e-05,21.91,0
45,0.708547,0.269878,0.344781,3.423e-05,21.95,0
46,0.707072,0.271066,0.346635,2.555e-05,22.25,0
47,0.706986,0.278693,0.355554,1.877e-05,22.22,0
48,0.706154,0.277901,0.354408,1.39e-05,22.12,0
49,0.705883,0.277602,0.354255,1.098e-05,22.04,0
50,0.705288,0.275523,0.349489,1e-05,22.14,0
51,0.705169,0.276694,0.351595,1e-05,22.08,0
52,0.705567,0.28029,0.355817,1e-05,22.32,0
53,0.70446,0.278374,0.352582,1e-05,22.37,0
54,0.704458,0.276201,0.350158,1e-05,22.49,0
55,0.705071,0.276625,0.350656,1e-05,22.39,0
56,0.704394,0.27725,0.351058,1e-05,22.48,0
57,0.705391,0.272864,0.345949,1e-05,22.54,0
58,0.704227,0.274796,0.348392,1e-05,22.5,0
59,0.703986,0.275956,0.348998,1e-05,22.84,0
60,0.70483,0.271964,0.344157,1e-05,22.29,0
61,0.70447,0.275229,0.348896,1e-05,22.37,0
62,0.704168,0.272448,0.344964,1e-05,22.1,0
63,0.702954,0.278392,0.351289,1e-05,22.03,0
