epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,0.99554,0.003101,0.004184,0.00099902,55.1,0
2,0.986565,0.009838,0.011097,0.0009961,54.88,0
3,0.973724,0.02594,0.026173,0.00099123,55.56,0
4,0.965045,0.030077,0.030117,0.00098445,54.92,0
5,0.961265,0.032516,0.032552,0.00097577,54.98,0
6,0.958731,0.034665,0.034685,0.00096524,55.3,0
7,0.956956,0.034596,0.034639,0.00095289,54.47,0
8,0.955596,0.048174,0.04823,0.00093877,55.02,0
9,0.954825,0.032521,0.032584,0.00092294,54.79,0
10,0.953846,0.044608,0.044687,0.00090546,54.71,0
11,0.953306,0.042441,0.042505,0.0008864,54.72,0
12,0.953078,0.043045,0.043135,0.00086584,55.05,0
13,0.951899,0.03971,0.039778,0.00084385,54.74,0
14,0.951558,0.054529,0.054645,0.00082052,54.64,0
15,0.951178,0.040382,0.040409,0.00079595,54.33,0
16,0.950885,0.06254,0.062576,0.00077023,54.41,0
17,0.950531,0.045067,0.04512,0.00074347,55.64,0
18,0.950484,0.045777,0.045858,0.00071576,54.88,0
19,0.949769,0.056704,0.056797,0.00068722,53.21,0
20,0.949674,0.056382,0.056467,0.00065796,52.02,0
21,0.949098,0.036117,0.036128,0.0006281,50.69,0
22,0.948529,0.04556,0.045631,0.00059775,50.35,0
23,0.948035,0.051449,0.051521,0.00056704,50.57,0
24,0.947866,0.047374,0.04745,0.00053608,51.0,0
25,0.947368,0.04994,0.049941,0.000505,49.94,0
26,0.94747,0.040401,0.040446,0.00047392,53.37,0
27,0.946853,0.036559,0.036578,0.00044296,54.08,0
28,0.946889,0.046296,0.046315,0.00041225,53.4,0
29,0.94661,0.05647,0.056539,0.0003819,51.78,0
30,0.946073,0.062913,0.06301,0.00035204,51.31,0
31,0.945812,0.056188,0.056267,0.00032278,51.51,0
32,0.945703,0.065084,0.065183,0.00029424,52.22,0
33,0.945506,0.052267,0.052327,0.00026653,51.61,0
34,0.944918,0.0689,0.06899,0.00023977,51.58,0
35,0.944817,0.067089,0.067144,0.00021405,51.32,0
36,0.944666,0.071446,0.071517,0.00018948,51.21,0
37,0.944528,0.07826,0.078351,0.00016615,50.05,0
38,0.944466,0.077284,0.077394,0.00014416,51.48,0
39,0.944163,0.082225,0.082374,0.0001236,51.48,0
40,0.943834,0.074878,0.075057,0.00010454,52.43,0
41,0.943868,0.078175,0.078286,8.706e-05,54.57,0
42,0.943621,0.074533,0.07471,7.123e-05,54.46,0
43,0.943617,0.074407,0.074553,5.711e-05,51.52,0
44,0.94343,0.079964,0.080176,4.476e-05,50.68,0
45,0.943553,0.081855,0.081936,3.423e-05,50.31,0
46,0.943446,0.081658,0.081793,2.555e-05,51.02,0
47,0.943433,0.082781,0.082952,1.877e-05,50.5,0
48,0.943342,0.078459,0.078585,1.39e-05,52.88,0
49,0.94341,0.078359,0.078478,1.098e-05,55.44,0
50,0.94295,0.07861,0.078778,1e-05,54.09,0
51,0.943067,0.081517,0.081674,1e-05,54.3,0
52,0.943249,0.080435,0.080619,1e-05,55.14,0
53,0.943131,0.079145,0.079273,1e-05,55.28,0
54,0.943206,0.079614,0.079754,1e-05,54.73,0
55,0.942978,0.080546,0.080717,1e-05,55.68,0
56,0.943276,0.076089,0.076149,1e-05,54.8,0
57,0.943084,0.077691,0.077751,1e-05,55.04,0
58,0.94328,0.079349,0.079407,1e-05,55.43,0
59,0.9434,0.07715,0.077202,1e-05,55.25,0
60,0.943261,0.078529,0.078595,1e-05,55.23,0
61,0.943024,0.079199,0.079336,1e-05,54.39,0
62,0.943077,0.079848,0.080008,1e-05,55.15,0
63,0.943261,0.082716,0.082868,1e-05,54.68,0
64,0.943131,0.083504,0.083682,1e-05,53.95,0
65,0.942972,0.084705,0.084905,1e-05,54.15,0
66,0.943172,0.084058,0.084171,1e-05,54.2,0
67,0.942901,0.081198,0.0813,1e-05,54.53,0
68,0.943156,0.082729,0.082876,1e-05,54.33,0
69,0.943242,0.082432,0.082502,1e-05,54.37,0
70,0.942966,0.085308,0.085476,1e-05,54.19,0
71,0.942978,0.083379,0.083476,1e-05,54.02,0
72,0.943218,0.083026,0.083145,1e-05,54.37,0
73,0.943098,0.083309,0.083418,1e-05,54.28,0
74,0.943018,0.081761,0.081849,1e-05,54.19,0
75,0.942969,0.082953,0.08307,1e-05,53.76,0
76,0.943231,0.083908,0.084038,1e-05,54.62,0
77,0.942671,0.082183,0.082263,1e-05,54.94,0
78,0.942688,0.082756,0.082864,1e-05,54.81,0
79,0.942974,0.080775,0.080833,1e-05,54.68,0
80,0.942879,0.083796,0.083905,1e-05,55.26,0
81,0.942572,0.083353,0.083468,1e-05,55.44,0
82,0.943229,0.083237,0.083389,1e-05,54.52,0
83,0.94277,0.085267,0.085457,1e-05,54.57,0
84,0.942965,0.082524,0.082592,1e-05,54.67,0
85,0.942898,0.081113,0.081162,1e-05,54.45,0
86,0.943057,0.084455,0.084569,1e-05,54.3,0
87,0.942991,0.082914,0.082925,1e-05,54.1,0
88,0.943066,0.083844,0.083953,1e-05,54.18,0
89,0.943028,0.086702,0.086846,1e-05,54.45,0
90,0.943342,0.083066,0.083066,1e-05,54.27,0
91,0.943046,0.085012,0.085125,1e-05,54.58,0
92,0.942946,0.08292,0.08304,1e-05,54.46,0
93,0.942802,0.085794,0.08591,1e-05,54.47,0
94,0.943012,0.088187,0.088442,1e-05,54.64,0
95,0.942693,0.083748,0.083895,1e-05,55.01,0
96,0.942821,0.08487,0.084974,1e-05,54.13,0
97,0.942875,0.086974,0.08714,1e-05,54.45,0
98,0.942972,0.084302,0.084493,1e-05,54.68,0
99,0.943162,0.082975,0.083109,1e-05,54.57,0
100,0.942735,0.084081,0.084129,1e-05,54.71,0
