epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.422285,0.000476,0.0,0.00099902,61.79,0,898
2,1.015445,0.008034,0.0,0.0009961,61.57,0,1796
3,0.994611,0.022656,0.0,0.00099123,61.76,0,2694
4,0.985423,0.040426,0.0,0.00098445,61.73,0,3592
5,0.980233,0.088835,0.0,0.00097577,61.88,0,4490
6,0.974987,0.117012,0.0,0.00096524,61.88,0,5388
7,0.970291,0.114988,0.0,0.00095289,61.52,0,6286
8,0.96449,0.115649,0.173199,0.00093877,61.26,0,7184
9,0.958374,0.106336,0.142809,0.00092294,61.75,0,8082
10,0.954139,0.223132,0.266636,0.00090546,61.3,0,8980
11,0.950224,0.229225,0.268006,0.0008864,61.25,0,9878
12,0.947434,0.187911,0.209045,0.00086584,61.29,0,10776
13,0.945293,0.192493,0.211885,0.00084385,61.01,0,11674
14,0.943097,0.225664,0.242722,0.00082052,61.97,0,12572
15,0.942087,0.211945,0.227324,0.00079595,61.5,0,13470
16,0.941474,0.275102,0.291389,0.00077023,62.24,0,14368
17,0.940283,0.314553,0.333778,0.00074347,61.68,0,15266
18,0.9387,0.300942,0.316925,0.00071576,61.74,0,16164
19,0.93861,0.317477,0.330561,0.00068722,61.47,0,17062
20,0.937701,0.265946,0.275542,0.00065796,61.67,0,17960
21,0.93708,0.150062,0.153883,0.0006281,61.66,0,18858
22,0.936181,0.280435,0.290284,0.00059775,62.07,0,19756
23,0.936172,0.317483,0.326823,0.00056704,62.14,0,20654
24,0.934869,0.25536,0.26528,0.00053608,62.02,0,21552
25,0.934173,0.264662,0.274491,0.000505,61.82,0,22450
26,0.93401,0.332656,0.342624,0.00047392,61.9,0,23348
27,0.933197,0.323664,0.331868,0.00044296,62.0,0,24246
28,0.932315,0.255907,0.263401,0.00041225,61.82,0,25144
29,0.933003,0.326873,0.334718,0.0003819,62.17,0,26042
30,0.93169,0.328939,0.337214,0.00035204,62.16,0,26940
31,0.931516,0.342872,0.351817,0.00032278,61.53,0,27838
32,0.931216,0.35126,0.360636,0.00029424,61.78,0,28736
33,0.931104,0.358406,0.366107,0.00026653,61.55,0,29634
34,0.93044,0.310632,0.317051,0.00023977,61.84,0,30532
35,0.930363,0.281774,0.288915,0.00021405,62.13,0,31430
36,0.929989,0.366266,0.37656,0.00018948,62.11,0,32328
37,0.929727,0.334796,0.344086,0.00016615,61.67,0,33226
38,0.92925,0.34287,0.350641,0.00014416,61.91,0,34124
39,0.929164,0.356963,0.363974,0.0001236,61.94,0,35022
40,0.928892,0.354618,0.362399,0.00010454,61.58,0,35920
41,0.928981,0.337133,0.345008,8.706e-05,62.08,0,36818
42,0.928384,0.326029,0.332899,7.123e-05,61.61,0,37716
43,0.9282,0.336296,0.34354,5.711e-05,61.82,0,38614
44,0.92843,0.351116,0.358531,4.476e-05,62.15,0,39512
45,0.928247,0.352825,0.360412,3.423e-05,62.31,0,40410
46,0.928103,0.342224,0.350634,2.555e-05,62.12,0,41308
47,0.928088,0.342145,0.349892,1.877e-05,61.98,0,42206
48,0.927852,0.34967,0.357312,1.39e-05,62.35,0,43104
49,0.927746,0.343072,0.350524,1.098e-05,61.66,0,44002
50,0.928169,0.352113,0.359573,1e-05,61.88,0,44900
51,0.927829,0.345084,0.352297,1e-05,61.86,0,45798
52,0.927588,0.348042,0.355418,1e-05,62.26,0,46696
53,0.9279,0.345324,0.35306,1e-05,61.74,0,47594
54,0.928169,0.343316,0.350501,1e-05,61.48,0,48492
55,0.927817,0.348076,0.355471,1e-05,62.1,0,49390
