epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.142242,0.001889,0.0,0.00099902,62.98,0
2,0.986153,0.091746,0.2353,0.0009961,62.82,0
3,0.957438,0.202323,0.314272,0.00099123,62.85,0
4,0.948519,0.235054,0.269488,0.00098445,62.8,0
5,0.945016,0.288321,0.320201,0.00097577,63.01,0
6,0.941822,0.288677,0.308403,0.00096524,62.96,0
7,0.940465,0.292772,0.315265,0.00095289,62.62,0
8,0.938427,0.348389,0.372076,0.00093877,62.67,0
9,0.937098,0.331392,0.346045,0.00092294,63.77,0
10,0.935589,0.381583,0.398915,0.00090546,62.39,0
11,0.934453,0.367221,0.383401,0.0008864,63.04,0
12,0.933776,0.333185,0.349405,0.00086584,62.74,0
13,0.933391,0.361894,0.37368,0.00084385,61.58,0
14,0.932493,0.312162,0.320315,0.00082052,60.59,0
15,0.930878,0.355172,0.362269,0.00079595,59.85,0
16,0.931139,0.429894,0.441559,0.00077023,59.59,0
17,0.92994,0.334917,0.347494,0.00074347,59.78,0
18,0.928956,0.404079,0.415241,0.00071576,59.79,0
19,0.928275,0.417737,0.430661,0.00068722,59.34,0
20,0.927964,0.338296,0.346149,0.00065796,59.33,0
21,0.927528,0.223915,0.228681,0.0006281,59.04,0
22,0.927424,0.325354,0.33228,0.00059775,59.33,0
23,0.926539,0.368762,0.377073,0.00056704,59.88,0
24,0.926154,0.289836,0.298792,0.00053608,60.19,0
25,0.925428,0.346543,0.35463,0.000505,60.35,0
26,0.925138,0.316368,0.3221,0.00047392,60.49,0
27,0.924554,0.344471,0.349937,0.00044296,62.52,0
28,0.924253,0.373633,0.379261,0.00041225,61.54,0
29,0.924208,0.335496,0.34088,0.0003819,61.44,0
30,0.92354,0.320576,0.325949,0.00035204,61.52,0
31,0.923128,0.318978,0.322974,0.00032278,60.69,0
32,0.923503,0.300938,0.306328,0.00029424,61.0,0
33,0.922588,0.302074,0.305284,0.00026653,60.77,0
34,0.922418,0.328634,0.33234,0.00023977,60.44,0
35,0.922055,0.338383,0.344297,0.00021405,60.63,0
36,0.922177,0.319115,0.321817,0.00018948,61.19,0
