epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.179459,0.000486,0.0,0.00029971,72.13,0
2,1.030037,0.004784,0.0,0.00029883,70.84,0
3,0.990339,0.052567,0.1977,0.00029737,71.27,0
4,0.963538,0.086229,0.148689,0.00029533,71.82,0
5,0.951308,0.170849,0.320786,0.00029273,72.08,0
6,0.945031,0.174188,0.213327,0.00028957,70.8,0
7,0.940706,0.204718,0.234327,0.00028587,70.9,0
8,0.93879,0.228114,0.251322,0.00028163,71.41,0
9,0.937084,0.271629,0.290247,0.00027688,70.91,0
10,0.934807,0.311336,0.326756,0.00027164,70.88,0
11,0.933633,0.342968,0.36449,0.00026592,71.24,0
12,0.932786,0.365989,0.382997,0.00025975,70.7,0
13,0.931743,0.250011,0.263754,0.00025316,71.12,0
14,0.929916,0.270107,0.281117,0.00024616,70.98,0
15,0.929952,0.242201,0.250227,0.00023879,71.16,0
16,0.92855,0.362095,0.37388,0.00023107,71.37,0
17,0.927969,0.340299,0.352962,0.00022304,71.31,0
18,0.927754,0.385541,0.398943,0.00021473,70.12,0
19,0.926329,0.365456,0.372343,0.00020617,71.02,0
20,0.925651,0.264999,0.2708,0.00019739,71.54,0
21,0.925337,0.356642,0.363664,0.00018843,71.41,0
22,0.924799,0.348673,0.367066,0.00017933,71.14,0
23,0.924328,0.405365,0.418028,0.00017011,71.38,0
24,0.924082,0.350825,0.359799,0.00016082,71.0,0
25,0.923396,0.307506,0.316927,0.0001515,70.61,0
26,0.923148,0.355771,0.366928,0.00014218,70.84,0
27,0.922248,0.318538,0.323987,0.00013289,71.14,0
28,0.921952,0.33601,0.341693,0.00012367,70.83,0
29,0.921613,0.320174,0.328775,0.00011457,70.34,0
30,0.921358,0.463217,0.470542,0.00010561,70.91,0
31,0.92098,0.390442,0.39658,9.683e-05,70.86,0
32,0.920729,0.371081,0.377988,8.827e-05,71.32,0
33,0.920187,0.370132,0.37728,7.996e-05,70.87,0
34,0.919889,0.332567,0.341866,7.193e-05,70.49,0
35,0.919619,0.350863,0.358152,6.421e-05,70.98,0
36,0.919226,0.369818,0.378149,5.684e-05,70.93,0
37,0.91871,0.361219,0.366788,4.984e-05,70.63,0
38,0.918677,0.352787,0.35905,4.325e-05,70.77,0
39,0.918337,0.307219,0.315921,3.708e-05,70.34,0
40,0.918133,0.350613,0.356849,3.136e-05,70.67,0
41,0.917978,0.345824,0.350868,2.612e-05,71.21,0
42,0.917765,0.354794,0.361521,2.137e-05,70.66,0
43,0.917638,0.356929,0.36225,1.713e-05,70.31,0
44,0.917503,0.344985,0.351072,1.343e-05,70.41,0
45,0.917368,0.321609,0.329017,1.027e-05,71.17,0
46,0.917211,0.332254,0.339127,7.67e-06,70.11,0
47,0.917209,0.324149,0.330435,5.63e-06,70.29,0
48,0.917105,0.332049,0.338138,4.17e-06,70.75,0
49,0.916849,0.341358,0.347411,3.29e-06,70.65,0
50,0.916993,0.343486,0.348645,3e-06,70.64,0
