epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.456661,0.000461,0.0,0.00099902,54.56,0
2,1.021941,0.011074,0.0,0.0009961,51.66,0
3,0.993407,0.02172,0.0,0.00099123,51.36,0
4,0.984439,0.07994,0.0,0.00098445,51.49,0
5,0.97968,0.071383,0.0,0.00097577,51.52,0
6,0.975525,0.105107,0.0,0.00096524,51.75,0
7,0.970024,0.143833,0.0,0.00095289,52.1,0
8,0.964695,0.191912,0.302346,0.00093877,52.29,0
9,0.958833,0.217475,0.289449,0.00092294,52.68,0
10,0.954089,0.209935,0.253384,0.00090546,52.97,0
11,0.949657,0.319859,0.37177,0.0008864,52.89,0
12,0.946756,0.213769,0.238423,0.00086584,52.72,0
13,0.94428,0.25151,0.273751,0.00084385,53.07,0
14,0.942625,0.141987,0.14963,0.00082052,52.89,0
15,0.941395,0.225056,0.237794,0.00079595,52.61,0
16,0.940301,0.376728,0.397812,0.00077023,52.87,0
17,0.939121,0.391732,0.408274,0.00074347,52.64,0
18,0.93812,0.282068,0.296397,0.00071576,52.49,0
19,0.937058,0.336256,0.349647,0.00068722,52.9,0
20,0.936571,0.374171,0.385774,0.00065796,52.65,0
21,0.935715,0.353722,0.366044,0.0006281,52.61,0
22,0.93514,0.409781,0.420031,0.00059775,52.62,0
23,0.935006,0.331635,0.340966,0.00056704,52.66,0
24,0.934079,0.377683,0.387953,0.00053608,52.76,0
25,0.933625,0.350569,0.358185,0.000505,53.06,0
26,0.933004,0.300616,0.30659,0.00047392,52.67,0
27,0.932332,0.358008,0.367897,0.00044296,52.7,0
28,0.932393,0.416479,0.426642,0.00041225,52.73,0
29,0.931347,0.340293,0.34897,0.0003819,52.61,0
30,0.930918,0.348511,0.35883,0.00035204,52.38,0
31,0.930817,0.381726,0.392457,0.00032278,52.44,0
32,0.930643,0.416315,0.425834,0.00029424,52.92,0
33,0.929854,0.385859,0.395868,0.00026653,53.0,0
34,0.929519,0.422778,0.432962,0.00023977,53.05,0
35,0.929352,0.398286,0.407293,0.00021405,52.73,0
36,0.928966,0.436662,0.445211,0.00018948,52.85,0
37,0.928672,0.434434,0.443273,0.00016615,53.12,0
38,0.928707,0.41334,0.422079,0.00014416,52.87,0
39,0.9278,0.457004,0.464491,0.0001236,52.89,0
40,0.928261,0.432745,0.440937,0.00010454,52.75,0
41,0.927835,0.429746,0.43826,8.706e-05,52.93,0
42,0.927596,0.430482,0.43988,7.123e-05,52.65,0
43,0.927461,0.440822,0.45156,5.711e-05,53.39,0
44,0.927163,0.428048,0.436396,4.476e-05,52.76,0
45,0.92722,0.44272,0.451415,3.423e-05,53.47,0
46,0.926885,0.44205,0.450637,2.555e-05,52.96,0
47,0.927208,0.438648,0.447781,1.877e-05,52.31,0
48,0.927214,0.438864,0.447077,1.39e-05,51.83,0
49,0.926626,0.442281,0.450419,1.098e-05,52.59,0
50,0.926777,0.439654,0.448588,1e-05,52.88,0
51,0.927002,0.444847,0.453732,1e-05,52.94,0
52,0.927229,0.43753,0.44612,1e-05,52.87,0
53,0.926635,0.437713,0.446511,1e-05,52.72,0
54,0.926924,0.436437,0.445715,1e-05,52.72,0
55,0.926719,0.438457,0.446864,1e-05,52.9,0
56,0.926908,0.427255,0.435623,1e-05,53.02,0
57,0.926729,0.432308,0.439847,1e-05,53.08,0
58,0.926855,0.432656,0.440298,1e-05,52.61,0
59,0.926729,0.432872,0.441196,1e-05,52.61,0
