epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.596145,0.000466,0.0,0.00099902,102.09,0
2,1.088316,0.007024,0.0,0.0009961,99.97,0
3,0.996383,0.033044,0.0,0.00099123,99.82,0
4,0.98613,0.052607,0.0,0.00098445,100.74,0
5,0.98021,0.101195,0.0,0.00097577,100.12,0
6,0.976267,0.07564,0.0,0.00096524,99.85,0
7,0.971691,0.083493,0.0,0.00095289,100.01,0
8,0.96607,0.119793,0.191733,0.00093877,101.48,0
9,0.961866,0.21554,0.306032,0.00092294,99.77,0
10,0.955317,0.22018,0.275872,0.00090546,101.08,0
11,0.952334,0.243934,0.290616,0.0008864,101.96,0
12,0.947104,0.206065,0.22984,0.00086584,101.3,0
13,0.944843,0.340715,0.372706,0.00084385,102.13,0
14,0.943205,0.311342,0.332028,0.00082052,101.05,0
15,0.942012,0.278045,0.293531,0.00079595,101.85,0
16,0.940426,0.343812,0.364355,0.00077023,102.31,0
17,0.938746,0.361549,0.377256,0.00074347,102.39,0
18,0.938205,0.372741,0.386926,0.00071576,101.09,0
19,0.936966,0.319828,0.331155,0.00068722,99.67,0
20,0.936,0.386022,0.397002,0.00065796,99.87,0
21,0.935677,0.324271,0.331724,0.0006281,100.2,0
22,0.935088,0.311639,0.319949,0.00059775,100.16,0
23,0.93406,0.393505,0.402372,0.00056704,100.44,0
24,0.933589,0.409988,0.418992,0.00053608,100.67,0
25,0.933285,0.38647,0.395704,0.000505,99.31,0
26,0.932824,0.298858,0.304206,0.00047392,98.89,0
27,0.931364,0.451761,0.459837,0.00044296,102.01,0
28,0.931146,0.389778,0.398193,0.00041225,108.07,0
29,0.931089,0.366093,0.373607,0.0003819,106.86,0
30,0.930556,0.392288,0.399608,0.00035204,104.79,0
31,0.93006,0.325456,0.330631,0.00032278,103.46,0
32,0.9299,0.413255,0.420078,0.00029424,102.15,0
33,0.929025,0.377867,0.385914,0.00026653,102.87,0
34,0.929349,0.381502,0.388579,0.00023977,102.59,0
35,0.928885,0.416665,0.423471,0.00021405,104.84,0
36,0.928362,0.407567,0.413094,0.00018948,106.21,0
37,0.927876,0.385488,0.391256,0.00016615,109.85,0
38,0.927833,0.413765,0.420251,0.00014416,108.69,0
39,0.927629,0.434773,0.442878,0.0001236,108.69,0
40,0.927542,0.39699,0.4043,0.00010454,106.99,0
41,0.927177,0.408027,0.414429,8.706e-05,107.64,0
42,0.92716,0.402352,0.409699,7.123e-05,109.48,0
43,0.927069,0.427263,0.433212,5.711e-05,107.54,0
44,0.926605,0.418721,0.425365,4.476e-05,110.56,0
45,0.926464,0.432537,0.440184,3.423e-05,106.85,0
46,0.926637,0.41336,0.420567,2.555e-05,106.57,0
47,0.926518,0.414084,0.421216,1.877e-05,107.43,0
