epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps,val_dice_soft_positives,val_dice_hard_positives
1,1.645592,0.000466,0.000126,0.00099999,12.49,0,89,0.004378,0.001109
2,1.56932,0.000464,0.0,0.00099997,5.58,0,178,0.004358,0.0
3,1.528542,0.000464,0.0,0.00099993,5.53,0,267,0.004351,0.0
4,1.492511,0.000463,0.0,0.00099987,5.67,0,356,0.004342,0.0
5,1.460533,0.000463,0.0,0.0009998,5.54,0,445,0.004342,0.0
6,1.431688,0.000463,0.0,0.00099971,5.65,0,534,0.004337,0.0
7,1.405157,0.000463,0.0,0.00099961,5.58,0,623,0.004333,0.0
8,1.380292,0.000462,0.0,0.00099949,5.66,0,712,0.004329,0.0
9,1.279163,0.000507,0.0,0.00099936,5.66,0,801,0.004752,0.0
10,1.098766,0.001145,0.0,0.00099921,5.7,0,890,0.010214,0.0
11,1.011839,0.003303,0.0,0.00099904,5.57,0,979,0.031062,0.0
12,0.951735,0.005204,0.0,0.00099886,5.63,0,1068,0.050174,0.0
13,0.898688,0.011368,0.0,0.00099866,5.87,0,1157,0.097621,0.0
14,0.857782,0.016122,0.0,0.00099845,5.82,0,1246,0.129029,0.0
15,0.82277,0.020234,0.0,0.00099822,5.73,0,1335,0.158968,0.0
16,0.793845,0.037738,0.0,0.00099797,5.63,0,1424,0.194741,0.0
17,0.77296,0.03226,0.0,0.00099771,5.62,0,1513,0.207339,0.0
18,0.755495,0.044998,0.0,0.00099743,5.63,0,1602,0.226209,0.0
19,0.736081,0.061773,0.0,0.00099714,5.65,0,1691,0.239398,0.0
20,0.720793,0.033704,0.0,0.00099683,5.82,0,1780,0.202223,0.0
21,0.708074,0.038698,0.0,0.00099651,5.7,0,1869,0.257066,0.0
22,0.692632,0.078705,0.0,0.00099617,5.8,0,1958,0.274615,0.0
23,0.682766,0.049144,0.0,0.00099581,5.63,0,2047,0.278991,0.0
24,0.666121,0.06374,0.0,0.00099544,5.74,0,2136,0.280816,0.0
25,0.647777,0.048544,0.0,0.00099505,5.77,0,2225,0.297194,0.0
26,0.632862,0.069817,0.0,0.00099465,5.87,0,2314,0.312795,0.0
27,0.618316,0.064816,0.0,0.00099423,5.63,0,2403,0.305263,0.0
28,0.604566,0.08264,0.0,0.0009938,5.55,0,2492,0.317359,0.0
29,0.596972,0.081893,0.0,0.00099335,5.58,0,2581,0.340396,0.0
30,0.580825,0.07654,0.0,0.00099288,5.67,0,2670,0.338761,0.0
