epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps,val_dice_soft_all,val_dice_hard_all
1,1.645592,0.004378,0.001109,0.00099999,5.8,0,89,0.000466,0.000126
2,1.56932,0.004358,0.0,0.00099997,5.72,0,178,0.000464,0.0
3,1.528542,0.004351,0.0,0.00099993,5.5,0,267,0.000464,0.0
4,1.492511,0.004342,0.0,0.00099987,5.61,0,356,0.000463,0.0
5,1.460533,0.004342,0.0,0.0009998,5.62,0,445,0.000463,0.0
6,1.431688,0.004337,0.0,0.00099971,5.71,0,534,0.000463,0.0
7,1.405157,0.004333,0.0,0.00099961,5.74,0,623,0.000463,0.0
8,1.380292,0.004329,0.0,0.00099949,5.47,0,712,0.000462,0.0
9,1.279163,0.004752,0.0,0.00099936,5.61,0,801,0.000507,0.0
10,1.098766,0.010214,0.0,0.00099921,5.78,0,890,0.001145,0.0
11,1.011839,0.031062,0.0,0.00099904,5.69,0,979,0.003303,0.0
12,0.951735,0.050174,0.0,0.00099886,5.64,0,1068,0.005204,0.0
13,0.898688,0.097621,0.0,0.00099866,5.59,0,1157,0.011368,0.0
14,0.857782,0.129029,0.0,0.00099845,5.71,0,1246,0.016122,0.0
15,0.82277,0.158968,0.0,0.00099822,5.64,0,1335,0.020234,0.0
16,0.793845,0.194741,0.0,0.00099797,5.62,0,1424,0.037738,0.0
17,0.77296,0.207339,0.0,0.00099771,5.71,0,1513,0.03226,0.0
18,0.755495,0.226209,0.0,0.00099743,5.7,0,1602,0.044998,0.0
19,0.736081,0.239398,0.0,0.00099714,5.55,0,1691,0.061773,0.0
20,0.720793,0.202223,0.0,0.00099683,5.72,0,1780,0.033704,0.0
21,0.708074,0.257066,0.0,0.00099651,5.66,0,1869,0.038698,0.0
22,0.692632,0.274615,0.0,0.00099617,5.67,0,1958,0.078705,0.0
23,0.682766,0.278991,0.0,0.00099581,5.58,0,2047,0.049144,0.0
24,0.666121,0.280816,0.0,0.00099544,5.61,0,2136,0.06374,0.0
25,0.647777,0.297194,0.0,0.00099505,5.63,0,2225,0.048544,0.0
26,0.632862,0.312795,0.0,0.00099465,5.73,0,2314,0.069817,0.0
27,0.618316,0.305263,0.0,0.00099423,5.76,0,2403,0.064816,0.0
28,0.604566,0.317359,0.0,0.0009938,5.68,0,2492,0.08264,0.0
29,0.596972,0.340396,0.0,0.00099335,5.61,0,2581,0.081893,0.0
30,0.580825,0.338761,0.0,0.00099288,5.82,0,2670,0.07654,0.0
31,0.565699,0.326649,0.016267,0.0009924,5.62,0,2759,0.066937,0.009866
32,0.554838,0.346616,0.428885,0.0009919,5.67,0,2848,0.079154,0.09234
33,0.534317,0.340503,0.467915,0.00099139,5.72,0,2937,0.115026,0.159635
34,0.530031,0.385884,0.546058,0.00099086,5.63,0,3026,0.073302,0.089398
35,0.514747,0.326919,0.447402,0.00099032,5.59,0,3115,0.074304,0.090434
36,0.499555,0.324085,0.437797,0.00098976,5.61,0,3204,0.099338,0.126096
37,0.490288,0.355435,0.487458,0.00098918,5.62,0,3293,0.108483,0.137151
38,0.47752,0.374526,0.50874,0.00098859,5.67,0,3382,0.051406,0.059769
39,0.463207,0.378847,0.503766,0.00098799,5.6,0,3471,0.085754,0.104275
40,0.461043,0.377233,0.493074,0.00098737,5.59,0,3560,0.071893,0.083421
41,0.449757,0.374418,0.486262,0.00098673,5.67,0,3649,0.093758,0.112421
42,0.439601,0.401493,0.516099,0.00098608,5.52,0,3738,0.092863,0.108545
43,0.428716,0.397377,0.499715,0.00098541,5.55,0,3827,0.121879,0.14468
44,0.427362,0.36586,0.454352,0.00098473,5.57,0,3916,0.12732,0.154378
45,0.416997,0.4102,0.512629,0.00098403,5.61,0,4005,0.098846,0.115973
46,0.412145,0.398189,0.491179,0.00098331,5.57,0,4094,0.130731,0.154453
47,0.399768,0.41945,0.513927,0.00098259,5.61,0,4183,0.114984,0.132061
48,0.392902,0.405847,0.493446,0.00098184,5.77,0,4272,0.126401,0.144392
49,0.387778,0.415896,0.49543,0.00098108,5.72,0,4361,0.078661,0.087381
50,0.387595,0.430199,0.512139,0.00098031,5.69,0,4450,0.101098,0.113155
51,0.378579,0.425303,0.495671,0.00097952,5.66,0,4539,0.099415,0.111072
52,0.374685,0.410186,0.476207,0.00097871,5.72,0,4628,0.128397,0.143222
53,0.3654,0.466301,0.541219,0.00097789,5.53,0,4717,0.078787,0.085688
54,0.361113,0.44611,0.513278,0.00097705,5.63,0,4806,0.108064,0.117867
55,0.355136,0.431556,0.498835,0.0009762,5.76,0,4895,0.203069,0.23279
56,0.350792,0.453032,0.510741,0.00097534,5.6,0,4984,0.120871,0.131725
57,0.341859,0.440196,0.50121,0.00097446,5.67,0,5073,0.154026,0.170517
58,0.343414,0.429908,0.483439,0.00097356,5.6,0,5162,0.12092,0.130334
