epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.140522,0.005511,0.038352,0.00099902,66.92,0
2,0.982592,0.084183,0.163812,0.0009961,61.46,0
3,0.95631,0.247497,0.376373,0.00099123,62.36,0
4,0.948773,0.23362,0.266837,0.00098445,61.83,0
5,0.943668,0.180412,0.202776,0.00097577,61.29,0
6,0.941697,0.386477,0.41019,0.00096524,62.12,0
7,0.939664,0.281538,0.297226,0.00095289,61.64,0
8,0.937124,0.273617,0.280349,0.00093877,61.62,0
9,0.937466,0.420221,0.434861,0.00092294,61.57,0
10,0.935633,0.322722,0.334138,0.00090546,61.18,0
11,0.934535,0.353365,0.374868,0.0008864,61.49,0
12,0.932718,0.366813,0.382086,0.00086584,62.23,0
13,0.931461,0.36672,0.376063,0.00084385,62.55,0
14,0.931331,0.313171,0.340769,0.00082052,61.53,0
15,0.929744,0.351509,0.360615,0.00079595,61.62,0
16,0.929449,0.364284,0.373175,0.00077023,62.53,0
17,0.929411,0.40037,0.408591,0.00074347,61.79,0
18,0.928062,0.37235,0.379858,0.00071576,61.39,0
19,0.927407,0.358818,0.363118,0.00068722,61.4,0
