epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.465563,0.000461,0.0,0.00099902,23.02,0
2,1.039387,0.01233,0.0,0.0009961,23.05,0
3,0.991531,0.038585,0.0,0.00099123,22.88,0
4,0.981782,0.060339,0.0,0.00098445,23.23,0
5,0.976105,0.071619,0.0,0.00097577,22.82,0
6,0.970568,0.085235,0.0,0.00096524,22.92,0
7,0.962598,0.118557,0.0,0.00095289,22.97,0
8,0.955601,0.129989,0.19242,0.00093877,23.05,0
9,0.947345,0.129316,0.161543,0.00092294,23.04,0
10,0.941666,0.143348,0.164992,0.00090546,22.78,0
11,0.936697,0.157768,0.177454,0.0008864,22.86,0
12,0.933916,0.199946,0.219998,0.00086584,23.17,0
13,0.930678,0.174846,0.188074,0.00084385,23.05,0
14,0.928593,0.128296,0.135813,0.00082052,23.04,0
15,0.927581,0.147688,0.154409,0.00079595,22.88,0
16,0.92569,0.150685,0.156453,0.00077023,23.09,0
17,0.924162,0.137501,0.139919,0.00074347,22.93,0
18,0.92353,0.188883,0.192723,0.00071576,23.19,0
19,0.922829,0.129567,0.13199,0.00068722,22.6,0
20,0.922143,0.168544,0.172171,0.00065796,23.06,0
21,0.921331,0.152936,0.155669,0.0006281,23.04,0
22,0.920931,0.135433,0.137124,0.00059775,22.98,0
23,0.920336,0.16893,0.173282,0.00056704,22.82,0
24,0.920141,0.146344,0.147395,0.00053608,22.85,0
25,0.919486,0.119854,0.121137,0.000505,22.82,0
26,0.919148,0.181916,0.183193,0.00047392,22.73,0
27,0.918786,0.161351,0.162672,0.00044296,22.93,0
28,0.918371,0.147853,0.149629,0.00041225,22.85,0
29,0.918383,0.157294,0.158767,0.0003819,22.77,0
30,0.917671,0.137846,0.139436,0.00035204,23.02,0
31,0.917699,0.111699,0.112638,0.00032278,23.05,0
32,0.917012,0.124667,0.125322,0.00029424,22.99,0
