epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,0.996562,0.002958,0.003853,0.00099902,52.0,0
2,0.988746,0.008947,0.009582,0.0009961,52.0,0
3,0.97663,0.031677,0.031704,0.00099123,52.62,0
4,0.966732,0.035139,0.035148,0.00098445,51.96,0
5,0.962,0.039557,0.039628,0.00097577,52.27,0
6,0.959511,0.032286,0.032328,0.00096524,51.98,0
7,0.958177,0.032279,0.032304,0.00095289,51.76,0
8,0.956474,0.055782,0.055869,0.00093877,52.27,0
9,0.956474,0.043237,0.043281,0.00092294,51.76,0
10,0.955686,0.04368,0.043795,0.00090546,52.2,0
11,0.954841,0.053984,0.054044,0.0008864,51.82,0
12,0.954382,0.039883,0.039957,0.00086584,51.87,0
13,0.953129,0.033321,0.033334,0.00084385,52.28,0
14,0.953304,0.04269,0.04279,0.00082052,52.39,0
15,0.952626,0.039542,0.039583,0.00079595,52.43,1
16,0.952334,0.044127,0.044155,0.00077023,52.54,0
17,0.95162,0.050657,0.050729,0.00074347,52.15,0
18,0.951276,0.048094,0.048105,0.00071576,52.22,0
19,0.950713,0.036281,0.036318,0.00068722,52.12,1
20,0.950653,0.062131,0.06223,0.00065796,52.48,0
21,0.951404,nan,0.0,0.0006281,51.84,441
22,0.0,nan,0.0,0.00059775,51.99,898
