epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.611233,0.000463,4.1e-05,0.00099902,22.05,0
2,1.514694,0.000463,0.0,0.0009961,10.88,0
3,1.450301,0.000463,0.0,0.00099123,10.93,0
4,1.396665,0.000462,0.0,0.00098445,10.87,0
5,1.233366,0.000504,0.0,0.00097577,10.8,0
6,1.036226,0.003542,0.0,0.00096524,10.75,0
7,0.97632,0.012456,0.0,0.00095289,10.87,0
8,0.94226,0.018814,0.0,0.00093877,10.66,0
9,0.918062,0.036533,0.0,0.00092294,10.84,0
10,0.901037,0.044303,0.0,0.00090546,10.84,0
11,0.891102,0.058202,0.0,0.0008864,10.82,0
12,0.878349,0.059741,0.0,0.00086584,10.97,0
13,0.868927,0.091106,0.0,0.00084385,10.73,0
14,0.862075,0.055431,0.0,0.00082052,10.95,0
15,0.851284,0.093485,0.0,0.00079595,10.93,0
16,0.84272,0.104365,0.0,0.00077023,10.98,0
17,0.833705,0.08847,0.0,0.00074347,10.92,0
18,0.825447,0.124582,0.0,0.00071576,10.98,0
19,0.817999,0.126337,0.0,0.00068722,10.84,0
20,0.807746,0.138014,0.0,0.00065796,10.91,0
21,0.798307,0.16247,0.0,0.0006281,10.97,0
22,0.790718,0.14065,0.0,0.00059775,10.89,0
23,0.782489,0.164023,0.005686,0.00056704,10.94,0
24,0.774883,0.196335,0.294185,0.00053608,10.96,0
25,0.77039,0.2211,0.331896,0.000505,10.72,0
26,0.76211,0.208965,0.314946,0.00047392,10.67,0
27,0.754504,0.220916,0.312498,0.00044296,10.83,0
28,0.746707,0.211768,0.291478,0.00041225,10.75,0
29,0.742664,0.180935,0.240685,0.0003819,10.83,0
30,0.736423,0.152961,0.203649,0.00035204,10.89,0
31,0.731488,0.210259,0.277893,0.00032278,10.89,0
32,0.727353,0.217615,0.282503,0.00029424,10.9,0
33,0.723099,0.206115,0.265686,0.00026653,10.84,0
34,0.719356,0.231614,0.297356,0.00023977,10.81,0
35,0.714945,0.222705,0.280543,0.00021405,10.8,0
36,0.71289,0.235664,0.296283,0.00018948,10.87,0
37,0.710993,0.224615,0.281882,0.00016615,10.94,0
38,0.708255,0.219291,0.271187,0.00014416,10.83,0
39,0.704914,0.213395,0.260442,0.0001236,10.75,0
40,0.703771,0.24136,0.296388,0.00010454,11.0,0
41,0.702433,0.262242,0.321938,8.706e-05,10.8,0
42,0.700952,0.256924,0.318978,7.123e-05,10.92,0
43,0.70026,0.230452,0.279292,5.711e-05,10.88,0
44,0.699228,0.238984,0.292478,4.476e-05,10.82,0
45,0.698359,0.242009,0.294992,3.423e-05,10.93,0
46,0.697157,0.238247,0.291045,2.555e-05,10.93,0
47,0.698094,0.240117,0.292238,1.877e-05,10.84,0
48,0.696586,0.250946,0.305197,1.39e-05,10.84,0
49,0.69675,0.250227,0.303297,1.098e-05,10.78,0
50,0.695631,0.252801,0.307326,1e-05,10.87,0
51,0.696096,0.255151,0.309723,1e-05,10.8,0
52,0.696007,0.254574,0.309139,1e-05,10.68,0
53,0.696368,0.253399,0.306181,1e-05,10.62,0
54,0.694284,0.253726,0.308059,1e-05,10.71,0
55,0.695655,0.255253,0.309669,1e-05,10.74,0
56,0.694551,0.255554,0.309129,1e-05,10.72,0
57,0.695019,0.258612,0.314506,1e-05,10.79,0
58,0.694114,0.254244,0.307567,1e-05,10.81,0
59,0.694722,0.26189,0.316716,1e-05,10.75,0
60,0.694401,0.260528,0.315734,1e-05,10.91,0
61,0.695062,0.260814,0.314842,1e-05,10.85,0
