epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.069003,0.007625,0.0,0.00099902,76.83,0
2,1.000807,0.001242,0.0,0.0009961,72.64,0
3,0.983111,0.144131,0.221283,0.00099123,72.66,0
4,0.963944,0.136382,0.152531,0.00098445,73.47,0
5,0.955336,0.197199,0.252518,0.00097577,72.44,0
6,0.951739,0.17862,0.1999,0.00096524,72.85,0
7,0.947591,0.239501,0.260993,0.00095289,72.52,0
8,0.945073,0.262031,0.276754,0.00093877,72.94,0
9,0.942695,0.282246,0.294446,0.00092294,72.35,0
10,0.941166,0.280229,0.288985,0.00090546,72.66,0
11,0.357894,0.0,0.0,0.0008864,70.67,43
12,0.0,0.0,0.0,0.00086584,69.49,898
