epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,0.995258,0.002949,0.004154,0.00099902,54.38,0
2,0.984347,0.00899,0.009644,0.0009961,53.64,0
3,0.968495,0.02484,0.024888,0.00099123,52.97,0
4,0.956729,0.027885,0.027894,0.00098445,53.16,0
5,0.949844,0.035977,0.035977,0.00097577,53.08,0
6,0.947116,0.034727,0.034741,0.00096524,53.23,0
7,0.944829,0.034987,0.035049,0.00095289,53.27,0
8,0.943086,0.035404,0.035426,0.00093877,52.88,0
9,0.943144,0.036111,0.036151,0.00092294,52.93,0
10,0.942048,0.041319,0.04139,0.00090546,52.65,0
11,0.940774,0.043049,0.043109,0.0008864,52.82,0
12,0.940096,0.035068,0.035084,0.00086584,52.82,0
13,0.939529,0.033507,0.033543,0.00084385,52.78,0
14,0.938234,0.039196,0.039251,0.00082052,53.32,0
15,0.937362,0.043007,0.043029,0.00079595,52.8,0
16,0.937328,0.039287,0.039316,0.00077023,53.41,0
17,0.937015,0.066712,0.066966,0.00074347,53.33,0
18,0.936188,0.073047,0.073225,0.00071576,53.46,0
19,0.93562,0.046656,0.046679,0.00068722,52.96,0
20,0.935869,0.04284,0.042836,0.00065796,53.01,0
21,0.934826,0.047666,0.047708,0.0006281,53.2,0
22,0.934285,0.05228,0.052349,0.00059775,52.99,0
23,0.933988,0.054754,0.054801,0.00056704,53.03,0
24,0.933802,0.048789,0.048816,0.00053608,52.88,0
25,0.932899,0.054541,0.054601,0.000505,53.08,0
26,0.932415,0.051249,0.051321,0.00047392,53.26,0
27,0.93246,0.06214,0.062262,0.00044296,53.43,0
28,0.931941,0.050472,0.050507,0.00041225,53.07,0
29,0.931951,0.055287,0.055387,0.0003819,53.51,0
30,0.931205,0.052316,0.052393,0.00035204,53.17,0
31,0.931211,0.057032,0.057107,0.00032278,53.39,0
32,0.930492,0.069381,0.069482,0.00029424,53.37,0
33,0.93032,0.068739,0.068889,0.00026653,53.43,0
34,0.929924,0.059901,0.059973,0.00023977,53.17,0
35,0.929577,0.078612,0.078715,0.00021405,52.97,0
36,0.929727,0.054833,0.054919,0.00018948,52.44,0
37,0.928895,0.066772,0.066804,0.00016615,52.28,0
38,0.929058,0.064187,0.064281,0.00014416,52.63,0
39,0.928759,0.063205,0.063277,0.0001236,53.05,0
40,0.928213,0.073329,0.073449,0.00010454,53.54,0
41,0.928435,0.07497,0.075083,8.706e-05,53.5,0
42,0.928183,0.081274,0.081332,7.123e-05,53.38,0
43,0.928144,0.077086,0.077259,5.711e-05,53.44,0
44,0.927965,0.071017,0.071148,4.476e-05,53.46,0
45,0.928101,0.082296,0.082401,3.423e-05,52.91,0
46,0.927731,0.079675,0.079789,2.555e-05,52.55,0
47,0.927806,0.075879,0.076002,1.877e-05,52.17,0
48,0.927719,0.072127,0.072174,1.39e-05,52.21,0
49,0.927964,0.073599,0.073736,1.098e-05,52.35,0
50,0.927069,0.075259,0.075375,1e-05,52.34,0
51,0.927261,0.074176,0.074305,1e-05,52.3,0
52,0.927898,0.072711,0.072812,1e-05,52.79,0
53,0.927475,0.074813,0.074924,1e-05,52.48,0
54,0.927836,0.076828,0.076971,1e-05,52.34,0
55,0.927265,0.075116,0.07521,1e-05,52.3,0
56,0.927409,0.074177,0.074303,1e-05,52.38,0
57,0.927619,0.076052,0.076219,1e-05,52.76,0
58,0.927827,0.07722,0.077357,1e-05,53.02,0
59,0.927812,0.080025,0.080181,1e-05,53.17,0
60,0.927598,0.076909,0.077051,1e-05,53.15,0
61,0.927436,0.077995,0.078151,1e-05,52.77,0
62,0.927452,0.078339,0.078463,1e-05,52.66,0
63,0.927431,0.075824,0.075931,1e-05,52.38,0
64,0.927353,0.075453,0.07556,1e-05,52.63,0
65,0.927714,0.076221,0.076344,1e-05,52.59,0
