epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,0.993986,0.003209,0.004135,0.00099902,64.73,0
2,0.982753,0.0093,0.010554,0.0009961,60.57,0
3,0.968027,0.018256,0.020421,0.00099123,55.3,0
4,0.956397,0.033009,0.033028,0.00098445,57.9,0
5,0.949246,0.033772,0.033788,0.00097577,59.55,0
6,0.946525,0.051423,0.051509,0.00096524,60.4,0
7,0.943601,0.036765,0.036815,0.00095289,54.09,0
8,0.941982,0.074081,0.074143,0.00093877,54.64,0
9,0.940919,0.030417,0.03044,0.00092294,54.12,0
10,0.939497,0.037336,0.037373,0.00090546,54.65,0
11,0.939159,0.051394,0.05146,0.0008864,54.43,0
12,0.938847,0.043866,0.043926,0.00086584,54.15,0
13,0.937195,0.045829,0.045938,0.00084385,53.74,0
14,0.936658,0.04744,0.047481,0.00082052,54.15,0
15,0.935541,0.047008,0.047101,0.00079595,53.98,0
16,0.935534,0.043968,0.04402,0.00077023,53.62,0
17,0.934814,0.047231,0.047305,0.00074347,53.68,0
18,0.934625,0.062675,0.062767,0.00071576,53.38,0
19,0.934056,0.045818,0.045851,0.00068722,53.7,0
20,0.93377,0.053852,0.053921,0.00065796,54.0,0
21,0.933157,0.045056,0.045082,0.0006281,53.68,0
22,0.932748,0.049897,0.04996,0.00059775,54.1,0
23,0.932011,0.061275,0.061395,0.00056704,53.79,0
24,0.932012,0.062009,0.062087,0.00053608,54.42,0
25,0.930943,0.055643,0.055682,0.000505,54.25,0
26,0.931096,0.055503,0.055589,0.00047392,54.1,0
27,0.930275,0.043252,0.043296,0.00044296,54.91,0
28,0.930885,0.066409,0.066582,0.00041225,54.76,0
