epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.465833,0.000462,0.0,0.00099902,56.94,0
2,1.056045,0.004825,0.0,0.0009961,56.7,0
3,0.997477,0.034512,0.0,0.00099123,58.18,0
4,0.987069,0.058604,0.0,0.00098445,55.41,0
5,0.981809,0.066932,0.0,0.00097577,56.07,0
6,0.977698,0.059394,0.0,0.00096524,57.12,0
7,0.973265,0.113909,0.0,0.00095289,55.43,0
8,0.967383,0.158668,0.009757,0.00093877,55.72,0
9,0.961735,0.108839,0.15738,0.00092294,56.83,0
10,0.956502,0.083618,0.099068,0.00090546,56.14,0
11,0.952258,0.225835,0.265587,0.0008864,56.89,0
12,0.948901,0.226037,0.252458,0.00086584,57.46,0
13,0.946312,0.251595,0.275784,0.00084385,57.68,0
14,0.944107,0.203482,0.218599,0.00082052,58.23,0
15,0.942706,0.211379,0.222423,0.00079595,57.33,0
16,0.941701,0.297232,0.311632,0.00077023,59.18,0
17,0.939704,0.306099,0.322976,0.00074347,59.1,0
18,0.939388,0.288266,0.301221,0.00071576,57.67,0
19,0.937723,0.251445,0.26054,0.00068722,58.18,0
20,0.937498,0.320863,0.329867,0.00065796,57.82,0
21,0.936389,0.327447,0.336683,0.0006281,57.94,0
22,0.935427,0.322927,0.332946,0.00059775,58.09,0
23,0.935409,0.358227,0.369251,0.00056704,58.21,0
24,0.934351,0.311129,0.3189,0.00053608,57.88,0
25,0.933868,0.363142,0.371453,0.000505,57.27,0
26,0.932996,0.325138,0.332257,0.00047392,57.32,0
27,0.932906,0.363443,0.372311,0.00044296,57.74,0
28,0.932343,0.344159,0.351392,0.00041225,57.2,0
29,0.9318,0.374805,0.383378,0.0003819,57.86,0
30,0.931562,0.361916,0.369085,0.00035204,58.0,0
31,0.930805,0.335853,0.343401,0.00032278,58.04,0
32,0.930807,0.380276,0.385278,0.00029424,58.21,0
33,0.930135,0.347044,0.353381,0.00026653,57.67,0
34,0.930083,0.36073,0.366008,0.00023977,58.08,0
35,0.929647,0.418213,0.424164,0.00021405,58.14,0
36,0.929481,0.417135,0.425191,0.00018948,57.8,0
37,0.929073,0.379602,0.386408,0.00016615,57.83,0
38,0.9291,0.445569,0.452674,0.00014416,58.07,0
39,0.928612,0.430685,0.437197,0.0001236,57.6,0
40,0.928433,0.432896,0.438626,0.00010454,57.61,0
41,0.928095,0.426766,0.431841,8.706e-05,58.03,0
42,0.927903,0.394278,0.400097,7.123e-05,58.01,0
43,0.927917,0.427675,0.434474,5.711e-05,58.07,0
44,0.927364,0.423715,0.430224,4.476e-05,58.25,0
45,0.927513,0.436517,0.444055,3.423e-05,58.24,0
46,0.927806,0.416982,0.423266,2.555e-05,58.48,0
47,0.927381,0.419304,0.425544,1.877e-05,57.95,0
48,0.927059,0.421222,0.427235,1.39e-05,57.81,0
49,0.927182,0.433259,0.439725,1.098e-05,57.97,0
50,0.927215,0.428396,0.43422,1e-05,57.86,0
51,0.927106,0.433481,0.439451,1e-05,57.21,0
52,0.927285,0.423833,0.429331,1e-05,57.71,0
53,0.927055,0.427491,0.43335,1e-05,57.57,0
54,0.927213,0.428844,0.434455,1e-05,56.91,0
55,0.926623,0.440171,0.446274,1e-05,57.55,0
56,0.927154,0.427191,0.432626,1e-05,57.99,0
57,0.927319,0.425776,0.431327,1e-05,57.38,0
58,0.926781,0.427952,0.43383,1e-05,57.14,0
