epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.596253,0.000463,0.0,0.00099902,106.92,0
2,1.070136,0.008542,0.0,0.0009961,106.23,0
3,0.995575,0.041911,0.0,0.00099123,106.29,0
4,0.984686,0.076034,0.0,0.00098445,105.94,0
5,0.979969,0.109895,0.0,0.00097577,106.36,0
6,0.974963,0.103561,0.0,0.00096524,105.99,0
7,0.97089,0.067613,0.0,0.00095289,106.25,0
8,0.965397,0.238306,0.381887,0.00093877,107.98,0
9,0.960162,0.278541,0.386209,0.00092294,107.27,0
10,0.954476,0.171398,0.20614,0.00090546,106.91,0
11,0.950838,0.204709,0.243077,0.0008864,105.87,0
12,0.947057,0.296791,0.334409,0.00086584,105.82,0
13,0.94388,0.3443,0.383688,0.00084385,106.14,0
14,0.942517,0.365203,0.398653,0.00082052,106.11,0
15,0.940837,0.210919,0.227158,0.00079595,106.5,0
16,0.939276,0.300658,0.320764,0.00077023,105.89,0
17,0.937691,0.41152,0.428953,0.00074347,106.34,0
18,0.936762,0.250433,0.264998,0.00071576,106.28,0
19,0.936146,0.331189,0.344873,0.00068722,106.26,0
20,0.935939,0.373886,0.388627,0.00065796,106.99,0
21,0.934772,0.332682,0.346015,0.0006281,106.48,0
22,0.933678,0.367237,0.378883,0.00059775,106.51,0
23,0.93311,0.395799,0.409291,0.00056704,106.23,0
24,0.933396,0.391877,0.40109,0.00053608,106.89,0
25,0.932433,0.424924,0.437457,0.000505,107.08,0
26,0.931978,0.464807,0.475748,0.00047392,106.46,0
27,0.931308,0.494283,0.504377,0.00044296,106.15,0
28,0.930592,0.427604,0.437595,0.00041225,106.2,0
29,0.930591,0.42603,0.435888,0.0003819,106.44,0
30,0.929846,0.43886,0.448328,0.00035204,106.84,0
31,0.929622,0.451386,0.458745,0.00032278,106.55,0
32,0.92981,0.455703,0.466507,0.00029424,106.49,0
33,0.928979,0.407894,0.416397,0.00026653,106.11,0
34,0.928296,0.500628,0.511374,0.00023977,107.07,0
35,0.92834,0.482862,0.491465,0.00021405,105.86,0
36,0.927919,0.445844,0.453738,0.00018948,106.59,0
37,0.927301,0.464659,0.473572,0.00016615,106.78,0
38,0.927365,0.466401,0.473628,0.00014416,106.76,0
39,0.926902,0.498818,0.506113,0.0001236,106.17,0
40,0.926865,0.463692,0.473329,0.00010454,106.78,0
41,0.926501,0.461309,0.470051,8.706e-05,106.87,0
42,0.926641,0.458933,0.467594,7.123e-05,106.95,0
43,0.926592,0.469709,0.479185,5.711e-05,106.59,0
44,0.92614,0.457153,0.46586,4.476e-05,107.31,0
45,0.925849,0.480544,0.488368,3.423e-05,106.75,0
46,0.926051,0.469525,0.476892,2.555e-05,106.54,0
47,0.926046,0.47261,0.480425,1.877e-05,106.79,0
48,0.925911,0.471128,0.47887,1.39e-05,106.68,0
49,0.92553,0.466203,0.473229,1.098e-05,106.53,0
50,0.925881,0.471235,0.479505,1e-05,106.77,0
51,0.925934,0.474342,0.482279,1e-05,106.84,0
52,0.926012,0.473093,0.480064,1e-05,106.8,0
53,0.925988,0.473587,0.481055,1e-05,106.74,0
54,0.925802,0.475759,0.4834,1e-05,106.7,0
