epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.649213,0.000463,0.0,0.00099902,52.7,0
2,1.133603,0.003454,0.0,0.0009961,53.27,0
3,0.994507,0.035848,0.0,0.00099123,53.59,0
4,0.98284,0.064975,0.0,0.00098445,53.05,0
5,0.977589,0.102375,0.0,0.00097577,52.98,0
6,0.974504,0.088627,0.0,0.00096524,52.96,0
7,0.969988,0.091384,0.0,0.00095289,52.9,0
8,0.965245,0.095864,0.149113,0.00093877,52.74,0
9,0.960084,0.119351,0.160687,0.00092294,52.92,0
10,0.955623,0.18032,0.225922,0.00090546,53.07,0
11,0.951329,0.279666,0.322219,0.0008864,52.76,0
12,0.947902,0.252048,0.279836,0.00086584,52.71,0
13,0.945974,0.221426,0.244926,0.00084385,53.07,0
14,0.943583,0.311459,0.336941,0.00082052,53.88,0
15,0.94283,0.236803,0.253643,0.00079595,54.1,0
16,0.941308,0.306494,0.324965,0.00077023,53.54,0
17,0.940017,0.316574,0.331905,0.00074347,54.04,0
18,0.938622,0.24638,0.257497,0.00071576,54.38,0
19,0.938395,0.300399,0.310936,0.00068722,54.53,0
20,0.937748,0.427348,0.440504,0.00065796,54.11,0
21,0.936419,0.326107,0.335941,0.0006281,54.36,0
22,0.936264,0.334029,0.343366,0.00059775,53.89,0
23,0.93533,0.34382,0.353788,0.00056704,54.06,0
24,0.934719,0.290181,0.296807,0.00053608,53.37,0
25,0.934726,0.306172,0.314115,0.000505,52.85,0
26,0.93424,0.341674,0.350445,0.00047392,52.44,0
27,0.933865,0.386567,0.395096,0.00044296,51.49,0
28,0.933255,0.380078,0.389388,0.00041225,51.41,0
29,0.932276,0.39342,0.402422,0.0003819,51.54,0
30,0.931603,0.415484,0.42395,0.00035204,51.12,0
31,0.931421,0.309211,0.316725,0.00032278,51.9,0
32,0.932,0.403072,0.412053,0.00029424,52.67,0
33,0.930876,0.432862,0.442232,0.00026653,53.26,0
34,0.930592,0.433271,0.44003,0.00023977,52.75,0
35,0.930549,0.408815,0.416217,0.00021405,52.83,0
36,0.929831,0.438205,0.447086,0.00018948,53.79,0
37,0.929606,0.408138,0.41656,0.00016615,53.34,0
38,0.928965,0.435897,0.444045,0.00014416,53.3,0
39,0.928805,0.421205,0.42891,0.0001236,53.24,0
40,0.928644,0.402006,0.410074,0.00010454,53.1,0
41,0.928274,0.376544,0.384179,8.706e-05,52.8,0
42,0.928244,0.404728,0.411948,7.123e-05,53.23,0
43,0.928455,0.402389,0.408899,5.711e-05,53.69,0
44,0.928482,0.405092,0.411771,4.476e-05,53.57,0
45,0.928021,0.413606,0.420869,3.423e-05,53.32,0
46,0.927763,0.406404,0.413478,2.555e-05,53.57,0
47,0.927597,0.407984,0.414997,1.877e-05,53.23,0
48,0.927812,0.415088,0.421559,1.39e-05,53.34,0
49,0.927511,0.419232,0.426762,1.098e-05,54.99,0
50,0.927631,0.423579,0.430614,1e-05,54.0,0
51,0.927604,0.421429,0.428781,1e-05,53.78,0
52,0.927517,0.415826,0.422369,1e-05,53.78,0
53,0.927553,0.409836,0.416833,1e-05,53.75,0
54,0.927993,0.410524,0.417747,1e-05,54.26,0
55,0.927859,0.413407,0.420538,1e-05,55.6,0
56,0.9276,0.413362,0.420312,1e-05,54.61,0
