epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.58466,0.000462,0.0,0.00029971,55.22,0
2,1.466555,0.000462,0.0,0.00029883,55.09,0
3,1.32382,0.00046,0.0,0.00029737,54.89,0
4,1.057475,0.000668,0.0,0.00029533,55.3,0
5,1.013056,0.008072,0.0,0.00029273,54.89,0
6,0.99773,0.017356,0.0,0.00028957,55.23,0
7,0.989535,0.034516,0.0,0.00028587,54.95,0
8,0.984179,0.052891,0.0,0.00028163,54.69,0
9,0.980233,0.076602,0.0,0.00027688,54.05,0
10,0.976734,0.095924,0.0,0.00027164,54.27,0
11,0.97304,0.117617,0.0,0.00026592,53.96,0
12,0.969506,0.110456,0.0,0.00025975,54.15,0
13,0.965898,0.132423,0.0,0.00025316,54.6,0
14,0.962695,0.136105,0.0,0.00024616,54.79,0
15,0.95894,0.185672,0.278477,0.00023879,54.41,0
16,0.956727,0.160377,0.228453,0.00023107,54.15,0
17,0.953755,0.202628,0.282053,0.00022304,53.96,0
18,0.950693,0.279926,0.391366,0.00021473,54.11,0
19,0.949294,0.267095,0.346462,0.00020617,54.88,0
20,0.947398,0.272061,0.353674,0.00019739,54.1,0
21,0.944895,0.233235,0.288458,0.00018843,54.71,0
22,0.94369,0.186291,0.225492,0.00017933,54.76,0
23,0.942323,0.231522,0.277727,0.00017011,54.62,0
24,0.940812,0.294863,0.352867,0.00016082,54.66,0
25,0.939651,0.32375,0.381779,0.0001515,55.34,0
26,0.938491,0.26114,0.298688,0.00014218,54.61,0
27,0.937671,0.296072,0.336151,0.00013289,54.92,0
28,0.936396,0.274963,0.313152,0.00012367,54.35,0
29,0.935719,0.308541,0.350636,0.00011457,54.53,0
30,0.935125,0.288125,0.323592,0.00010561,54.36,0
31,0.934386,0.264227,0.292809,9.683e-05,54.55,0
32,0.933808,0.2841,0.312373,8.827e-05,54.05,0
33,0.933088,0.316446,0.348706,7.996e-05,54.41,0
34,0.932909,0.314548,0.343843,7.193e-05,54.67,0
35,0.932596,0.308044,0.336927,6.421e-05,54.13,0
36,0.931755,0.31556,0.342356,5.684e-05,54.2,0
37,0.931294,0.343554,0.375107,4.984e-05,55.31,0
38,0.931329,0.305583,0.331142,4.325e-05,55.09,0
39,0.931017,0.292884,0.316593,3.708e-05,55.51,0
40,0.930567,0.344115,0.372844,3.136e-05,55.24,0
41,0.93072,0.331221,0.357287,2.612e-05,55.39,0
42,0.929866,0.329419,0.354858,2.137e-05,55.05,0
43,0.929834,0.340061,0.365824,1.713e-05,55.3,0
44,0.929815,0.339314,0.365735,1.343e-05,54.89,0
45,0.929826,0.336562,0.362747,1.027e-05,55.06,0
46,0.92963,0.338627,0.363791,7.67e-06,54.62,0
47,0.929618,0.339327,0.365051,5.63e-06,54.73,0
48,0.929476,0.339392,0.365297,4.17e-06,54.88,0
49,0.929464,0.336515,0.360676,3.29e-06,54.72,0
50,0.929701,0.338368,0.362959,3e-06,54.76,0
51,0.929626,0.335154,0.358989,3e-06,54.52,0
52,0.929627,0.336016,0.3602,3e-06,54.2,0
53,0.929567,0.336037,0.360277,3e-06,54.68,0
54,0.929305,0.336174,0.360342,3e-06,54.75,0
55,0.929391,0.338563,0.362908,3e-06,54.5,0
56,0.929467,0.337379,0.361054,3e-06,54.78,0
57,0.929467,0.337401,0.361447,3e-06,54.61,0
58,0.929308,0.341319,0.365992,3e-06,54.31,0
59,0.929456,0.339349,0.364373,3e-06,54.45,0
60,0.929504,0.338576,0.363061,3e-06,54.37,0
