epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.442022,0.000403,0.0,0.00099902,149.41,0,898
2,1.017368,0.009788,0.0,0.0009961,141.51,0,1796
3,0.994353,0.028786,0.0,0.00099123,141.07,0,2694
4,0.984922,0.031339,0.0,0.00098445,139.66,0,3592
5,0.980345,0.08857,0.0,0.00097577,140.57,0,4490
6,0.974826,0.113732,0.0,0.00096524,140.16,0,5388
7,0.96883,0.066967,0.0,0.00095289,139.21,0,6286
8,0.964108,0.140601,0.211122,0.00093877,140.57,0,7184
9,0.956915,0.11964,0.147535,0.00092294,139.31,0,8082
10,0.952863,0.102117,0.123114,0.00090546,139.32,0,8980
11,0.948341,0.254635,0.293734,0.0008864,139.76,0,9878
12,0.944605,0.222097,0.241846,0.00086584,140.19,0,10776
13,0.943248,0.276572,0.296671,0.00084385,140.62,0,11674
14,0.941029,0.262136,0.276537,0.00082052,138.98,0,12572
15,0.939333,0.298564,0.311831,0.00079595,139.0,0,13470
16,0.938235,0.230703,0.23957,0.00077023,138.65,0,14368
17,0.936746,0.287307,0.302845,0.00074347,139.68,0,15266
18,0.935822,0.311556,0.319816,0.00071576,140.17,0,16164
19,0.935112,0.329723,0.339007,0.00068722,140.41,0,17062
20,0.934722,0.327774,0.338679,0.00065796,139.79,0,17960
21,0.9329,0.299071,0.3051,0.0006281,143.5,0,18858
22,0.932691,0.408535,0.41775,0.00059775,141.38,0,19756
23,0.932122,0.281101,0.286869,0.00056704,139.99,0,20654
24,0.931955,0.398186,0.405209,0.00053608,139.99,0,21552
25,0.931183,0.404362,0.413479,0.000505,139.36,0,22450
26,0.930435,0.375133,0.380772,0.00047392,139.97,0,23348
27,0.929684,0.416164,0.424343,0.00044296,140.05,0,24246
28,0.929307,0.407869,0.414183,0.00041225,139.36,0,25144
29,0.928976,0.403681,0.410447,0.0003819,139.47,0,26042
30,0.928084,0.363829,0.371666,0.00035204,140.67,0,26940
31,0.928166,0.375927,0.382351,0.00032278,141.09,0,27838
32,0.927215,0.414318,0.420916,0.00029424,140.35,0,28736
33,0.926976,0.39878,0.404529,0.00026653,140.23,0,29634
34,0.926741,0.455538,0.461614,0.00023977,140.26,0,30532
35,0.926224,0.418812,0.424303,0.00021405,140.75,0,31430
36,0.926298,0.45744,0.464451,0.00018948,141.01,0,32328
37,0.925424,0.419504,0.426425,0.00016615,141.49,0,33226
38,0.925244,0.417057,0.423091,0.00014416,141.8,0,34124
39,0.925316,0.407777,0.413662,0.0001236,140.94,0,35022
40,0.924997,0.426751,0.432753,0.00010454,139.24,0,35920
41,0.924812,0.42184,0.428682,8.706e-05,139.29,0,36818
42,0.92438,0.400393,0.406097,7.123e-05,140.65,0,37716
43,0.924573,0.424317,0.43019,5.711e-05,140.27,0,38614
44,0.924193,0.431191,0.436754,4.476e-05,141.69,0,39512
45,0.92406,0.43167,0.437477,3.423e-05,142.16,0,40410
46,0.924127,0.434141,0.440389,2.555e-05,141.71,0,41308
47,0.923734,0.444448,0.450037,1.877e-05,142.06,0,42206
48,0.923761,0.435167,0.440658,1.39e-05,140.72,0,43104
49,0.92376,0.435319,0.441054,1.098e-05,140.98,0,44002
50,0.923854,0.439479,0.44498,1e-05,142.16,0,44900
51,0.923936,0.442957,0.448632,1e-05,141.3,0,45798
52,0.923822,0.439422,0.444741,1e-05,139.81,0,46696
53,0.923737,0.435691,0.440818,1e-05,139.27,0,47594
54,0.923332,0.435182,0.440459,1e-05,140.79,0,48492
55,0.923603,0.437228,0.442478,1e-05,142.06,0,49390
