epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.195918,0.000467,0.0,0.00099902,513.1,0,898
2,1.008447,0.013791,0.0,0.0009961,506.67,0,1796
3,0.992003,0.05595,0.0,0.00099123,504.99,0,2694
4,0.9792,0.109878,0.0,0.00098445,506.87,0,3592
5,0.972164,0.058912,0.0,0.00097577,508.61,0,4490
6,0.965257,0.109361,0.184989,0.00096524,505.0,0,5388
7,0.958597,0.08522,0.109469,0.00095289,509.42,0,6286
8,0.953242,0.140074,0.169542,0.00093877,506.67,0,7184
9,0.948606,0.135856,0.15147,0.00092294,508.87,0,8082
10,0.944721,0.193966,0.212956,0.00090546,506.39,0,8980
11,0.94227,0.206474,0.221091,0.0008864,506.35,0,9878
12,0.940553,0.248533,0.262374,0.00086584,507.36,0,10776
13,0.938356,0.320787,0.335697,0.00084385,505.28,0,11674
14,0.937,0.310097,0.324469,0.00082052,504.78,0,12572
15,0.935716,0.2166,0.223332,0.00079595,505.8,0,13470
16,0.934457,0.318426,0.331027,0.00077023,506.2,0,14368
17,0.933588,0.419463,0.428895,0.00074347,503.94,0,15266
18,0.932779,0.387776,0.398657,0.00071576,508.39,0,16164
19,0.931854,0.387342,0.39588,0.00068722,510.09,0,17062
20,0.930893,0.373843,0.381411,0.00065796,509.98,0,17960
21,0.930693,0.393016,0.398244,0.0006281,507.41,0,18858
22,0.930624,0.322633,0.329202,0.00059775,506.6,0,19756
23,0.929583,0.410936,0.419205,0.00056704,506.32,0,20654
24,0.928276,0.394586,0.401129,0.00053608,507.69,0,21552
25,0.928005,0.425652,0.430656,0.000505,503.35,0,22450
26,0.926895,0.400148,0.405408,0.00047392,505.72,0,23348
27,0.927869,0.479183,0.485261,0.00044296,506.08,0,24246
28,0.927135,0.414525,0.42012,0.00041225,502.36,0,25144
29,0.926461,0.489619,0.495339,0.0003819,504.06,0,26042
30,0.925812,0.3885,0.392813,0.00035204,506.16,0,26940
31,0.925786,0.48567,0.490566,0.00032278,505.91,0,27838
32,0.925404,0.456591,0.463094,0.00029424,504.29,0,28736
33,0.924905,0.459057,0.46474,0.00026653,503.89,0,29634
34,0.924325,0.508036,0.512758,0.00023977,505.52,0,30532
35,0.92429,0.474868,0.480219,0.00021405,497.82,0,31430
36,0.924295,0.473023,0.478581,0.00018948,497.13,0,32328
37,0.923487,0.47312,0.477315,0.00016615,500.46,0,33226
38,0.92354,0.500731,0.50579,0.00014416,506.53,0,34124
39,0.923419,0.478924,0.483871,0.0001236,508.72,0,35022
40,0.923124,0.488741,0.493319,0.00010454,505.78,0,35920
41,0.922741,0.50756,0.51199,8.706e-05,503.13,0,36818
42,0.922894,0.505348,0.50969,7.123e-05,507.56,0,37716
43,0.922505,0.499087,0.502845,5.711e-05,507.43,0,38614
44,0.922412,0.519029,0.523062,4.476e-05,505.91,0,39512
45,0.922245,0.506237,0.510512,3.423e-05,505.02,0,40410
46,0.922428,0.508469,0.512397,2.555e-05,504.36,0,41308
47,0.92202,0.519193,0.523449,1.877e-05,506.68,0,42206
48,0.922276,0.511306,0.515399,1.39e-05,505.07,0,43104
49,0.922288,0.512217,0.516587,1.098e-05,503.75,0,44002
50,0.922202,0.504694,0.508289,1e-05,504.97,0,44900
51,0.922042,0.509032,0.513212,1e-05,502.46,0,45798
52,0.92206,0.505615,0.50971,1e-05,505.94,0,46696
53,0.921745,0.509157,0.513503,1e-05,506.26,0,47594
54,0.921965,0.512316,0.516711,1e-05,505.18,0,48492
55,0.922129,0.513755,0.518389,1e-05,506.14,0,49390
