epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.464546,0.00046,0.0,0.00099919,143.75,0,898
2,1.030422,0.016302,0.0,0.00099677,127.45,0,1796
3,0.992021,0.03795,0.0,0.00099275,127.45,0,2694
4,0.984289,0.054642,0.0,0.00098714,127.96,0,3592
5,0.979178,0.054277,0.0,0.00097995,127.49,0,4490
6,0.974979,0.048972,0.0,0.00097121,128.25,0,5388
7,0.969883,0.126429,0.0,0.00096096,127.92,0,6286
8,0.963915,0.121184,0.171475,0.00094921,128.07,0,7184
9,0.958363,0.191133,0.247946,0.00093602,128.34,0,8082
10,0.952886,0.149964,0.18175,0.00092142,127.74,0,8980
11,0.948877,0.278242,0.320655,0.00090546,127.31,0,9878
12,0.945601,0.231303,0.256711,0.0008882,127.82,0,10776
13,0.94317,0.299623,0.323714,0.00086969,127.77,0,11674
14,0.940908,0.324742,0.345084,0.00084998,128.45,0,12572
15,0.940258,0.340364,0.360883,0.00082916,127.72,0,13470
16,0.938438,0.304356,0.320887,0.00080727,128.23,0,14368
17,0.93717,0.422077,0.439698,0.0007844,128.4,0,15266
18,0.936015,0.326315,0.338161,0.00076062,128.64,0,16164
19,0.935099,0.426502,0.442619,0.000736,129.05,0,17062
20,0.935339,0.316756,0.327559,0.00071063,128.47,0,17960
21,0.934506,0.430604,0.441978,0.00068459,128.34,0,18858
22,0.93325,0.394367,0.405423,0.00065796,128.22,0,19756
23,0.932673,0.377747,0.388859,0.00063084,128.47,0,20654
24,0.932291,0.423765,0.433553,0.0006033,128.9,0,21552
25,0.931248,0.437318,0.448053,0.00057545,129.21,0,22450
26,0.930625,0.379728,0.38997,0.00054736,129.02,0,23348
27,0.930587,0.358462,0.366459,0.00051914,129.15,0,24246
28,0.93002,0.449221,0.457923,0.00049086,128.95,0,25144
29,0.929161,0.442525,0.450954,0.00046264,128.78,0,26042
30,0.928889,0.422392,0.430484,0.00043455,129.0,0,26940
31,0.92829,0.352207,0.358232,0.0004067,128.82,0,27838
32,0.927792,0.414491,0.423266,0.00037916,129.05,0,28736
33,0.927497,0.440342,0.448505,0.00035204,128.55,0,29634
34,0.926805,0.438007,0.445827,0.00032541,129.08,0,30532
35,0.927003,0.441413,0.450633,0.00029937,128.2,0,31430
36,0.926478,0.397773,0.40476,0.000274,128.09,0,32328
37,0.926123,0.413113,0.420999,0.00024938,128.56,0,33226
38,0.925874,0.449688,0.455971,0.0002256,129.0,0,34124
39,0.925245,0.466109,0.473389,0.00020273,128.41,0,35022
40,0.925409,0.46214,0.468934,0.00018084,128.75,0,35920
41,0.92497,0.468192,0.475842,0.00016002,128.35,0,36818
42,0.924674,0.449822,0.456332,0.00014031,128.82,0,37716
43,0.924539,0.495231,0.501537,0.0001218,128.26,0,38614
44,0.924548,0.476173,0.4843,0.00010454,129.39,0,39512
45,0.924149,0.486717,0.493874,8.858e-05,128.51,0,40410
46,0.923843,0.460007,0.466492,7.398e-05,128.64,0,41308
47,0.92393,0.458665,0.464954,6.079e-05,128.68,0,42206
48,0.923833,0.460174,0.466346,4.904e-05,128.95,0,43104
49,0.923404,0.473754,0.480796,3.879e-05,129.19,0,44002
50,0.923464,0.471619,0.47823,3.005e-05,129.16,0,44900
51,0.923261,0.47455,0.481121,2.286e-05,128.67,0,45798
52,0.923332,0.461261,0.46837,1.725e-05,128.92,0,46696
53,0.923312,0.467327,0.473679,1.323e-05,129.08,0,47594
54,0.923114,0.472359,0.47836,1.081e-05,128.44,0,48492
55,0.922964,0.468497,0.475398,1e-05,129.11,0,49390
