epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.206286,0.00121,0.0,0.00099902,385.66,0,898
2,1.000658,0.027799,0.0,0.0009961,383.04,0,1796
3,0.984086,0.045455,0.0,0.00099123,387.17,0,2694
4,0.9773,0.117046,0.0,0.00098445,387.97,0,3592
5,0.971517,0.159066,0.0,0.00097577,385.44,0,4490
6,0.964867,0.151866,0.239907,0.00096524,386.99,0,5388
7,0.958261,0.150677,0.192733,0.00095289,384.31,0,6286
8,0.953162,0.335141,0.415828,0.00093877,382.79,0,7184
9,0.948608,0.267585,0.31058,0.00092294,379.68,0,8082
10,0.944319,0.266508,0.292222,0.00090546,383.31,0,8980
11,0.941525,0.309552,0.333835,0.0008864,381.45,0,9878
12,0.938579,0.297024,0.313613,0.00086584,380.93,0,10776
13,0.937264,0.37299,0.392453,0.00084385,381.33,0,11674
14,0.936111,0.379827,0.396351,0.00082052,381.15,0,12572
15,0.934975,0.440977,0.458856,0.00079595,380.31,0,13470
16,0.933497,0.504386,0.522763,0.00077023,383.56,0,14368
17,0.932231,0.389911,0.402826,0.00074347,383.57,0,15266
18,0.931939,0.290504,0.296489,0.00071576,381.35,0,16164
19,0.930651,0.457317,0.468753,0.00068722,383.31,0,17062
20,0.930455,0.263406,0.268671,0.00065796,383.53,0,17960
21,0.929231,0.313515,0.320176,0.0006281,382.18,0,18858
22,0.928802,0.547459,0.559045,0.00059775,381.16,0,19756
23,0.927739,0.361488,0.3665,0.00056704,383.39,0,20654
24,0.928038,0.475612,0.483091,0.00053608,381.61,0,21552
25,0.926696,0.368705,0.377948,0.000505,379.59,0,22450
26,0.926001,0.493381,0.501535,0.00047392,380.58,0,23348
27,0.925477,0.459203,0.464945,0.00044296,383.36,0,24246
28,0.925521,0.460212,0.465862,0.00041225,380.26,0,25144
29,0.924857,0.460172,0.467057,0.0003819,380.82,0,26042
30,0.924327,0.478512,0.484713,0.00035204,381.14,0,26940
31,0.924314,0.467314,0.472647,0.00032278,381.44,0,27838
32,0.924053,0.450427,0.45607,0.00029424,378.52,0,28736
33,0.923181,0.479694,0.485963,0.00026653,376.34,0,29634
34,0.922784,0.461984,0.467752,0.00023977,377.37,0,30532
35,0.9226,0.460426,0.466408,0.00021405,376.35,0,31430
36,0.92272,0.472758,0.478952,0.00018948,377.93,0,32328
37,0.922172,0.480013,0.485157,0.00016615,380.59,0,33226
38,0.921828,0.485839,0.490501,0.00014416,381.66,0,34124
39,0.921723,0.472721,0.479133,0.0001236,382.77,0,35022
40,0.921523,0.492285,0.498527,0.00010454,384.22,0,35920
41,0.921231,0.441073,0.446692,8.706e-05,381.75,0,36818
42,0.921229,0.478083,0.484,7.123e-05,381.07,0,37716
43,0.920723,0.470993,0.476375,5.711e-05,379.64,0,38614
44,0.920771,0.474861,0.480182,4.476e-05,379.89,0,39512
45,0.920654,0.480296,0.486133,3.423e-05,378.69,0,40410
46,0.920536,0.479481,0.484809,2.555e-05,381.6,0,41308
47,0.920411,0.486165,0.49149,1.877e-05,381.76,0,42206
48,0.920456,0.492852,0.498551,1.39e-05,382.82,0,43104
49,0.920366,0.486523,0.491846,1.098e-05,382.87,0,44002
50,0.920461,0.483134,0.488699,1e-05,380.0,0,44900
51,0.920467,0.486314,0.491475,1e-05,380.58,0,45798
52,0.920498,0.483137,0.488242,1e-05,382.06,0,46696
53,0.920602,0.48505,0.490547,1e-05,379.22,0,47594
54,0.920516,0.482911,0.488503,1e-05,382.23,0,48492
55,0.920383,0.480226,0.485753,1e-05,383.41,0,49390
