epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.563711,0.000496,0.0,0.0009997,54.18,0
2,1.424032,0.000496,0.0,0.00099879,50.53,0
3,1.212428,0.000404,0.0,0.00099729,50.3,0
4,1.018499,0.001737,0.0,0.00099518,50.3,0
5,1.003512,0.013756,0.0,0.00099248,50.4,0
6,0.99546,0.029886,0.0,0.00098918,50.26,0
7,0.989919,0.045329,0.0,0.0009853,50.11,0
8,0.986132,0.049775,0.0,0.00098082,50.43,0
9,0.983199,0.077025,0.0,0.00097577,50.36,0
10,0.982997,0.081534,0.0,0.00097015,50.22,0
11,0.980568,0.095839,0.0,0.00096396,50.34,0
12,0.978131,0.05028,0.0,0.00095721,50.88,0
13,0.976483,0.064093,0.0,0.0009499,50.25,0
14,0.97426,0.128061,0.0,0.00094206,50.79,0
15,0.972776,0.114224,0.0,0.00093368,50.44,0
16,0.970317,0.116852,0.0,0.00092478,50.66,0
17,0.96781,0.094103,0.0,0.00091537,50.42,0
18,0.964889,0.121391,0.0,0.00090546,50.79,0
19,0.963376,0.120943,0.182588,0.00089507,50.7,0
20,0.959881,0.166698,0.240295,0.00088419,50.7,0
21,0.959164,0.187321,0.259305,0.00087286,50.47,0
22,0.955677,0.255319,0.334895,0.00086107,50.98,0
23,0.953042,0.221824,0.276981,0.00084886,50.03,0
24,0.950996,0.230712,0.285184,0.00083622,50.38,0
25,0.950584,0.221079,0.260223,0.00082318,50.58,0
26,0.948239,0.283064,0.330656,0.00080975,50.86,0
27,0.945987,0.234651,0.26935,0.00079595,51.41,0
28,0.945504,0.258732,0.297691,0.0007818,50.86,0
29,0.944045,0.339609,0.378563,0.00076731,51.06,0
30,0.942605,0.244036,0.265159,0.0007525,50.99,0
31,0.94192,0.30902,0.338456,0.00073739,51.34,0
32,0.941918,0.299739,0.324747,0.00072199,51.27,0
33,0.940023,0.346265,0.374685,0.00070633,51.69,0
34,0.939444,0.285665,0.302563,0.00069043,50.74,0
35,0.937912,0.326359,0.347557,0.0006743,50.96,0
36,0.93885,0.32665,0.34551,0.00065796,50.94,0
37,0.938295,0.28411,0.299866,0.00064144,50.88,0
38,0.937324,0.291469,0.303485,0.00062475,51.01,0
39,0.936791,0.314281,0.32655,0.00060792,50.76,0
40,0.935204,0.304767,0.316296,0.00059096,51.08,0
41,0.934152,0.343427,0.357505,0.00057389,50.94,0
42,0.934326,0.428474,0.443967,0.00055674,51.08,0
43,0.933598,0.345527,0.357178,0.00053953,50.44,0
44,0.933167,0.33123,0.342664,0.00052228,50.5,0
45,0.933062,0.417232,0.430871,0.000505,50.98,0
46,0.932895,0.380124,0.392358,0.00048772,50.87,0
47,0.931722,0.39269,0.403417,0.00047047,50.57,0
48,0.931712,0.397323,0.407948,0.00045326,50.81,0
49,0.931474,0.351155,0.363865,0.00043611,50.75,0
50,0.931079,0.394281,0.405429,0.00041904,50.78,0
51,0.930673,0.364909,0.376389,0.00040208,50.53,0
52,0.930207,0.404202,0.412628,0.00038525,51.1,0
53,0.93028,0.413684,0.42534,0.00036856,50.88,0
54,0.930182,0.366813,0.377276,0.00035204,51.04,0
55,0.929782,0.40249,0.412129,0.0003357,51.05,0
56,0.929472,0.34804,0.355871,0.00031957,50.68,0
57,0.929234,0.423749,0.433279,0.00030367,50.54,0
58,0.928093,0.438466,0.447751,0.00028801,51.19,0
59,0.928627,0.442999,0.451835,0.00027261,51.27,0
60,0.92804,0.38496,0.391839,0.0002575,51.01,0
61,0.927281,0.417727,0.426305,0.00024269,50.94,0
62,0.926977,0.386702,0.394558,0.0002282,50.98,0
63,0.927698,0.401723,0.410984,0.00021405,50.48,0
64,0.927368,0.378781,0.387234,0.00020025,51.77,0
65,0.926751,0.402434,0.410254,0.00018682,51.27,0
66,0.926973,0.432704,0.439981,0.00017378,50.78,0
67,0.926344,0.401929,0.409955,0.00016114,50.75,0
68,0.926814,0.459868,0.467429,0.00014893,50.95,0
69,0.926575,0.43151,0.439292,0.00013714,50.86,0
70,0.926004,0.466294,0.474371,0.00012581,50.74,0
71,0.926218,0.42665,0.431888,0.00011493,51.22,0
72,0.925698,0.451112,0.457593,0.00010454,51.24,0
73,0.924884,0.437407,0.443342,9.463e-05,50.68,0
74,0.925847,0.464502,0.471206,8.522e-05,50.86,0
75,0.92535,0.466114,0.473792,7.632e-05,50.6,0
76,0.924992,0.444495,0.451584,6.794e-05,51.28,0
77,0.925694,0.443833,0.45185,6.01e-05,50.93,0
78,0.925173,0.458608,0.466472,5.279e-05,50.71,0
79,0.924895,0.446587,0.452624,4.604e-05,50.75,0
80,0.924861,0.449045,0.456381,3.985e-05,50.43,0
81,0.924417,0.459988,0.467254,3.423e-05,50.55,0
82,0.924455,0.467803,0.474731,2.918e-05,50.59,0
83,0.924952,0.47698,0.482689,2.47e-05,50.82,0
84,0.924923,0.466268,0.47376,2.082e-05,50.23,0
85,0.924451,0.468858,0.477353,1.752e-05,50.07,0
86,0.924331,0.453697,0.461074,1.482e-05,49.98,0
87,0.924338,0.456747,0.464365,1.271e-05,51.04,0
88,0.924328,0.448039,0.455417,1.121e-05,50.33,0
89,0.924776,0.444342,0.451705,1.03e-05,50.73,0
90,0.924453,0.445304,0.453639,1e-05,50.88,0
