epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.413167,0.000419,0.0,0.0009997,197.33,0
2,1.062153,0.000758,0.0,0.00099879,197.21,0
3,1.020157,0.000572,0.0,0.00099729,197.31,0
4,1.010405,0.005897,0.0,0.00099518,196.6,0
5,1.003886,0.009478,0.0,0.00099248,196.06,0
6,0.998777,0.018929,0.0,0.00098918,196.36,0
7,0.993971,0.033177,0.0,0.0009853,197.66,0
8,0.989822,0.034293,0.0,0.00098082,197.47,0
9,0.98609,0.025004,0.0,0.00097577,196.1,0
10,0.983133,0.081499,0.0,0.00097015,198.17,0
11,0.979804,0.098478,0.0,0.00096396,197.17,0
12,0.975488,0.099909,0.0,0.00095721,197.66,0
13,0.972161,0.065177,0.0,0.0009499,198.38,0
14,0.970157,0.076505,0.0,0.00094206,196.72,0
15,0.966724,0.168789,0.298602,0.00093368,197.86,0
16,0.963854,0.194043,0.300231,0.00092478,198.19,0
17,0.962874,0.183358,0.25525,0.00091537,196.24,0
18,0.958375,0.176872,0.22992,0.00090546,196.85,0
19,0.954329,0.178981,0.236294,0.00089507,196.94,0
20,0.951491,0.191398,0.234609,0.00088419,196.45,0
21,0.953085,0.234401,0.280916,0.00087286,196.39,0
22,0.948641,0.231386,0.269962,0.00086107,197.13,0
23,0.947248,0.144309,0.163608,0.00084886,197.8,0
24,0.945943,0.301151,0.337113,0.00083622,197.23,0
25,0.944812,0.334099,0.375223,0.00082318,196.06,0
26,0.944464,0.295408,0.328001,0.00080975,196.26,0
27,0.942299,0.367641,0.398262,0.00079595,195.06,0
28,0.940595,0.369193,0.399126,0.0007818,195.72,0
29,0.940469,0.33356,0.360441,0.00076731,195.34,0
30,0.939953,0.446611,0.478946,0.0007525,196.43,0
31,0.93829,0.457159,0.484455,0.00073739,196.52,0
32,0.937767,0.225716,0.236678,0.00072199,196.33,0
33,0.937153,0.338389,0.352255,0.00070633,195.66,0
34,0.936797,0.262718,0.273592,0.00069043,195.93,0
35,0.936458,0.347705,0.361922,0.0006743,196.51,0
36,0.934903,0.341665,0.355582,0.00065796,196.19,0
37,0.935383,0.314548,0.324294,0.00064144,195.95,0
38,0.934234,0.370528,0.382405,0.00062475,195.64,0
39,0.9338,0.331625,0.342745,0.00060792,196.2,0
40,0.932496,0.436858,0.450391,0.00059096,201.84,0
41,0.932551,0.314298,0.325269,0.00057389,197.58,0
42,0.931353,0.330405,0.339476,0.00055674,196.74,0
43,0.931631,0.360649,0.371895,0.00053953,195.32,0
44,0.93136,0.378952,0.387228,0.00052228,195.49,0
45,0.930531,0.445852,0.457616,0.000505,196.37,0
46,0.930194,0.423642,0.433302,0.00048772,194.93,0
47,0.930408,0.378302,0.387317,0.00047047,196.3,0
48,0.929309,0.42569,0.435184,0.00045326,195.08,0
49,0.929236,0.42905,0.438965,0.00043611,196.4,0
50,0.928811,0.445463,0.452853,0.00041904,195.39,0
51,0.928876,0.291779,0.296648,0.00040208,195.93,0
52,0.928371,0.494714,0.506318,0.00038525,196.77,0
53,0.928155,0.466703,0.474784,0.00036856,196.61,0
54,0.927984,0.462488,0.471114,0.00035204,195.6,0
55,0.927801,0.459679,0.468208,0.0003357,195.62,0
56,0.927883,0.495573,0.50491,0.00031957,196.03,0
57,0.926578,0.444393,0.451181,0.00030367,194.34,0
58,0.9269,0.475985,0.482793,0.00028801,194.24,0
59,0.927065,0.445998,0.453257,0.00027261,195.24,0
60,0.926272,0.450589,0.456411,0.0002575,195.96,0
61,0.92663,0.492737,0.499965,0.00024269,195.72,0
62,0.925706,0.442417,0.44885,0.0002282,195.73,0
63,0.925348,0.452735,0.458215,0.00021405,195.65,0
64,0.924793,0.392174,0.399031,0.00020025,195.62,0
65,0.925134,0.481806,0.48771,0.00018682,197.73,0
66,0.925269,0.45549,0.460394,0.00017378,195.88,0
67,0.925217,0.444511,0.44994,0.00016114,196.52,0
68,0.924851,0.457745,0.461979,0.00014893,196.89,0
69,0.924964,0.447888,0.453647,0.00013714,198.2,0
70,0.924224,0.477418,0.483457,0.00012581,196.28,0
71,0.923996,0.467943,0.474332,0.00011493,196.09,0
72,0.92444,0.485841,0.492217,0.00010454,197.3,0
73,0.923893,0.485458,0.49169,9.463e-05,196.29,0
74,0.923796,0.492878,0.498016,8.522e-05,195.62,0
75,0.923934,0.495831,0.501915,7.632e-05,196.65,0
76,0.923725,0.489798,0.495326,6.794e-05,198.43,0
77,0.92357,0.495927,0.500805,6.01e-05,196.77,0
78,0.923888,0.515931,0.52082,5.279e-05,197.33,0
79,0.923706,0.49759,0.503483,4.604e-05,196.6,0
80,0.92379,0.502294,0.507542,3.985e-05,196.73,0
81,0.923051,0.498686,0.504034,3.423e-05,194.94,0
82,0.923254,0.508909,0.513895,2.918e-05,195.34,0
83,0.92361,0.492532,0.497915,2.47e-05,195.76,0
84,0.923616,0.490945,0.496528,2.082e-05,195.26,0
85,0.922817,0.494299,0.499198,1.752e-05,194.71,0
86,0.922921,0.496568,0.501686,1.482e-05,193.66,0
87,0.923058,0.500682,0.505459,1.271e-05,194.52,0
88,0.922994,0.495224,0.500475,1.121e-05,194.36,0
89,0.923049,0.500988,0.506046,1.03e-05,195.14,0
90,0.922731,0.507128,0.512173,1e-05,195.17,0
