epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.431638,0.000529,0.0,0.00099902,14.7,0
2,1.161878,0.001054,0.010265,0.0009961,13.85,0
3,1.024994,0.004108,0.064374,0.00099123,13.8,0
4,0.924249,0.019223,0.122219,0.00098445,13.92,0
5,0.827891,0.053565,0.146333,0.00097577,13.53,0
6,0.761189,0.064324,0.094061,0.00096524,13.57,0
7,0.724436,0.083087,0.096294,0.00095289,13.59,0
8,0.705057,0.075415,0.08688,0.00093877,13.77,0
9,0.687881,0.222977,0.297113,0.00092294,13.48,0
10,0.679014,0.199962,0.242941,0.00090546,13.53,0
11,0.674189,0.176321,0.208228,0.0008864,13.62,0
12,0.666248,0.191113,0.22003,0.00086584,13.87,0
13,0.663229,0.279466,0.323469,0.00084385,13.53,0
14,0.650944,0.298848,0.34033,0.00082052,13.67,0
15,0.646594,0.229869,0.254141,0.00079595,13.78,0
16,0.644978,0.295789,0.32788,0.00077023,13.61,0
17,0.641814,0.31863,0.349221,0.00074347,13.91,0
18,0.637102,0.277275,0.298274,0.00071576,14.04,0
19,0.632645,0.301812,0.327005,0.00068722,13.77,0
20,0.630324,0.26148,0.276868,0.00065796,13.99,0
21,0.629804,0.286256,0.303158,0.0006281,13.86,0
22,0.627827,0.258963,0.272651,0.00059775,13.98,0
23,0.624897,0.246375,0.260742,0.00056704,13.58,0
24,0.623122,0.307456,0.320904,0.00053608,13.68,0
25,0.622557,0.257641,0.266338,0.000505,13.62,0
26,0.619066,0.294666,0.30744,0.00047392,13.88,0
27,0.616644,0.328594,0.344822,0.00044296,14.13,0
28,0.615619,0.250482,0.261289,0.00041225,13.84,0
29,0.614125,0.301168,0.312122,0.0003819,13.61,0
30,0.612634,0.331566,0.346126,0.00035204,13.77,0
31,0.611646,0.302983,0.31315,0.00032278,13.74,0
32,0.609997,0.320619,0.330915,0.00029424,13.5,0
33,0.608313,0.308162,0.318903,0.00026653,13.75,0
34,0.608219,0.339223,0.350677,0.00023977,13.66,0
35,0.606022,0.337426,0.348218,0.00021405,13.79,0
36,0.604822,0.327424,0.337615,0.00018948,13.82,0
37,0.604826,0.348936,0.361185,0.00016615,13.82,0
38,0.602796,0.346223,0.358048,0.00014416,13.78,0
39,0.603044,0.339371,0.34969,0.0001236,13.87,0
40,0.60324,0.360774,0.372436,0.00010454,13.71,0
41,0.600741,0.362447,0.373879,8.706e-05,13.75,0
42,0.600316,0.353131,0.363591,7.123e-05,13.76,0
43,0.600038,0.358479,0.368621,5.711e-05,13.89,0
44,0.600564,0.348262,0.359215,4.476e-05,13.94,0
45,0.600671,0.342854,0.353513,3.423e-05,13.69,0
46,0.599448,0.348372,0.358118,2.555e-05,13.8,0
47,0.599687,0.355301,0.366457,1.877e-05,13.91,0
48,0.597916,0.353453,0.364164,1.39e-05,13.88,0
49,0.599407,0.343319,0.353927,1.098e-05,13.7,0
50,0.597378,0.344871,0.354586,1e-05,13.73,0
51,0.598528,0.349939,0.36056,1e-05,13.61,0
52,0.598194,0.346181,0.35595,1e-05,13.57,0
53,0.599161,0.342319,0.352134,1e-05,13.55,0
54,0.598383,0.349629,0.359183,1e-05,13.37,0
55,0.597876,0.349203,0.359151,1e-05,13.41,0
56,0.597976,0.363593,0.373653,1e-05,13.62,0
57,0.597933,0.35624,0.36594,1e-05,13.42,0
58,0.598054,0.350172,0.359737,1e-05,13.49,0
59,0.597913,0.349557,0.359347,1e-05,13.42,0
60,0.598994,0.351065,0.360315,1e-05,13.7,0
61,0.598537,0.350619,0.359674,1e-05,13.75,0
62,0.59954,0.355529,0.365123,1e-05,13.94,0
63,0.596826,0.35917,0.368848,1e-05,13.62,0
64,0.597626,0.354619,0.364302,1e-05,13.58,0
65,0.597807,0.356719,0.366139,1e-05,13.6,0
66,0.59817,0.350608,0.36054,1e-05,13.34,0
67,0.599005,0.351828,0.361652,1e-05,13.52,0
68,0.598032,0.352722,0.361732,1e-05,13.3,0
69,0.597794,0.353798,0.363462,1e-05,13.47,0
70,0.598224,0.348719,0.358135,1e-05,13.69,0
71,0.597018,0.35112,0.361087,1e-05,13.54,0
72,0.599193,0.354431,0.364747,1e-05,13.54,0
73,0.598257,0.35443,0.364288,1e-05,13.54,0
74,0.597338,0.353327,0.36324,1e-05,13.61,0
75,0.597232,0.358739,0.3686,1e-05,13.64,0
76,0.59755,0.351714,0.36164,1e-05,13.52,0
