epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.363221,0.000473,0.0,0.00029971,15.06,0
2,1.223879,0.000532,0.0,0.00029883,15.41,0
3,1.138296,0.00083,0.008785,0.00029737,15.46,0
4,1.065425,0.003439,0.264723,0.00029533,15.28,0
5,1.010406,0.006638,0.125256,0.00029273,15.34,0
6,0.957953,0.01085,0.142675,0.00028957,15.41,0
7,0.910385,0.020313,0.101445,0.00028587,15.47,0
8,0.852912,0.03237,0.132799,0.00028163,15.4,0
9,0.797498,0.049282,0.121744,0.00027688,15.33,0
10,0.750636,0.069852,0.124508,0.00027164,15.44,0
11,0.717133,0.119089,0.277004,0.00026592,15.21,0
12,0.69124,0.128026,0.197303,0.00025975,15.46,0
13,0.671971,0.108122,0.133262,0.00025316,15.47,0
14,0.664143,0.169729,0.238622,0.00024616,15.67,0
15,0.652799,0.139761,0.166396,0.00023879,15.57,0
16,0.642367,0.195398,0.232561,0.00023107,15.38,0
17,0.637969,0.160117,0.177553,0.00022304,15.36,0
18,0.633945,0.209113,0.245202,0.00021473,15.31,0
19,0.627229,0.172783,0.194746,0.00020617,15.29,0
20,0.622882,0.199712,0.220113,0.00019739,15.45,0
21,0.620565,0.230645,0.251569,0.00018843,15.42,0
22,0.61584,0.271169,0.299905,0.00017933,15.37,0
23,0.613912,0.200606,0.217218,0.00017011,15.41,0
24,0.608093,0.223095,0.239104,0.00016082,15.42,0
25,0.607902,0.242926,0.25925,0.0001515,15.26,0
26,0.604823,0.218161,0.233588,0.00014218,15.32,0
27,0.60386,0.242387,0.259004,0.00013289,15.24,0
28,0.601386,0.247475,0.261403,0.00012367,15.19,0
29,0.598372,0.273092,0.289079,0.00011457,15.39,0
30,0.59681,0.23985,0.251995,0.00010561,15.72,0
31,0.595973,0.226938,0.236863,9.683e-05,15.31,0
32,0.594391,0.319023,0.336369,8.827e-05,15.3,0
33,0.594149,0.238759,0.250216,7.996e-05,15.12,0
34,0.591308,0.227974,0.236631,7.193e-05,15.63,0
35,0.591548,0.332372,0.348346,6.421e-05,15.42,0
36,0.588859,0.249391,0.258317,5.684e-05,15.4,0
37,0.587491,0.281358,0.292632,4.984e-05,15.38,0
38,0.586425,0.275923,0.288101,4.325e-05,15.35,0
39,0.584532,0.296249,0.308085,3.708e-05,15.37,0
40,0.58432,0.272282,0.281909,3.136e-05,15.28,0
41,0.583011,0.273839,0.284782,2.612e-05,15.49,0
42,0.582899,0.271115,0.281136,2.137e-05,15.65,0
43,0.581989,0.261215,0.271398,1.713e-05,15.34,0
44,0.581307,0.271039,0.281737,1.343e-05,15.25,0
45,0.580536,0.263385,0.273154,1.027e-05,15.38,0
46,0.580456,0.274149,0.283749,7.67e-06,15.33,0
47,0.579653,0.276009,0.287515,5.63e-06,15.35,0
48,0.579623,0.2773,0.288026,4.17e-06,15.56,0
49,0.57917,0.273526,0.284339,3.29e-06,15.22,0
50,0.579038,0.275676,0.286128,3e-06,15.37,0
51,0.579287,0.275899,0.286755,3e-06,15.13,0
52,0.579596,0.274086,0.28519,3e-06,15.1,0
53,0.579733,0.274416,0.285651,3e-06,15.4,0
54,0.579036,0.276613,0.286953,3e-06,15.28,0
55,0.578715,0.275698,0.286286,3e-06,15.3,0
