epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.612276,0.000464,0.001822,0.00099902,19.7,0
2,1.514761,0.000463,0.000679,0.0009961,12.32,0
3,1.450431,0.000463,0.0,0.00099123,12.27,0
4,1.396945,0.000463,0.000179,0.00098445,12.35,0
5,1.247143,0.000544,0.0,0.00097577,12.38,0
6,1.041064,0.002603,0.0,0.00096524,12.44,0
7,0.986434,0.008935,0.0,0.00095289,12.45,0
8,0.954921,0.015701,0.0,0.00093877,12.49,0
9,0.930673,0.023153,0.0,0.00092294,12.39,0
10,0.912978,0.025513,0.0,0.00090546,12.48,0
11,0.9028,0.032882,0.0,0.0008864,12.26,0
12,0.890389,0.044253,0.0,0.00086584,12.37,0
13,0.8794,0.04422,0.0,0.00084385,12.23,0
14,0.870959,0.063106,0.0,0.00082052,12.29,0
15,0.860138,0.073786,0.0,0.00079595,12.25,0
16,0.853371,0.071139,0.0,0.00077023,12.34,0
17,0.845607,0.0887,0.0,0.00074347,12.26,0
18,0.834418,0.08076,0.0,0.00071576,12.27,0
19,0.828458,0.103623,0.0,0.00068722,12.31,0
20,0.816018,0.101121,0.0,0.00065796,12.41,0
21,0.80928,0.137689,0.0,0.0006281,12.39,0
22,0.798607,0.119972,0.0,0.00059775,12.37,0
23,0.792216,0.117956,0.0,0.00056704,12.37,0
24,0.783849,0.149775,0.066331,0.00053608,12.48,0
25,0.775965,0.191361,0.315035,0.000505,12.42,0
26,0.76776,0.177918,0.262186,0.00047392,12.37,0
27,0.76191,0.140067,0.20069,0.00044296,12.29,0
28,0.755103,0.178013,0.236638,0.00041225,12.48,0
29,0.747523,0.160527,0.215986,0.0003819,12.32,0
30,0.741894,0.191292,0.257244,0.00035204,12.42,0
31,0.738752,0.168235,0.223397,0.00032278,12.48,0
32,0.732333,0.185281,0.24165,0.00029424,12.41,0
33,0.727556,0.13443,0.17041,0.00026653,12.33,0
34,0.723814,0.17207,0.219518,0.00023977,12.55,0
35,0.71985,0.164358,0.207153,0.00021405,12.38,0
36,0.71771,0.160332,0.199671,0.00018948,12.41,0
37,0.714795,0.177587,0.225212,0.00016615,12.31,0
38,0.712566,0.191455,0.244531,0.00014416,12.32,0
39,0.709127,0.222252,0.28497,0.0001236,12.32,0
40,0.707068,0.218637,0.277487,0.00010454,12.32,0
41,0.706291,0.215366,0.267013,8.706e-05,12.38,0
42,0.705864,0.202094,0.252339,7.123e-05,12.45,0
43,0.703886,0.213155,0.26612,5.711e-05,12.37,0
44,0.701907,0.20509,0.254048,4.476e-05,12.33,0
45,0.701639,0.204506,0.253091,3.423e-05,12.33,0
46,0.701398,0.209435,0.25958,2.555e-05,12.39,0
47,0.700635,0.201641,0.247227,1.877e-05,12.35,0
48,0.699047,0.214027,0.263913,1.39e-05,12.36,0
49,0.701172,0.202213,0.249113,1.098e-05,12.24,0
50,0.698498,0.204994,0.251822,1e-05,12.28,0
51,0.700109,0.207841,0.256938,1e-05,12.35,0
52,0.698209,0.216011,0.26706,1e-05,12.39,0
53,0.699516,0.207118,0.255758,1e-05,12.31,0
54,0.699412,0.211749,0.261663,1e-05,12.21,0
55,0.698297,0.21112,0.260003,1e-05,12.15,0
56,0.699566,0.207036,0.254699,1e-05,12.18,0
57,0.698132,0.212066,0.260034,1e-05,12.21,0
58,0.697617,0.211193,0.259919,1e-05,12.22,0
59,0.698927,0.21569,0.265221,1e-05,12.26,0
