epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches
1,1.179361,0.00051,0.0,0.00029971,74.43,0
2,1.029594,0.007573,0.129029,0.00029883,73.9,0
3,0.988614,0.052388,0.275382,0.00029737,73.94,0
4,0.962533,0.088313,0.156047,0.00029533,73.51,0
5,0.951323,0.142838,0.252774,0.00029273,73.76,0
6,0.945482,0.220262,0.268633,0.00028957,73.76,0
7,0.941524,0.268096,0.315939,0.00028587,73.34,0
8,0.939343,0.20393,0.219012,0.00028163,73.68,0
9,0.936829,0.287902,0.317858,0.00027688,73.52,0
10,0.93574,0.260585,0.269985,0.00027164,73.28,0
11,0.933898,0.290829,0.30851,0.00026592,73.53,0
12,0.932874,0.26415,0.278769,0.00025975,73.81,0
13,0.932204,0.263841,0.279282,0.00025316,73.86,0
14,0.931323,0.23283,0.243802,0.00024616,73.65,0
15,0.93007,0.341688,0.351256,0.00023879,73.6,0
16,0.928897,0.317356,0.330284,0.00023107,73.35,0
17,0.928662,0.4139,0.428954,0.00022304,73.65,0
18,0.927941,0.358698,0.377343,0.00021473,73.74,0
19,0.926966,0.307898,0.323323,0.00020617,74.16,0
20,0.926691,0.244434,0.252151,0.00019739,73.69,0
21,0.925804,0.371839,0.389448,0.00018843,73.28,0
22,0.925088,0.342733,0.352998,0.00017933,74.3,0
23,0.924871,0.316614,0.32946,0.00017011,73.79,0
24,0.92422,0.370807,0.378075,0.00016082,73.58,0
25,0.923598,0.363297,0.371862,0.0001515,73.38,0
26,0.92368,0.305792,0.317398,0.00014218,73.12,0
27,0.922542,0.34081,0.345211,0.00013289,73.28,0
28,0.922184,0.310468,0.33741,0.00012367,73.37,0
29,0.921543,0.330024,0.342514,0.00011457,73.56,0
30,0.921444,0.37096,0.377777,0.00010561,73.54,0
31,0.921173,0.281194,0.290308,9.683e-05,73.48,0
32,0.92122,0.315237,0.323598,8.827e-05,73.14,0
33,0.920171,0.343547,0.351677,7.996e-05,73.04,0
34,0.920004,0.327831,0.3377,7.193e-05,73.54,0
35,0.919486,0.393467,0.397525,6.421e-05,73.42,0
36,0.919457,0.387495,0.396429,5.684e-05,73.41,0
37,0.918973,0.371995,0.378811,4.984e-05,73.29,0
