epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,0.638064,0.414944,0.426484,9.995e-05,11.92,0,178
2,0.636224,0.407046,0.418051,9.979e-05,11.18,0,356
3,0.636639,0.413273,0.424392,9.952e-05,11.25,0,534
4,0.636685,0.409871,0.420506,9.914e-05,11.08,0,712
5,0.634671,0.414752,0.425811,9.866e-05,11.22,0,890
6,0.637129,0.423297,0.433553,9.808e-05,11.23,0,1068
7,0.636649,0.412142,0.421496,9.739e-05,11.41,0,1246
8,0.634205,0.426355,0.436602,9.66e-05,11.32,0,1424
9,0.637126,0.408757,0.419409,9.571e-05,11.17,0,1602
10,0.634369,0.391178,0.400619,9.472e-05,11.28,0,1780
11,0.633981,0.396451,0.40613,9.364e-05,11.2,0,1958
12,0.635441,0.420311,0.42856,9.246e-05,11.27,0,2136
13,0.634028,0.434779,0.444472,9.119e-05,11.12,0,2314
14,0.633759,0.417905,0.427058,8.983e-05,11.18,0,2492
15,0.631754,0.408105,0.41738,8.839e-05,11.13,0,2670
16,0.633569,0.4033,0.411939,8.687e-05,11.36,0,2848
17,0.632225,0.377473,0.385412,8.526e-05,11.24,0,3026
18,0.633551,0.383599,0.392572,8.358e-05,11.28,0,3204
19,0.631434,0.414589,0.422963,8.183e-05,11.23,0,3382
20,0.631745,0.40182,0.410671,8.001e-05,11.38,0,3560
21,0.632674,0.406777,0.416457,7.813e-05,11.41,0,3738
22,0.633378,0.40936,0.419386,7.619e-05,11.2,0,3916
23,0.630962,0.399074,0.408352,7.419e-05,11.14,0,4094
24,0.632158,0.38755,0.396699,7.214e-05,11.33,0,4272
25,0.633123,0.387309,0.395326,7.004e-05,11.26,0,4450
26,0.63214,0.395111,0.40308,6.79e-05,11.25,0,4628
27,0.630506,0.391284,0.400016,6.572e-05,11.28,0,4806
28,0.631778,0.383016,0.390408,6.351e-05,11.33,0,4984
29,0.631394,0.389084,0.396902,6.127e-05,11.19,0,5162
30,0.63054,0.401439,0.409307,5.901e-05,11.14,0,5340
31,0.631116,0.391004,0.399212,5.673e-05,11.15,0,5518
32,0.628911,0.401373,0.410444,5.444e-05,11.24,0,5696
33,0.630123,0.396703,0.404975,5.213e-05,11.33,0,5874
34,0.629557,0.400104,0.40914,4.983e-05,11.19,0,6052
35,0.631572,0.406045,0.415553,4.752e-05,11.19,0,6230
36,0.62846,0.403977,0.413313,4.522e-05,11.21,0,6408
37,0.62922,0.391261,0.400458,4.294e-05,11.09,0,6586
38,0.629456,0.378209,0.38721,4.067e-05,11.34,0,6764
39,0.628087,0.393411,0.402977,3.842e-05,11.24,0,6942
40,0.63037,0.382451,0.391117,3.619e-05,11.23,0,7120
41,0.627958,0.386104,0.393795,3.4e-05,11.47,0,7298
42,0.629199,0.385906,0.394397,3.184e-05,11.42,0,7476
43,0.629404,0.400659,0.41012,2.973e-05,11.51,0,7654
44,0.629206,0.389463,0.397394,2.766e-05,11.27,0,7832
45,0.628798,0.384269,0.393404,2.564e-05,11.22,0,8010
46,0.629219,0.391648,0.400914,2.367e-05,11.09,0,8188
47,0.630194,0.391271,0.399864,2.176e-05,11.18,0,8366
48,0.62894,0.373487,0.381454,1.992e-05,11.27,0,8544
49,0.629547,0.37967,0.387736,1.814e-05,11.18,0,8722
50,0.628708,0.381555,0.389671,1.643e-05,11.2,0,8900
51,0.628412,0.384555,0.393335,1.479e-05,11.24,0,9078
52,0.628243,0.384328,0.392966,1.323e-05,11.03,0,9256
53,0.628207,0.387257,0.395091,1.176e-05,11.19,0,9434
54,0.626467,0.386887,0.39566,1.036e-05,11.03,0,9612
55,0.628859,0.387871,0.396411,9.06e-06,11.14,0,9790
56,0.62899,0.386873,0.395526,7.84e-06,11.32,0,9968
57,0.627191,0.389143,0.397862,6.72e-06,11.24,0,10146
58,0.628023,0.388297,0.396849,5.69e-06,11.24,0,10324
59,0.628053,0.389077,0.398007,4.76e-06,11.23,0,10502
60,0.627749,0.389379,0.398674,3.93e-06,11.22,0,10680
61,0.628765,0.387818,0.397044,3.2e-06,11.2,0,10858
62,0.627117,0.387258,0.396338,2.57e-06,11.32,0,11036
63,0.627736,0.385885,0.394604,2.04e-06,11.25,0,11214
64,0.628458,0.386288,0.39529,1.63e-06,11.43,0,11392
65,0.627701,0.386724,0.395902,1.31e-06,11.28,0,11570
66,0.627342,0.387077,0.396206,1.11e-06,11.44,0,11748
67,0.625874,0.387185,0.396363,1.01e-06,11.24,0,11926
68,0.628839,0.386895,0.395892,1e-06,11.17,0,12104
