epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,0.647763,0.335618,0.343273,0.00099946,11.17,0,178
2,0.647575,0.317853,0.323361,0.00099785,11.44,0,356
3,0.649133,0.309822,0.316692,0.00099517,11.26,0,534
4,0.647211,0.338108,0.345153,0.00099143,11.12,0,712
5,0.646353,0.33753,0.344136,0.00098662,11.11,0,890
6,0.645741,0.384091,0.392922,0.00098078,11.1,0,1068
7,0.644637,0.34379,0.355345,0.0009739,11.03,0,1246
8,0.642084,0.306204,0.312503,0.000966,11.2,0,1424
9,0.643717,0.302051,0.308425,0.0009571,11.2,0,1602
10,0.642248,0.357193,0.365537,0.00094722,11.26,0,1780
11,0.64244,0.391394,0.40031,0.00093638,11.17,0,1958
12,0.64047,0.339242,0.345798,0.0009246,11.15,0,2136
13,0.640162,0.313755,0.319665,0.00091191,11.11,0,2314
14,0.639127,0.327076,0.33379,0.00089834,11.22,0,2492
15,0.634224,0.261491,0.266461,0.00088391,11.06,0,2670
16,0.637116,0.352756,0.358791,0.00086867,11.34,0,2848
17,0.634949,0.319617,0.328154,0.00085263,11.1,0,3026
18,0.635229,0.312053,0.317958,0.00083583,11.12,0,3204
19,0.632815,0.336457,0.341001,0.00081832,11.21,0,3382
20,0.630089,0.344308,0.351465,0.00080013,11.23,0,3560
21,0.633218,0.273239,0.278638,0.0007813,11.4,0,3738
22,0.634307,0.343985,0.350659,0.00076187,11.14,0,3916
23,0.630772,0.28966,0.29395,0.00074188,11.27,0,4094
24,0.629349,0.3894,0.395808,0.00072137,11.07,0,4272
25,0.631189,0.342621,0.348735,0.0007004,11.27,0,4450
26,0.629477,0.320896,0.325711,0.000679,11.25,0,4628
27,0.629725,0.37838,0.384301,0.00065722,11.08,0,4806
28,0.627898,0.355681,0.362824,0.00063512,11.09,0,4984
29,0.626145,0.36087,0.366572,0.00061273,11.16,0,5162
30,0.626034,0.34535,0.3519,0.0005901,11.08,0,5340
31,0.626423,0.381355,0.387139,0.0005673,11.19,0,5518
32,0.626283,0.314187,0.319626,0.00054435,11.12,0,5696
33,0.625473,0.414858,0.421205,0.00052133,10.97,0,5874
34,0.623802,0.338848,0.345958,0.00049826,11.15,0,6052
35,0.624013,0.33741,0.341669,0.00047521,10.96,0,6230
36,0.622405,0.311836,0.317034,0.00045223,11.34,0,6408
37,0.622817,0.323904,0.3292,0.00042936,11.05,0,6586
38,0.621171,0.325366,0.32989,0.00040665,10.94,0,6764
39,0.620043,0.344681,0.350059,0.00038416,11.09,0,6942
40,0.621114,0.316598,0.3217,0.00036193,11.07,0,7120
41,0.618597,0.363224,0.369683,0.00034001,11.06,0,7298
42,0.61813,0.315167,0.319117,0.00031845,11.12,0,7476
43,0.618676,0.331869,0.337709,0.00029729,11.01,0,7654
44,0.616925,0.358334,0.362663,0.00027659,11.03,0,7832
45,0.617283,0.334273,0.339783,0.00025638,11.26,0,8010
46,0.616733,0.358502,0.363946,0.00023671,11.0,0,8188
47,0.618189,0.350426,0.354396,0.00021762,11.08,0,8366
48,0.617421,0.352156,0.356759,0.00019916,11.23,0,8544
49,0.615292,0.344562,0.34963,0.00018136,11.27,0,8722
50,0.616548,0.368013,0.374462,0.00016426,11.28,0,8900
51,0.615359,0.343577,0.347919,0.00014791,11.28,0,9078
52,0.613932,0.330434,0.335116,0.00013233,11.07,0,9256
53,0.613658,0.362583,0.366522,0.00011756,11.08,0,9434
54,0.612765,0.346409,0.351351,0.00010362,11.15,0,9612
55,0.614302,0.34924,0.35237,9.057e-05,11.02,0,9790
56,0.614549,0.36184,0.366817,7.841e-05,10.95,0,9968
57,0.612684,0.341358,0.345758,6.717e-05,11.18,0,10146
58,0.612031,0.352041,0.357461,5.689e-05,11.21,0,10324
59,0.612673,0.342584,0.347658,4.758e-05,10.97,0,10502
60,0.612088,0.348029,0.353157,3.926e-05,11.21,0,10680
61,0.612534,0.340284,0.346161,3.196e-05,11.29,0,10858
62,0.613249,0.345074,0.350336,2.568e-05,11.19,0,11036
63,0.612398,0.341891,0.34667,2.044e-05,11.33,0,11214
64,0.611727,0.339566,0.344156,1.626e-05,11.14,0,11392
65,0.61191,0.342176,0.347051,1.313e-05,11.26,0,11570
66,0.610925,0.346106,0.351782,1.108e-05,11.29,0,11748
67,0.610378,0.346271,0.351223,1.009e-05,11.07,0,11926
68,0.611054,0.348481,0.352963,1e-05,11.14,0,12104
