epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,0.639415,0.414976,0.425396,9.995e-05,11.89,0,178
2,0.638464,0.427776,0.437423,9.979e-05,11.3,0,356
3,0.637434,0.424094,0.434424,9.952e-05,11.23,0,534
4,0.637222,0.401633,0.410999,9.914e-05,11.16,0,712
5,0.635599,0.41622,0.425707,9.866e-05,11.41,0,890
6,0.636434,0.42305,0.432516,9.808e-05,11.26,0,1068
7,0.636246,0.413428,0.422269,9.739e-05,11.14,0,1246
8,0.63552,0.420447,0.429797,9.66e-05,11.16,0,1424
9,0.635553,0.396907,0.406446,9.571e-05,11.3,0,1602
10,0.634568,0.389107,0.398126,9.472e-05,11.18,0,1780
11,0.634857,0.386313,0.396028,9.364e-05,11.26,0,1958
12,0.634739,0.408273,0.417666,9.246e-05,11.24,0,2136
13,0.633913,0.396292,0.404879,9.119e-05,11.29,0,2314
14,0.633995,0.405757,0.414572,8.983e-05,11.33,0,2492
15,0.634741,0.413681,0.421433,8.839e-05,11.16,0,2670
16,0.633541,0.391453,0.3994,8.687e-05,11.29,0,2848
17,0.63348,0.404799,0.412945,8.526e-05,11.24,0,3026
18,0.633712,0.412711,0.422237,8.358e-05,11.28,0,3204
19,0.632068,0.407596,0.417618,8.183e-05,11.34,0,3382
20,0.634788,0.400676,0.409031,8.001e-05,11.31,0,3560
21,0.633286,0.394708,0.404111,7.813e-05,11.39,0,3738
22,0.6331,0.408351,0.417007,7.619e-05,11.18,0,3916
23,0.633515,0.404195,0.412913,7.419e-05,11.28,0,4094
24,0.631491,0.407398,0.41579,7.214e-05,11.38,0,4272
25,0.63244,0.380914,0.389413,7.004e-05,11.18,0,4450
26,0.631426,0.398561,0.407552,6.79e-05,11.09,0,4628
27,0.631524,0.391239,0.400028,6.572e-05,11.33,0,4806
28,0.633195,0.396795,0.40586,6.351e-05,11.32,0,4984
29,0.631056,0.389972,0.399412,6.127e-05,11.22,0,5162
30,0.630972,0.371435,0.380705,5.901e-05,11.2,0,5340
31,0.629952,0.394149,0.403645,5.673e-05,11.27,0,5518
32,0.63033,0.404079,0.413608,5.444e-05,11.27,0,5696
33,0.629495,0.398473,0.408476,5.213e-05,11.37,0,5874
34,0.630778,0.401049,0.410694,4.983e-05,11.27,0,6052
35,0.630141,0.416855,0.42696,4.752e-05,11.14,0,6230
36,0.631317,0.38728,0.396257,4.522e-05,11.4,0,6408
37,0.631376,0.396984,0.405879,4.294e-05,11.1,0,6586
38,0.631247,0.383541,0.391142,4.067e-05,11.17,0,6764
39,0.63025,0.386137,0.394497,3.842e-05,11.22,0,6942
40,0.630439,0.37954,0.388004,3.619e-05,11.31,0,7120
41,0.629647,0.395126,0.403808,3.4e-05,11.36,0,7298
42,0.631348,0.384624,0.393709,3.184e-05,11.24,0,7476
43,0.630749,0.391622,0.400466,2.973e-05,11.38,0,7654
44,0.630863,0.384386,0.393224,2.766e-05,11.29,0,7832
45,0.629777,0.393872,0.402955,2.564e-05,11.3,0,8010
46,0.631508,0.39912,0.408469,2.367e-05,11.24,0,8188
47,0.630244,0.399348,0.40861,2.176e-05,11.37,0,8366
48,0.630411,0.398731,0.407229,1.992e-05,11.24,0,8544
49,0.628429,0.39574,0.404784,1.814e-05,11.29,0,8722
50,0.630072,0.396501,0.405118,1.643e-05,11.18,0,8900
51,0.629498,0.399231,0.407701,1.479e-05,11.38,0,9078
52,0.629742,0.399535,0.408553,1.323e-05,11.16,0,9256
53,0.628869,0.398809,0.407514,1.176e-05,11.26,0,9434
54,0.630019,0.395687,0.405026,1.036e-05,11.22,0,9612
55,0.629075,0.392507,0.402174,9.06e-06,11.21,0,9790
56,0.629284,0.395287,0.404183,7.84e-06,11.34,0,9968
57,0.62787,0.398779,0.407781,6.72e-06,11.29,0,10146
58,0.629219,0.396079,0.404884,5.69e-06,11.26,0,10324
59,0.627343,0.39545,0.404368,4.76e-06,11.37,0,10502
60,0.628859,0.395254,0.40386,3.93e-06,11.43,0,10680
61,0.628747,0.396228,0.405217,3.2e-06,11.37,0,10858
62,0.628632,0.396223,0.405233,2.57e-06,11.32,0,11036
63,0.629781,0.396511,0.40534,2.04e-06,11.41,0,11214
64,0.628314,0.395869,0.404823,1.63e-06,11.19,0,11392
65,0.628838,0.395302,0.404451,1.31e-06,11.29,0,11570
66,0.629736,0.394776,0.40418,1.11e-06,11.32,0,11748
67,0.629352,0.395225,0.404417,1.01e-06,11.32,0,11926
68,0.628564,0.395219,0.404695,1e-06,11.32,0,12104
