epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,0.273516,0.419341,0.431152,9.999e-05,6.46,0,89
2,0.275952,0.407352,0.418063,9.995e-05,5.83,0,178
3,0.273463,0.381085,0.391972,9.988e-05,5.8,0,267
4,0.272769,0.389859,0.400473,9.979e-05,5.73,0,356
5,0.270344,0.398676,0.408756,9.966e-05,5.75,0,445
6,0.270878,0.406123,0.416355,9.952e-05,5.86,0,534
7,0.272572,0.390972,0.399362,9.934e-05,5.91,0,623
8,0.268168,0.401239,0.411342,9.914e-05,5.97,0,712
9,0.272777,0.398078,0.408567,9.892e-05,5.92,0,801
10,0.268555,0.394423,0.403967,9.866e-05,6.01,0,890
11,0.27016,0.402786,0.411865,9.838e-05,5.86,0,979
12,0.272704,0.397982,0.407766,9.808e-05,5.9,0,1068
13,0.266728,0.409254,0.419101,9.775e-05,5.81,0,1157
14,0.269459,0.386151,0.395229,9.739e-05,5.85,0,1246
15,0.267739,0.421355,0.431585,9.701e-05,5.78,0,1335
16,0.265595,0.39837,0.407684,9.66e-05,5.75,0,1424
17,0.267689,0.399779,0.409391,9.617e-05,5.85,0,1513
18,0.269038,0.408122,0.41765,9.571e-05,5.95,0,1602
19,0.266587,0.392086,0.401087,9.523e-05,6.04,0,1691
20,0.264979,0.406152,0.415817,9.472e-05,5.76,0,1780
21,0.267446,0.385397,0.393435,9.419e-05,5.79,0,1869
22,0.265664,0.407487,0.416742,9.364e-05,5.82,0,1958
23,0.26907,0.411799,0.420846,9.306e-05,5.91,0,2047
24,0.267042,0.398922,0.407988,9.246e-05,5.87,0,2136
25,0.268719,0.391802,0.400519,9.184e-05,5.8,0,2225
26,0.261646,0.367193,0.375443,9.119e-05,5.79,0,2314
27,0.262442,0.390545,0.398473,9.052e-05,5.78,0,2403
28,0.264718,0.371993,0.380173,8.983e-05,5.9,0,2492
29,0.264316,0.390921,0.399423,8.912e-05,5.94,0,2581
30,0.263658,0.409845,0.419153,8.839e-05,5.69,0,2670
31,0.259471,0.40043,0.409644,8.764e-05,5.72,0,2759
32,0.262661,0.399167,0.407827,8.687e-05,5.86,0,2848
33,0.262782,0.388856,0.397203,8.607e-05,5.84,0,2937
34,0.262128,0.377528,0.385429,8.526e-05,5.79,0,3026
35,0.262593,0.395117,0.404293,8.443e-05,5.86,0,3115
36,0.261534,0.389326,0.398927,8.358e-05,5.87,0,3204
37,0.260231,0.400209,0.409265,8.272e-05,5.81,0,3293
38,0.264478,0.395247,0.405228,8.183e-05,5.86,0,3382
39,0.25891,0.378993,0.387625,8.093e-05,5.92,0,3471
40,0.26097,0.393367,0.402656,8.001e-05,5.78,0,3560
41,0.261429,0.403803,0.413457,7.908e-05,5.86,0,3649
42,0.262276,0.40235,0.411202,7.813e-05,5.89,0,3738
43,0.258122,0.404607,0.412927,7.717e-05,5.88,0,3827
44,0.256711,0.406756,0.41523,7.619e-05,5.88,0,3916
45,0.260754,0.400633,0.410158,7.519e-05,5.85,0,4005
46,0.259773,0.399556,0.408523,7.419e-05,5.82,0,4094
47,0.262041,0.381428,0.389579,7.317e-05,5.9,0,4183
48,0.255336,0.380915,0.389649,7.214e-05,5.86,0,4272
49,0.258966,0.384554,0.392557,7.109e-05,5.96,0,4361
50,0.256464,0.383881,0.391781,7.004e-05,5.81,0,4450
51,0.259901,0.370888,0.378932,6.897e-05,5.89,0,4539
52,0.259688,0.381321,0.389959,6.79e-05,5.83,0,4628
53,0.25976,0.385899,0.394628,6.682e-05,5.81,0,4717
54,0.262233,0.374483,0.382135,6.572e-05,5.93,0,4806
55,0.257501,0.373345,0.380409,6.462e-05,5.77,0,4895
56,0.257401,0.363289,0.370521,6.351e-05,5.83,0,4984
57,0.258292,0.366451,0.37363,6.24e-05,5.94,0,5073
58,0.258715,0.368809,0.376294,6.127e-05,5.91,0,5162
59,0.254815,0.373036,0.380729,6.014e-05,5.72,0,5251
60,0.256744,0.363268,0.370384,5.901e-05,5.83,0,5340
61,0.254197,0.361096,0.368477,5.787e-05,5.88,0,5429
62,0.255762,0.36341,0.369971,5.673e-05,5.82,0,5518
63,0.255437,0.362657,0.369306,5.558e-05,5.79,0,5607
64,0.256257,0.371062,0.378734,5.444e-05,5.87,0,5696
65,0.255181,0.370374,0.377514,5.328e-05,5.84,0,5785
66,0.253844,0.367755,0.374417,5.213e-05,5.79,0,5874
67,0.257184,0.352144,0.358634,5.098e-05,5.8,0,5963
68,0.254992,0.365776,0.372795,4.983e-05,5.84,0,6052
69,0.253076,0.384448,0.392094,4.867e-05,5.84,0,6141
70,0.255563,0.384745,0.392109,4.752e-05,5.81,0,6230
71,0.254554,0.384439,0.392073,4.637e-05,5.76,0,6319
72,0.256977,0.374805,0.382486,4.522e-05,5.83,0,6408
73,0.255917,0.380948,0.388224,4.408e-05,5.9,0,6497
74,0.252734,0.384879,0.392337,4.294e-05,5.85,0,6586
75,0.253772,0.3824,0.390225,4.18e-05,5.79,0,6675
76,0.254062,0.381061,0.388396,4.067e-05,5.93,0,6764
77,0.252945,0.374954,0.382083,3.954e-05,6.0,0,6853
78,0.254775,0.373042,0.379833,3.842e-05,5.86,0,6942
79,0.256463,0.366628,0.373926,3.73e-05,5.87,0,7031
80,0.253363,0.364598,0.371348,3.619e-05,5.86,0,7120
81,0.254727,0.377756,0.385561,3.509e-05,6.05,0,7209
82,0.257335,0.376031,0.383943,3.4e-05,5.85,0,7298
83,0.253514,0.361448,0.368384,3.292e-05,5.76,0,7387
84,0.256936,0.371358,0.379202,3.184e-05,5.93,0,7476
85,0.255622,0.366227,0.373075,3.078e-05,5.79,0,7565
86,0.2515,0.369642,0.376888,2.973e-05,5.78,0,7654
87,0.253513,0.367928,0.374552,2.869e-05,5.79,0,7743
88,0.253378,0.369973,0.377505,2.766e-05,5.97,0,7832
89,0.254091,0.373862,0.380856,2.664e-05,5.86,0,7921
90,0.252148,0.37472,0.38309,2.564e-05,5.85,0,8010
91,0.254913,0.375612,0.383479,2.465e-05,5.82,0,8099
92,0.252493,0.384745,0.392264,2.367e-05,5.87,0,8188
93,0.255655,0.381604,0.389527,2.271e-05,6.01,0,8277
94,0.252523,0.378975,0.385629,2.176e-05,6.0,0,8366
95,0.251383,0.374768,0.382324,2.083e-05,5.77,0,8455
96,0.254851,0.368828,0.375804,1.992e-05,5.92,0,8544
97,0.252859,0.373063,0.379316,1.902e-05,5.91,0,8633
98,0.251755,0.3678,0.374212,1.814e-05,6.04,0,8722
99,0.251608,0.369329,0.376279,1.727e-05,5.97,0,8811
100,0.255051,0.363209,0.369499,1.643e-05,5.79,0,8900
101,0.25159,0.368299,0.375338,1.56e-05,5.76,0,8989
102,0.25337,0.367133,0.373601,1.479e-05,5.87,0,9078
103,0.257975,0.367046,0.373481,1.4e-05,5.9,0,9167
104,0.249797,0.37192,0.379307,1.323e-05,5.77,0,9256
105,0.254615,0.373365,0.380621,1.248e-05,5.86,0,9345
106,0.252562,0.368021,0.375167,1.176e-05,5.98,0,9434
107,0.251889,0.370132,0.376988,1.105e-05,5.77,0,9523
108,0.252671,0.368312,0.375488,1.036e-05,5.91,0,9612
109,0.255146,0.366906,0.373654,9.7e-06,5.83,0,9701
110,0.252472,0.365252,0.371931,9.06e-06,5.8,0,9790
111,0.252941,0.362653,0.369316,8.44e-06,5.83,0,9879
112,0.250701,0.36358,0.370242,7.84e-06,5.85,0,9968
113,0.253264,0.363637,0.370034,7.27e-06,5.72,0,10057
114,0.253057,0.362158,0.368436,6.72e-06,5.85,0,10146
115,0.253239,0.362218,0.368701,6.19e-06,5.75,0,10235
116,0.250875,0.363367,0.369985,5.69e-06,5.82,0,10324
