epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,0.637515,0.425279,0.434582,9.995e-05,11.26,0,178
2,0.63731,0.421355,0.430748,9.979e-05,11.3,0,356
3,0.635334,0.396539,0.406689,9.952e-05,11.22,0,534
4,0.637817,0.408991,0.419326,9.914e-05,11.2,0,712
5,0.635744,0.40406,0.414575,9.866e-05,11.18,0,890
6,0.635769,0.377201,0.385614,9.808e-05,11.23,0,1068
7,0.635763,0.386869,0.395752,9.739e-05,11.28,0,1246
8,0.635033,0.408871,0.418532,9.66e-05,11.21,0,1424
9,0.634997,0.362009,0.370079,9.571e-05,11.23,0,1602
10,0.635529,0.370282,0.379155,9.472e-05,11.25,0,1780
11,0.636122,0.374343,0.382946,9.364e-05,11.35,0,1958
12,0.63378,0.395206,0.405165,9.246e-05,11.27,0,2136
13,0.633243,0.377009,0.385901,9.119e-05,11.38,0,2314
14,0.632751,0.417106,0.426723,8.983e-05,11.36,0,2492
15,0.634218,0.394456,0.401939,8.839e-05,11.32,0,2670
16,0.632876,0.414709,0.424625,8.687e-05,11.34,0,2848
17,0.6332,0.398442,0.407199,8.526e-05,11.15,0,3026
18,0.633398,0.396377,0.405197,8.358e-05,11.11,0,3204
19,0.632973,0.40225,0.411981,8.183e-05,11.18,0,3382
20,0.633761,0.386023,0.395168,8.001e-05,11.26,0,3560
21,0.63273,0.388771,0.397884,7.813e-05,11.2,0,3738
22,0.632512,0.38218,0.389892,7.619e-05,11.2,0,3916
23,0.631757,0.389636,0.397818,7.419e-05,11.14,0,4094
24,0.632211,0.376253,0.384603,7.214e-05,11.34,0,4272
25,0.633067,0.373294,0.381082,7.004e-05,11.19,0,4450
26,0.632016,0.365265,0.373586,6.79e-05,11.19,0,4628
27,0.630739,0.383306,0.391532,6.572e-05,11.2,0,4806
28,0.631519,0.388145,0.396922,6.351e-05,11.11,0,4984
29,0.630444,0.36946,0.377106,6.127e-05,11.33,0,5162
30,0.631398,0.390797,0.400015,5.901e-05,11.47,0,5340
31,0.631192,0.373647,0.381661,5.673e-05,11.19,0,5518
32,0.629692,0.382094,0.390446,5.444e-05,11.1,0,5696
33,0.630655,0.38265,0.391098,5.213e-05,11.25,0,5874
34,0.631845,0.385978,0.395154,4.983e-05,11.18,0,6052
35,0.628736,0.396384,0.405152,4.752e-05,11.19,0,6230
36,0.629289,0.388575,0.397633,4.522e-05,11.48,0,6408
37,0.629965,0.401321,0.41042,4.294e-05,11.19,0,6586
38,0.631014,0.380489,0.388418,4.067e-05,11.17,0,6764
39,0.629953,0.385872,0.394186,3.842e-05,11.23,0,6942
40,0.629051,0.387826,0.396086,3.619e-05,11.05,0,7120
41,0.629411,0.383097,0.392134,3.4e-05,11.17,0,7298
42,0.628304,0.383979,0.391887,3.184e-05,11.23,0,7476
43,0.629935,0.399788,0.40708,2.973e-05,11.29,0,7654
44,0.630359,0.385061,0.393382,2.766e-05,11.24,0,7832
45,0.629241,0.387145,0.395148,2.564e-05,11.25,0,8010
46,0.629243,0.383255,0.391346,2.367e-05,11.37,0,8188
47,0.629462,0.387152,0.394828,2.176e-05,11.19,0,8366
48,0.62941,0.392058,0.400794,1.992e-05,11.18,0,8544
49,0.628537,0.387875,0.395769,1.814e-05,11.26,0,8722
50,0.630121,0.388357,0.396877,1.643e-05,11.27,0,8900
51,0.629851,0.385932,0.393908,1.479e-05,11.23,0,9078
52,0.628752,0.392803,0.400328,1.323e-05,11.23,0,9256
53,0.629192,0.392334,0.400282,1.176e-05,11.32,0,9434
54,0.627972,0.386374,0.394134,1.036e-05,11.23,0,9612
55,0.628862,0.384916,0.39302,9.06e-06,11.18,0,9790
56,0.626595,0.387165,0.395342,7.84e-06,11.53,0,9968
57,0.628748,0.386136,0.394399,6.72e-06,11.13,0,10146
58,0.62737,0.381342,0.389676,5.69e-06,11.21,0,10324
59,0.628016,0.383404,0.391592,4.76e-06,11.19,0,10502
60,0.628111,0.382821,0.391579,3.93e-06,11.17,0,10680
61,0.627913,0.383018,0.391488,3.2e-06,11.13,0,10858
62,0.628459,0.383107,0.39158,2.57e-06,11.07,0,11036
63,0.629151,0.382861,0.391124,2.04e-06,11.21,0,11214
64,0.627982,0.382309,0.390592,1.63e-06,11.22,0,11392
65,0.629572,0.382599,0.39092,1.31e-06,11.22,0,11570
66,0.629013,0.382213,0.390512,1.11e-06,11.27,0,11748
67,0.628596,0.381902,0.389854,1.01e-06,11.21,0,11926
68,0.628943,0.381325,0.38938,1e-06,11.27,0,12104
