run,postprocessed,dice_2d_tumour_slices,dice_2d_all_slices,dice_3d_patient,dice_3d_lesion,sensitivity_3d_patient,precision_3d_patient,false_alarm_rate_2d,failure_rate_2d,fp_components,n_lesions,lesions_missed
baseline,0,0.3980712513582184,0.9052578221072538,0.5069789698659297,0.13866444824834562,0.4341822257695361,0.6771965872718224,0.05015478043461189,0.42768004672835247,7.3,44,34
baseline,1,0.3955853820618166,0.9340499641385275,0.5273955794686951,0.13854489791364544,0.43338167424722196,0.74140671863553,0.017407707776157078,0.43863895083794147,1.3,44,34
unet_25d,0,0.36874367276337194,0.9059734295522895,0.42586042693591813,0.17353927530587454,0.4104858953114846,0.6088050302808252,0.047909969977084035,0.4187090042857887,5.4,44,32
unet_25d,1,0.3520861963649599,0.9306001459085186,0.43572588793321526,0.16973081608658092,0.4009913871389628,0.6479672435009943,0.019040109115834702,0.47240763442277506,1.5,44,33
attention_unet,0,0.26921321839437773,0.9071305516260691,0.31549411672560324,0.09518358926064226,0.28163997681945535,0.5588866911250787,0.03751404632521353,0.5992637796927631,3.6,44,37
attention_unet,1,0.2684502475905557,0.9187077183060284,0.32026555555030994,0.09506432519512185,0.281147546181828,0.5740279293290913,0.024523302238203006,0.603373368733859,1.4,44,37
segresnet,0,0.3619066238642853,0.8817668500808125,0.4180419488484713,0.10603319096008294,0.33682288004862154,0.6475158073444229,0.07204814537244167,0.36284718112403763,9.0,44,35
segresnet,1,0.36034947674498957,0.918162897387585,0.42864257054793375,0.105798388153427,0.3356248606981,0.7088739495072998,0.0319308356861995,0.36284718112403763,2.0,44,35
attention_unet_50ep_pat10,0,0.26921321839437773,0.9071305516260691,0.31549411672560324,0.09518358926064226,0.28163997681945535,0.5588866911250787,0.03751404632521353,0.5992637796927631,3.6,44,37
attention_unet_50ep_pat10,1,0.2684502475905557,0.9187077183060284,0.32026555555030994,0.09506432519512185,0.281147546181828,0.5740279293290913,0.024523302238203006,0.603373368733859,1.4,44,37
crop96_attention_unet,0,0.31456033951972595,0.9064963389333404,0.399795509049004,0.10909575504104652,0.31160777661680716,0.7594895814513818,0.039485465671522994,0.4353879823346298,8.7,44,34
crop96_attention_unet,1,0.3154575492135861,0.9297517670311455,0.4065284869486964,0.10909575504104652,0.31160777661680716,0.8055413618420989,0.014266761765543604,0.4353879823346298,1.2,44,34
crop96_segresnet,0,0.3127978843659104,0.8605792120965743,0.3494078215937734,0.09304130439539914,0.302981824234661,0.5051000941131333,0.0904027409239468,0.47033564648921544,12.5,44,36
crop96_segresnet,1,0.3106401371209283,0.907879175208597,0.36079803150806505,0.09238978763141686,0.30112393260587245,0.5656612133871819,0.03736410340113471,0.47718496155770856,2.7,44,36
crop96_unet,0,0.3319206938701391,0.2995575161179401,0.13982659022701627,0.22368997069371926,0.4182005538794763,0.09590576175015508,0.705156816427223,0.35831077238070747,172.8,44,30
crop96_unet,1,0.2811620285775945,0.7399216034813441,0.15793512685843664,0.19818337620172122,0.34622018481459893,0.12069698453521474,0.2213401903338709,0.5142936783636134,7.0,44,33
crop96_unet_25d,0,0.3448081238326446,0.4258407651007645,0.16014153495769962,0.14719213435500306,0.39531363436403943,0.12049072891723181,0.5697625047672337,0.3913821454520806,109.0,44,34
crop96_unet_25d,1,0.31321598952910834,0.7280435435063005,0.18348819671651126,0.13233878854811423,0.35470501321941206,0.14939771387936865,0.23772463160732832,0.4981936039073746,5.7,44,36
dice_focal,0,0.3092166708771139,0.8857962471898249,0.3536316249470376,0.08757426288213088,0.3139010141382471,0.6092736422419258,0.06214576048091889,0.4432180670140295,9.4,44,35
dice_focal,1,0.30685135666883767,0.9207097265537412,0.3672339302991042,0.08713487260667124,0.31250911370310075,0.6638848749623232,0.02367196682315323,0.4503022157420139,2.3,44,35
dicece_balanced,0,0.27238610662625945,0.8864646294796564,0.3023102328710248,0.08527135026015352,0.29281402800595513,0.37843475259358084,0.06026043439899249,0.513986066138193,8.1,44,37
dicece_balanced,1,0.27211346940475895,0.9187945315788658,0.3167115801586721,0.08512730153854069,0.29225050496718474,0.424076068571118,0.02446992011315758,0.5182130720090345,1.7,44,37
focal_tversky,0,0.3972094455945178,0.37823643403525864,0.10428449973251927,0.16088356643250132,0.4334609062382331,0.06779223991104265,0.6278735205321767,0.397117584543684,72.8,44,33
focal_tversky,1,0.27629592966106337,0.7281624214600108,0.10662131921225397,0.08455785021045821,0.2965821821277598,0.07319554994015623,0.23518034968687446,0.6096930872273337,5.9,44,38
focal_tversky_b06,0,0.4167339526541939,0.2935995506745636,0.0864219053439649,0.14449344016882032,0.43476045893558013,0.05351647613231272,0.718461019948146,0.35229838801215874,90.2,44,34
focal_tversky_b06,1,0.18303105075300216,0.6998263645287325,0.07867500857319518,0.058187234972439265,0.1969755665604528,0.052511978326833075,0.2589469827173407,0.7365538773757951,5.3,44,40
hard_negatives_attention_unet,0,0.256064089623922,0.8736660798719417,0.3050133507572996,0.09463144482514062,0.24378659703758704,0.573883190329677,0.07027440590353029,0.5285779937438193,11.0,44,36
hard_negatives_attention_unet,1,0.25130955573149255,0.9085834258039535,0.3091784792757776,0.09418458621247425,0.24243445172423272,0.6210810498343137,0.031165704303708297,0.5466210465813927,2.3,44,36
hard_negatives_segresnet,0,0.2878503740806718,0.8486030356510442,0.32579364688862644,0.08682024407096942,0.2933586103315362,0.5020293320763776,0.10259425698726306,0.5121349923008178,14.1,44,36
hard_negatives_segresnet,1,0.2870270515733262,0.9060425440028361,0.33452639675871365,0.08664199930741147,0.2928247273000863,0.5423172488868632,0.038419884278065045,0.5121349923008178,1.8,44,36
hard_negatives_unet,0,0.3033027760286406,0.8072051602013213,0.265874475939338,0.13876502371996058,0.3357631094837582,0.2703214506119484,0.1493564757505767,0.48830816210412464,19.6,44,34
hard_negatives_unet,1,0.29991049179898005,0.8829453669336269,0.2806814960924553,0.13822449710788656,0.33339870916876696,0.30657437364028894,0.06562932285341251,0.49801462002976066,3.9,44,34
hard_negatives_unet_25d,0,0.31675058110585824,0.8684419331373479,0.3203054534349074,0.09115587859860003,0.3386362310600484,0.44336676820484816,0.08318959683164755,0.47338371567282883,7.7,44,36
hard_negatives_unet_25d,1,0.3037551703904548,0.9099230894434289,0.3276844611425547,0.08633339898951929,0.3263854355490314,0.4671315821682434,0.03715532711961521,0.515605937895051,1.5,44,37
no_augment,0,0.27874386019156516,0.8327526219301398,0.2648039439829244,0.1443001431479998,0.3478299631544276,0.30233428673884094,0.11965920802996424,0.5524651309330473,19.2,44,33
no_augment,1,0.2689260401988062,0.885893076819164,0.2746137551837874,0.14282529330667182,0.34068003974165295,0.34085494899048135,0.05858158053299314,0.5869813301067808,5.2,44,33
tversky,0,0.362673065106282,0.514017130455917,0.07711827855867963,0.11744493666617485,0.38823359218551934,0.04578214616315614,0.473182633451677,0.4366097530336896,46.0,44,35
tversky,1,0.2756137857520875,0.7173426725918877,0.08226985773321434,0.08980383830506496,0.29864471305706664,0.050019993741559785,0.2440297050405286,0.5893783182824279,5.8,44,37
tversky_b06,0,0.4062464699749044,0.4076451212247285,0.08845680502117244,0.16305821022770906,0.41201322102249216,0.056106731193293694,0.5945370729530152,0.3628982219681571,65.5,44,33
tversky_b06,1,0.26183828317166874,0.7025407744552028,0.0898507493691489,0.07858148011804576,0.26002191149595577,0.061174815137963655,0.25936279950014096,0.5979199086048401,6.9,44,38
unet_lowlr,0,0.35967351667249453,0.9042134637596557,0.46415319132075944,0.15118163863997724,0.4340869293411334,0.5964843430860174,0.04914138650022466,0.43509370532802405,7.2,44,34
unet_lowlr,1,0.35673923267741914,0.9333196120849095,0.4796443208167907,0.15088833231566437,0.43178314603633644,0.645865634031365,0.01666213930281483,0.4487950040293227,1.3,44,34
