run,old_threshold,new_threshold,old_dice_3d,new_dice_3d,delta
baseline/seed_42,0.75,0.65,0.507,0.5201,0.0131
baseline/seed_44,0.75,0.6,0.4737,0.4901,0.0165
baseline/seed_43,0.8,0.7,0.4751,0.4898,0.0147
unet_lowlr/seed_42,0.6,0.55,0.4642,0.4691,0.0049
crop96_attention_unet/seed_42,0.99,0.85,0.3998,0.4609,0.0611
segresnet/seed_42,0.925,0.75,0.418,0.4365,0.0185
unet_25d/seed_42,0.6,0.6,0.4259,0.4259,0.0
dice_focal/seed_42,0.9,0.75,0.3536,0.3808,0.0271
crop96_segresnet/seed_42,0.95,0.9,0.3494,0.3662,0.0168
hard_negatives_segresnet/seed_42,0.97,0.7,0.3258,0.3574,0.0316
hard_negatives_attention_unet/seed_42,0.99,0.8,0.305,0.3452,0.0402
attention_unet_50ep_pat10/seed_42,0.93,0.65,0.3155,0.3371,0.0216
attention_unet/seed_42,0.93,0.65,0.3155,0.3371,0.0216
hard_negatives_unet_25d/seed_42,0.6,0.55,0.3203,0.3332,0.0129
dicece_balanced/seed_42,0.65,0.6,0.3023,0.3167,0.0144
hard_negatives_unet/seed_42,0.6,0.6,0.2659,0.2659,0.0
no_augment/seed_42,0.4,0.45,0.2648,0.262,-0.0028
crop96_unet_25d/seed_42,0.95,0.95,0.1601,0.1601,0.0
crop96_unet/seed_42,0.97,0.97,0.1398,0.1398,0.0
focal_tversky/seed_42,0.99,0.99,0.1043,0.1043,0.0
tversky_b06/seed_42,0.99,0.99,0.0885,0.0885,0.0
focal_tversky_b06/seed_42,0.99,0.99,0.0864,0.0864,0.0
tversky/seed_42,0.99,0.99,0.0771,0.0771,0.0
